기준일자|||유형|||연관검색어|||검색키워드|||검색량|||지표|||뉴스제목|||뉴스링크|||활동성|||구글검색어|||네이버검색어|||상승월|||
2024-03-19|||주별 급상승|||가상자산|||디지털자산|||13790.0|||1.46%|||[핀테크핫이슈] 美 빅테크 직접 검사?...토스증권 개인 시장 1위 겨냥|||https://www.digitaltoday.co.kr/news/articleView.html?idxno=509952|||7.8%||||||리플시세||||||
2024-03-19|||주별 급상승|||가상자산|||디지털자산|||13790.0|||1.46%|||[기자수첩] '밈코인'의 종언이 필요한 시기|||https://dealsite.co.kr/articles/119637|||7.8%||||||코인시세||||||
"2024-03-19|||주별 급상승|||가상자산|||디지털자산|||13790.0|||1.46%|||케이뱅크, 코인 투자자 늘리려 '조건 완화' 편법 의혹|||https://n.news.naver.com/mnews/article/052/0002011942?sid=101|||7.8%||||||비트코인하는법||||||"
"2024-03-19|||주별 급상승|||가상자산|||디지털자산|||13790.0|||1.46%|||""美 증시 거품, 한국 주식 살 때""…'닥터 둠' 전망의 이유 [한국증시 2.0: K프...|||https://n.news.naver.com/mnews/article/015/0004961504?sid=101|||7.8%||||||비트코인가격||||||"
"2024-03-19|||주별 급상승|||가상자산|||디지털자산|||13790.0|||1.46%|||[아주경제 코이너스 브리핑] 비트코인, 6만7000달러선 횡보…'숨고르기' 장세|||https://www.ajunews.com/view/20240319055050843|||7.8%||||||가상화폐||||||"
2024-03-19|||주별 급상승|||가상자산|||디지털자산|||13790.0|||1.46%|||코인 1.4조원 '먹튀' 혐의 하루인베스트 경영진 첫 재판|||https://n.news.naver.com/mnews/article/003/0012434840?sid=102|||7.8%||||||가상화폐시세||||||
"2024-03-19|||주별 급상승|||가상자산|||디지털자산|||13790.0|||1.46%|||비트코인, 6만7000달러대서 횡보|||https://n.news.naver.com/mnews/article/366/0000978879?sid=101|||7.8%||||||코인거래소||||||"
2024-03-19|||주별 급상승|||가상자산|||디지털자산|||13790.0|||1.46%|||재형저축 재도입 vs  가상자산  ETF...여야 금융 공약은?|||https://n.news.naver.com/mnews/article/052/0002011935?sid=165|||7.8%||||||블록체인||||||
"2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||원자력지지시민단체협의회, 국민의 미래당 비례대표 공천에 '분노 폭발'|||http://www.knpnews.com/news/articleView.html?idxno=30783|||10.5%||||||엔비디아주가||||||"
2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||한강벨트 국힘-반도체벨트 민주 우세…낙동강벨트는 '접전'|||https://n.news.naver.com/mnews/article/421/0007419790?sid=165|||10.5%||||||알테오젠주가||||||
"2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||용인시, 주요 교차로 47곳 신호체계 개선...교통정체 ↓|||https://www.ekn.kr/web/view.php?key=20240319020437300|||10.5%||||||삼성SDI주가||||||"
"2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||이복현 ""홍콩 ELS 배상 논의 없었다""|||https://www.kfenews.co.kr/news/articleView.html?idxno=619749|||10.5%||||||신성델타테크주가||||||"
2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||[충청브리핑] 선거 코앞 청주 상당 ‘혼란’ 극심…정우택 공천 취소 반발‧서...|||https://cc.newdaily.co.kr/site/data/html/2024/03/19/2024031900020.html|||10.5%||||||하이닉스주가||||||
"2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||용인시, 도서관 도서대출 도내 1위·전국 선두 기록|||https://www.ekn.kr/web/view.php?key=20240319027447297|||10.5%||||||HLB주가||||||"
"2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||해남군, 고구마·김 가공기업 맞춤형 지원..최대 5000만원|||http://kpenews.com/View.aspx?No=3164644|||10.5%||||||현대자동차주가||||||"
"2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||화순군, 청·중장년 일상돌봄서비스 제공..19~64세 대상|||http://kpenews.com/View.aspx?No=3164638|||10.5%||||||애플주가||||||"
"2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||전주시, 뉴질랜드 쿠뮤영화스튜디오 '아시아 제2스튜디오' 건립 교류·협력|||http://kpenews.com/View.aspx?No=3164682|||10.5%||||||기아차주가||||||"
2024-03-19|||주별 급상승|||경제신문|||특징주|||8000.0|||8.76%|||[베스트셀러] '리틀 라이프 1'·'마법천자문 62'·'리틀 라이프 2'(3월 18일)|||http://www.topstarnews.net/news/articleView.html?idxno=15469496|||10.5%||||||에코프로비엠주가||||||
