date,전세자금대출금리비교
2023-06-25,10.14492
2023-06-26,24.63768
2023-06-27,18.84057
2023-06-28,21.44927
2023-06-29,21.44927
2023-06-30,20.28985
2023-07-01,8.11594
2023-07-02,8.69565
2023-07-03,30.14492
2023-07-04,17.3913
2023-07-05,25.21739
2023-07-06,23.1884
2023-07-07,21.73913
2023-07-08,8.40579
2023-07-09,16.52173
2023-07-10,26.66666
2023-07-11,22.31884
2023-07-12,23.1884
2023-07-13,16.81159
2023-07-14,23.47826
2023-07-15,14.7826
2023-07-16,8.40579
2023-07-17,28.69565
2023-07-18,26.95652
2023-07-19,19.71014
2023-07-20,23.1884
2023-07-21,18.84057
2023-07-22,8.40579
2023-07-23,11.30434
2023-07-24,22.60869
2023-07-25,16.81159
2023-07-26,23.76811
2023-07-27,17.3913
2023-07-28,20.86956
2023-07-29,17.10144
2023-07-30,10.72463
2023-07-31,31.30434
2023-08-01,26.66666
2023-08-02,24.63768
2023-08-03,18.26086
2023-08-04,13.91304
2023-08-05,14.20289
2023-08-06,7.53623
2023-08-07,26.66666
2023-08-08,19.71014
2023-08-09,20.86956
