date,나스닥종합
2022-07-13,61.03984
2022-07-14,57.32537
2022-07-15,49.49114
2022-07-16,25.79673
2022-07-17,3.3555
2022-07-18,18.14134
2022-07-19,49.52588
2022-07-20,53.76143
2022-07-21,54.51925
2022-07-22,49.37663
2022-07-23,31.84771
2022-07-24,4.00138
2022-07-25,18.50417
2022-07-26,44.68304
2022-07-27,49.51687
2022-07-28,58.73679
2022-07-29,44.51578
2022-07-30,31.50676
2022-07-31,3.96407
2022-08-01,18.77693
2022-08-02,44.42057
2022-08-03,47.86999
2022-08-04,48.80151
2022-08-05,40.76013
2022-08-06,27.79486
2022-08-07,3.29374
2022-08-08,17.45043
2022-08-09,46.44185
2022-08-10,50.19492
2022-08-11,48.30745
2022-08-12,41.37771
2022-08-13,28.06762
2022-08-14,3.46358
2022-08-15,17.24457
2022-08-16,42.59356
2022-08-17,46.32734
2022-08-18,46.48688
2022-08-19,40.67264
2022-08-20,28.38156
2022-08-21,3.57294
2022-08-22,22.11957
2022-08-23,52.93542
2022-08-24,45.31991
2022-08-25,40.40116
2022-08-26,43.9651
2022-08-27,47.72203
2022-08-28,4.5289
2022-08-29,25.98844
2022-08-30,57.91593
2022-08-31,56.71551
2022-09-01,59.06488
2022-09-02,57.87218
2022-09-03,37.37632
2022-09-04,3.98723
2022-09-05,9.1543
2022-09-06,32.30575
2022-09-07,53.46293
2022-09-08,44.05645
2022-09-09,30.32821
2022-09-10,23.71627
2022-09-11,5.30859
2022-09-12,19.10502
2022-09-13,64.63981
2022-09-14,86.10964
2022-09-15,57.80914
2022-09-16,60.77094
2022-09-17,35.08742
2022-09-18,4.14549
2022-09-19,25.78644
2022-09-20,52.68324
2022-09-21,54.3314
2022-09-22,73.1894
2022-09-23,68.76728
2022-09-24,44.75895
2022-09-25,4.50574
2022-09-26,34.9935
2022-09-27,73.00927
2022-09-28,76.71603
2022-09-29,76.8241
2022-09-30,70.87477
2022-10-01,42.04804
2022-10-02,4.51475
2022-10-03,28.33138
2022-10-04,64.78648
2022-10-05,62.82438
2022-10-06,59.9192
2022-10-07,51.10713
2022-10-08,44.95194
2022-10-09,5.01781
2022-10-10,32.84227
2022-10-11,77.63081
2022-10-12,75.22998
2022-10-13,78.50057
2022-10-14,79.15932
2022-10-15,57.42444
2022-10-16,6.09343
2022-10-17,29.09177
2022-10-18,66.63793
2022-10-19,66.64951
2022-10-20,59.73778
2022-10-21,57.80914
2022-10-22,36.47054
2022-10-23,3.92161
2022-10-24,29.17283
2022-10-25,56.30765
2022-10-26,62.85012
2022-10-27,67.90653
2022-10-28,59.7262
2022-10-29,36.85009
2022-10-30,3.72219
2022-10-31,22.75002
2022-11-01,54.18601
2022-11-02,49.74074
2022-11-03,74.77065
2022-11-04,58.26975
2022-11-05,37.14087
2022-11-06,4.13262
2022-11-07,21.25368
2022-11-08,51.41721
2022-11-09,55.06992
2022-11-10,65.99333
2022-11-11,86.816
2022-11-12,50.94502
2022-11-13,5.36392
2022-11-14,19.41767
2022-11-15,57.17355
2022-11-16,58.51935
2022-11-17,53.99431
2022-11-18,47.88157
