date,지방세법
2022-08-09,46.68674
2022-08-10,51.05421
2022-08-11,49.54819
2022-08-12,42.31927
2022-08-13,7.37951
2022-08-14,7.00301
2022-08-15,8.73493
2022-08-16,52.93674
2022-08-17,58.05722
2022-08-18,58.73493
2022-08-19,46.38554
2022-08-20,7.68072
2022-08-21,8.65963
2022-08-22,54.51807
2022-08-23,55.19578
2022-08-24,50.90361
2022-08-25,50.0
2022-08-26,39.30722
2022-08-27,7.60542
2022-08-28,6.7771
2022-08-29,43.67469
2022-08-30,49.62349
2022-08-31,42.77108
2022-09-01,34.71385
2022-09-02,29.06626
2022-09-03,7.22891
2022-09-04,5.79819
2022-09-05,32.90662
2022-09-06,33.05722
2022-09-07,35.84337
2022-09-08,27.48493
2022-09-09,3.68975
2022-09-10,3.84036
2022-09-11,3.61445
2022-09-12,5.12048
2022-09-13,47.06325
2022-09-14,59.93975
2022-09-15,56.09939
2022-09-16,49.32228
2022-09-17,8.43373
2022-09-18,7.75602
2022-09-19,55.49698
2022-09-20,56.92771
2022-09-21,55.12048
2022-09-22,52.25903
2022-09-23,40.36144
2022-09-24,6.7018
2022-09-25,7.00301
2022-09-26,43.44879
2022-09-27,45.10542
2022-09-28,44.3524
2022-09-29,40.81325
2022-09-30,30.57228
2022-10-01,6.5512
2022-10-02,5.94879
2022-10-03,7.30421
2022-10-04,32.90662
2022-10-05,38.62951
2022-10-06,31.6265
2022-10-07,29.66867
2022-10-08,6.3253
2022-10-09,6.5512
2022-10-10,7.75602
2022-10-11,34.18674
2022-10-12,33.65963
2022-10-13,32.37951
2022-10-14,29.66867
2022-10-15,6.92771
2022-10-16,7.22891
2022-10-17,35.91867
2022-10-18,38.25301
2022-10-19,31.09939
2022-10-20,33.35843
2022-10-21,24.47289
2022-10-22,6.5512
2022-10-23,6.4759
2022-10-24,31.8524
2022-10-25,32.45481
2022-10-26,33.88554
2022-10-27,32.75602
2022-10-28,29.51807
2022-10-29,7.15361
2022-10-30,5.72289
2022-10-31,34.56325
2022-11-01,30.94879
2022-11-02,34.56325
2022-11-03,34.93975
2022-11-04,24.54819
2022-11-05,5.57228
2022-11-06,5.64759
2022-11-07,32.75602
2022-11-08,35.31626
2022-11-09,29.51807
2022-11-10,39.15662
2022-11-11,25.6024
2022-11-12,5.42168
2022-11-13,5.04518
2022-11-14,34.86445
2022-11-15,35.76807
2022-11-16,33.13253
2022-11-17,34.18674
2022-11-18,28.16265
2022-11-19,4.66867
2022-11-20,4.14156
2022-11-21,36.29518
2022-11-22,42.99698
2022-11-23,39.90963
2022-11-24,32.75602
2022-11-25,35.84337
2022-11-26,6.4759
2022-11-27,6.7018
2022-11-28,41.41566
2022-11-29,39.75903
2022-11-30,37.34939
2022-12-01,35.54216
2022-12-02,31.3253
2022-12-03,6.09939
2022-12-04,6.92771
2022-12-05,33.50903
2022-12-06,44.42771
2022-12-07,35.01506
2022-12-08,41.18975
2022-12-09,31.6265
2022-12-10,6.3253
2022-12-11,6.17469
2022-12-12,42.39457
2022-12-13,44.65361
2022-12-14,39.23192
2022-12-15,41.11445
2022-12-16,32.60542
2022-12-17,6.4006
2022-12-18,6.7771
2022-12-19,38.78012
2022-12-20,38.17771
2022-12-21,38.55421
2022-12-22,34.86445
2022-12-23,25.90361
2022-12-24,5.87349
2022-12-25,5.12048
2022-12-26,32.83132
2022-12-27,34.03614
2022-12-28,30.42168
2022-12-29,27.33433
2022-12-30,19.2771
2022-12-31,5.64759
2023-01-01,4.81927
2023-01-02,41.56626
2023-01-03,48.49397
2023-01-04,45.63253
2023-01-05,44.80421
2023-01-06,39.38253
2023-01-07,7.00301
2023-01-08,7.22891
2023-01-09,46.53614
2023-01-10,48.94578
2023-01-11,47.13855
2023-01-12,46.91265
2023-01-13,43.8253
2023-01-14,8.50903
2023-01-15,8.35843
2023-01-16,51.88253
2023-01-17,51.43072
2023-01-18,46.91265
2023-01-19,45.33132
2023-01-20,30.49698
2023-01-21,3.68975
2023-01-22,3.08734
2023-01-23,5.19578
2023-01-24,7.90662
2023-01-25,52.40963
2023-01-26,44.95481
2023-01-27,47.74096
2023-01-28,8.28313
2023-01-29,8.28313
2023-01-30,47.96686
2023-01-31,42.16867
2023-02-01,39.30722
2023-02-02,45.10542
2023-02-03,34.86445
2023-02-04,7.22891
2023-02-05,8.05722
2023-02-06,40.73795
2023-02-07,47.81626
2023-02-08,43.07228
2023-02-09,53.31325
2023-02-10,39.98493
2023-02-11,6.8524
2023-02-12,7.98192
2023-02-13,47.43975
2023-02-14,51.88253
2023-02-15,44.80421
2023-02-16,50.4518
2023-02-17,38.40361
2023-02-18,7.37951
2023-02-19,7.83132
2023-02-20,43.07228
2023-02-21,46.91265
2023-02-22,46.91265
2023-02-23,46.91265
2023-02-24,40.58734
2023-02-25,9.56325
2023-02-26,8.28313
2023-02-27,44.0512
2023-02-28,46.46084
2023-03-01,8.65963
2023-03-02,44.1265
2023-03-03,44.87951
2023-03-04,7.90662
2023-03-05,8.05722
2023-03-06,46.46084
