date,한화솔루션주가
2023-04-27,35.99869
2023-04-28,46.38775
2023-04-29,5.70405
2023-04-30,3.8613
2023-05-01,7.29936
2023-05-02,32.59319
2023-05-03,30.57463
2023-05-04,26.5538
2023-05-05,3.90688
2023-05-06,2.92039
2023-05-07,2.87481
2023-05-08,26.14357
2023-05-09,25.21894
2023-05-10,24.88686
2023-05-11,28.7677
2023-05-12,23.43805
2023-05-13,3.21992
2023-05-14,2.75435
2023-05-15,34.72244
2023-05-16,25.24173
2023-05-17,28.75468
2023-05-18,25.27429
2023-05-19,23.58782
2023-05-20,2.70877
2023-05-21,2.32459
2023-05-22,23.07341
2023-05-23,22.50366
2023-05-24,20.4851
2023-05-25,21.12974
