date,월배당ETF
2022-12-29,11.2987
2022-12-30,7.92207
2022-12-31,7.40259
2023-01-01,6.4935
2023-01-02,13.50649
2023-01-03,24.02597
2023-01-04,22.98701
2023-01-05,12.85714
2023-01-06,18.96103
2023-01-07,20.64935
2023-01-08,15.71428
2023-01-09,17.14285
2023-01-10,17.92207
2023-01-11,15.06493
2023-01-12,11.94805
2023-01-13,13.76623
2023-01-14,9.0909
2023-01-15,10.64935
2023-01-16,14.02597
2023-01-17,12.98701
2023-01-18,23.24675
2023-01-19,12.85714
2023-01-20,12.07792
2023-01-21,8.83116
2023-01-22,11.68831
2023-01-23,11.68831
2023-01-24,12.98701
2023-01-25,16.4935
2023-01-26,27.27272
2023-01-27,21.42857
2023-01-28,17.14285
2023-01-29,13.11688
2023-01-30,17.14285
2023-01-31,21.03896
2023-02-01,17.40259
2023-02-02,24.28571
2023-02-03,19.35064
2023-02-04,14.93506
2023-02-05,13.63636
2023-02-06,17.27272
2023-02-07,21.16883
2023-02-08,22.98701
2023-02-09,18.44155
2023-02-10,19.74025
2023-02-11,12.72727
2023-02-12,16.36363
2023-02-13,15.45454
2023-02-14,20.64935
2023-02-15,15.84415
2023-02-16,17.66233
2023-02-17,16.10389
2023-02-18,7.66233
2023-02-19,9.61038
2023-02-20,20.0
2023-02-21,13.37662
2023-02-22,15.06493
2023-02-23,15.45454
2023-02-24,12.98701
2023-02-25,10.90909
2023-02-26,8.96103
2023-02-27,14.02597
2023-02-28,15.06493
2023-03-01,15.71428
2023-03-02,18.18181
2023-03-03,16.36363
2023-03-04,11.68831
2023-03-05,12.33766
2023-03-06,14.54545
2023-03-07,13.24675
2023-03-08,16.62337
2023-03-09,17.01298
2023-03-10,11.16883
2023-03-11,9.22077
2023-03-12,8.83116
2023-03-13,13.37662
2023-03-14,13.50649
2023-03-15,12.33766
2023-03-16,11.81818
2023-03-17,13.37662
2023-03-18,12.5974
2023-03-19,10.12987
2023-03-20,14.67532
2023-03-21,17.40259
2023-03-22,12.33766
2023-03-23,12.07792
2023-03-24,10.77922
2023-03-25,9.61038
2023-03-26,9.87012
2023-03-27,14.02597
2023-03-28,11.81818
2023-03-29,13.24675
2023-03-30,18.83116
2023-03-31,25.71428
2023-04-01,12.33766
2023-04-02,12.5974
2023-04-03,16.10389
2023-04-04,17.40259
2023-04-05,19.87012
2023-04-06,16.36363
2023-04-07,13.63636
2023-04-08,9.48051
2023-04-09,11.81818
2023-04-10,11.81818
2023-04-11,20.38961
2023-04-12,15.45454
2023-04-13,16.88311
2023-04-14,15.58441
2023-04-15,13.76623
2023-04-16,12.72727
2023-04-17,18.57142
2023-04-18,16.10389
2023-04-19,19.87012
2023-04-20,15.71428
2023-04-21,14.54545
2023-04-22,14.28571
2023-04-23,11.68831
2023-04-24,12.46753
2023-04-25,16.4935
2023-04-26,16.10389
2023-04-27,19.35064
2023-04-28,18.44155
2023-04-29,12.72727
2023-04-30,10.38961
2023-05-01,9.61038
