date,대위변제
2023-01-04,10.1297
2023-01-05,9.17232
2023-01-06,8.49289
2023-01-07,2.90302
2023-01-08,3.45892
2023-01-09,9.11056
2023-01-10,9.14144
2023-01-11,9.04879
2023-01-12,11.36504
2023-01-13,9.69734
2023-01-14,3.33539
2023-01-15,3.24274
2023-01-16,12.69302
2023-01-17,10.71649
2023-01-18,9.78999
2023-01-19,8.95614
2023-01-20,5.46633
2023-01-21,3.36627
2023-01-22,3.42804
2023-01-23,4.20012
2023-01-24,3.4898
2023-01-25,8.67819
2023-01-26,9.51204
2023-01-27,9.04879
2023-01-28,3.18097
2023-01-29,9.75911
2023-01-30,11.48857
2023-01-31,10.28412
2023-02-01,11.45768
2023-02-02,11.4268
2023-02-03,8.86349
2023-02-04,3.36627
2023-02-05,2.43977
2023-02-06,10.1297
2023-02-07,10.1297
2023-02-08,10.03705
2023-02-09,9.66646
2023-02-10,8.09141
2023-02-11,3.61334
2023-02-12,2.56331
2023-02-13,12.75478
2023-02-14,11.36504
2023-02-15,11.0562
2023-02-16,11.39592
2023-02-17,10.03705
2023-02-18,3.42804
2023-02-19,2.68684
2023-02-20,12.97096
2023-02-21,10.09882
2023-02-22,11.08709
2023-02-23,11.11797
2023-02-24,9.29586
2023-02-25,2.96479
2023-02-26,3.02655
2023-02-27,9.88264
2023-02-28,9.29586
2023-03-01,4.0457
2023-03-02,8.95614
2023-03-03,9.66646
2023-03-04,2.90302
2023-03-05,2.56331
2023-03-06,14.39159
2023-03-07,13.80481
2023-03-08,11.33415
2023-03-09,9.75911
2023-03-10,8.83261
2023-03-11,3.6751
2023-03-12,2.87214
2023-03-13,9.85176
2023-03-14,10.62384
2023-03-15,10.37677
2023-03-16,11.17974
2023-03-17,10.34589
2023-03-18,4.0457
2023-03-19,4.10747
2023-03-20,11.02532
2023-03-21,11.55033
2023-03-22,10.80914
2023-03-23,10.90179
2023-03-24,8.55466
2023-03-25,3.8604
2023-03-26,2.74861
2023-03-27,9.32674
2023-03-28,11.02532
2023-03-29,9.66646
2023-03-30,9.48116
2023-03-31,8.58554
2023-04-01,3.05744
2023-04-02,3.18097
2023-04-03,8.61642
2023-04-04,9.14144
2023-04-05,10.06794
2023-04-06,8.92526
2023-04-07,8.12229
2023-04-08,3.21185
2023-04-09,2.62507
2023-04-10,10.84002
2023-04-11,10.71649
2023-04-12,9.63557
2023-04-13,8.15318
2023-04-14,8.46201
2023-04-15,3.21185
2023-04-16,2.62507
2023-04-17,9.38851
2023-04-18,9.69734
2023-04-19,10.6856
2023-04-20,10.62384
2023-04-21,10.1297
2023-04-22,4.26189
2023-04-23,3.76775
2023-04-24,10.09882
2023-04-25,10.80914
2023-04-26,10.71649
