date,양도
2023-01-25,64.11564
2023-01-26,62.07482
2023-01-27,58.41836
2023-01-28,41.83673
2023-01-29,34.18367
2023-01-30,64.62585
2023-01-31,67.85714
2023-02-01,66.49659
2023-02-02,63.43537
2023-02-03,56.29251
2023-02-04,35.37414
2023-02-05,36.90476
2023-02-06,62.84013
2023-02-07,63.35034
2023-02-08,65.64625
2023-02-09,60.62925
2023-02-10,56.54761
2023-02-11,36.73469
2023-02-12,36.13945
2023-02-13,59.60884
2023-02-14,66.7517
2023-02-15,64.45578
2023-02-16,60.20408
2023-02-17,58.24829
2023-02-18,39.28571
2023-02-19,31.63265
2023-02-20,59.43877
2023-02-21,61.39455
2023-02-22,60.88435
2023-02-23,57.56802
2023-02-24,59.09863
2023-02-25,35.28911
2023-02-26,29.42176
2023-02-27,61.98979
2023-02-28,58.7585
2023-03-01,35.71428
2023-03-02,50.42517
2023-03-03,52.55102
2023-03-04,31.88775
2023-03-05,31.54761
2023-03-06,54.2517
2023-03-07,50.85034
2023-03-08,51.78571
2023-03-09,52.89115
2023-03-10,48.46938
2023-03-11,29.67687
2023-03-12,31.80272
2023-03-13,56.12244
2023-03-14,51.19047
2023-03-15,56.97278
2023-03-16,56.12244
2023-03-17,51.44557
2023-03-18,35.79931
2023-03-19,31.03741
2023-03-20,55.61224
2023-03-21,62.15986
2023-03-22,54.67687
2023-03-23,55.18707
2023-03-24,49.74489
2023-03-25,35.11904
2023-03-26,31.37755
2023-03-27,55.95238
2023-03-28,54.33673
2023-03-29,54.5068
2023-03-30,55.44217
2023-03-31,52.29591
2023-04-01,27.97619
2023-04-02,27.21088
2023-04-03,50.5102
2023-04-04,54.67687
2023-04-05,57.14285
2023-04-06,57.56802
2023-04-07,49.91496
2023-04-08,34.0136
2023-04-09,31.03741
2023-04-10,52.72108
2023-04-11,58.92857
2023-04-12,56.03741
2023-04-13,54.5068
2023-04-14,55.69727
2023-04-15,32.56802
2023-04-16,33.92857
2023-04-17,54.5068
2023-04-18,55.69727
2023-04-19,54.7619
2023-04-20,56.54761
2023-04-21,53.99659
2023-04-22,36.30952
2023-04-23,30.69727
2023-04-24,54.67687
2023-04-25,62.15986
2023-04-26,57.05782
2023-04-27,60.71428
2023-04-28,60.11904
2023-04-29,35.11904
2023-04-30,35.03401
2023-05-01,41.58163
2023-05-02,63.2653
2023-05-03,64.11564
2023-05-04,68.79251
2023-05-05,50.59523
2023-05-06,37.15986
2023-05-07,29.7619
2023-05-08,56.03741
2023-05-09,59.5238
2023-05-10,58.41836
2023-05-11,56.03741
2023-05-12,49.31972
2023-05-13,32.82312
2023-05-14,30.78231
2023-05-15,57.73809
2023-05-16,55.017
2023-05-17,62.7551
2023-05-18,51.61564
2023-05-19,52.72108
2023-05-20,36.05442
2023-05-21,32.31292
2023-05-22,56.71768
2023-05-23,55.35714
2023-05-24,55.52721
2023-05-25,54.59183
2023-05-26,56.29251
2023-05-27,40.30612
2023-05-28,34.60884
