date,미국주식추천
2022-04-09,6.49885
2022-04-10,4.30205
2022-04-11,7.27688
2022-04-12,7.41418
2022-04-13,7.64302
2022-04-14,8.60411
2022-04-15,7.09382
2022-04-16,4.21052
2022-04-17,3.84439
2022-04-18,6.13272
2022-04-19,9.10755
2022-04-20,9.61098
2022-04-21,8.87871
2022-04-22,8.78718
2022-04-23,5.67505
2022-04-24,4.34782
2022-04-25,7.50572
2022-04-26,8.92448
2022-04-27,6.77345
2022-04-28,5.53775
2022-04-29,5.81235
2022-04-30,4.39359
2022-05-01,3.06636
2022-05-02,4.53089
2022-05-03,7.09382
2022-05-04,5.67505
2022-05-05,6.27002
2022-05-06,5.90389
2022-05-07,4.34782
2022-05-08,2.37986
2022-05-09,3.89016
2022-05-10,5.62929
2022-05-11,4.62242
2022-05-12,5.35469
2022-05-13,4.85125
2022-05-14,4.34782
2022-05-15,3.11212
2022-05-16,3.29519
2022-05-17,3.52402
2022-05-18,4.66819
2022-05-19,6.04118
2022-05-20,4.75972
2022-05-21,3.02059
2022-05-22,2.88329
2022-05-23,3.61556
2022-05-24,5.35469
2022-05-25,4.48512
2022-05-26,4.07322
2022-05-27,5.49199
2022-05-28,4.48512
2022-05-29,2.79176
2022-05-30,3.38672
2022-05-31,5.17162
2022-06-01,4.53089
2022-06-02,4.16475
2022-06-03,4.98855
2022-06-04,3.11212
2022-06-05,2.92906
2022-06-06,2.60869
2022-06-07,4.39359
2022-06-08,4.53089
2022-06-09,5.72082
2022-06-10,4.43935
2022-06-11,3.02059
2022-06-12,2.92906
2022-06-13,5.12585
2022-06-14,5.49199
2022-06-15,4.16475
2022-06-16,4.21052
2022-06-17,4.02745
2022-06-18,3.89016
2022-06-19,3.06636
2022-06-20,3.84439
2022-06-21,4.80549
2022-06-22,6.27002
2022-06-23,6.77345
2022-06-24,5.40045
2022-06-25,3.52402
2022-06-26,2.28832
2022-06-27,4.39359
2022-06-28,6.17848
2022-06-29,3.98169
2022-06-30,4.98855
2022-07-01,3.15789
2022-07-02,2.05949
2022-07-03,1.23569
2022-07-04,2.70022
2022-07-05,3.70709
2022-07-06,4.30205
2022-07-07,3.11212
2022-07-08,4.57665
2022-07-09,3.34096
2022-07-10,1.09839
2022-07-11,3.66132
2022-07-12,3.56979
2022-07-13,3.06636
2022-07-14,3.93592
2022-07-15,3.52402
2022-07-16,3.15789
2022-07-17,1.23569
2022-07-18,4.94279
2022-07-19,5.21739
2022-07-20,6.45308
2022-07-21,7.73455
2022-07-22,6.86498
2022-07-23,3.98169
2022-07-24,2.47139
2022-07-25,3.70709
2022-07-26,3.84439
2022-07-27,3.93592
2022-07-28,6.13272
2022-07-29,6.27002
2022-07-30,5.40045
2022-07-31,2.83752
2022-08-01,5.85812
2022-08-02,5.94965
2022-08-03,8.37528
2022-08-04,9.10755
2022-08-05,7.27688
2022-08-06,4.48512
2022-08-07,4.21052
2022-08-08,6.86498
2022-08-09,6.68192
2022-08-10,6.91075
2022-08-11,9.65675
2022-08-12,8.92448
2022-08-13,6.08695
2022-08-14,4.43935
2022-08-15,6.86498
2022-08-16,9.83981
2022-08-17,10.75514
2022-08-18,8.32951
2022-08-19,8.10068
2022-08-20,3.79862
2022-08-21,3.20366
2022-08-22,6.31578
2022-08-23,5.81235
2022-08-24,5.81235
2022-08-25,6.27002
2022-08-26,6.22425
2022-08-27,3.79862
2022-08-28,3.15789
2022-08-29,3.79862
2022-08-30,4.75972
2022-08-31,5.72082
2022-09-01,4.39359
2022-09-02,6.22425
2022-09-03,3.84439
2022-09-04,3.06636
2022-09-05,3.75286
2022-09-06,4.94279
2022-09-07,5.21739
2022-09-08,5.58352
2022-09-09,3.98169
2022-09-10,3.93592
2022-09-11,2.92906
2022-09-12,4.66819
2022-09-13,7.45995
2022-09-14,6.86498
2022-09-15,5.62929
2022-09-16,7.04805
2022-09-17,3.75286
2022-09-18,2.28832
2022-09-19,5.17162
2022-09-20,4.62242
2022-09-21,6.13272
2022-09-22,5.67505
2022-09-23,6.31578
2022-09-24,2.10526
2022-09-25,1.69336
2022-09-26,3.75286
2022-09-27,5.03432
2022-09-28,4.89702
2022-09-29,5.08009
2022-09-30,3.93592
2022-10-01,2.65446
2022-10-02,1.32723
2022-10-03,2.56292
2022-10-04,5.35469
2022-10-05,4.30205
2022-10-06,5.30892
2022-10-07,3.61556
2022-10-08,1.92219
2022-10-09,1.37299
2022-10-10,3.20366
2022-10-11,3.56979
2022-10-12,3.06636
2022-10-13,3.52402
2022-10-14,3.56979
2022-10-15,3.02059
2022-10-16,1.46453
2022-10-17,3.79862
2022-10-18,5.26315
2022-10-19,3.29519
2022-10-20,3.56979
2022-10-21,4.02745
2022-10-22,2.01372
2022-10-23,1.92219
2022-10-24,3.61556
2022-10-25,4.43935
2022-10-26,5.08009
2022-10-27,6.68192
2022-10-28,4.16475
2022-10-29,2.83752
2022-10-30,1.69336
2022-10-31,3.29519
2022-11-01,5.12585
2022-11-02,3.98169
2022-11-03,2.70022
2022-11-04,4.02745
2022-11-05,1.96796
2022-11-06,2.83752
2022-11-07,3.70709
2022-11-08,5.35469
2022-11-09,4.30205
2022-11-10,4.07322
2022-11-11,5.40045
2022-11-12,4.16475
2022-11-13,2.70022
2022-11-14,6.08695
2022-11-15,6.81922
2022-11-16,5.81235
2022-11-17,4.75972
2022-11-18,3.47826
2022-11-19,1.78489
2022-11-20,2.15102
2022-11-21,3.24942
2022-11-22,3.89016
2022-11-23,4.89702
2022-11-24,3.34096
2022-11-25,3.29519
2022-11-26,2.74599
2022-11-27,1.83066
2022-11-28,3.75286
2022-11-29,4.57665
2022-11-30,3.79862
2022-12-01,5.17162
2022-12-02,3.43249
2022-12-03,1.51029
2022-12-04,1.51029
2022-12-05,3.79862
2022-12-06,3.70709
2022-12-07,3.70709
2022-12-08,3.47826
2022-12-09,4.71395
2022-12-10,3.29519
2022-12-11,2.28832
2022-12-12,4.02745
2022-12-13,3.98169
2022-12-14,6.17848
2022-12-15,6.68192
2022-12-16,5.99542
