date,SOXL
2023-03-02,7.00174
2023-03-03,7.80809
2023-03-04,6.47762
2023-03-05,3.66886
2023-03-06,6.46418
2023-03-07,7.87528
2023-03-08,8.10374
2023-03-09,12.06827
2023-03-10,9.3267
2023-03-11,5.80567
2023-03-12,3.19849
2023-03-13,7.78121
2023-03-14,9.27294
2023-03-15,10.22712
2023-03-16,9.58204
2023-03-17,13.04932
2023-03-18,6.18196
2023-03-19,3.78981
2023-03-20,6.34323
2023-03-21,10.06585
2023-03-22,11.58446
2023-03-23,12.88805
2023-03-24,13.27778
2023-03-25,7.49899
2023-03-26,4.17954
2023-03-27,7.02862
2023-03-28,10.32119
2023-03-29,10.26743
2023-03-30,15.71025
2023-03-31,13.14339
2023-04-01,8.14406
2023-04-02,4.81118
2023-04-03,7.3646
2023-04-04,9.23263
2023-04-05,11.78605
2023-04-06,12.29673
2023-04-07,8.81601
2023-04-08,4.09891
2023-04-09,3.857
2023-04-10,8.37253
2023-04-11,10.34807
2023-04-12,9.3267
2023-04-13,11.47695
2023-04-14,8.84289
2023-04-15,5.55032
2023-04-16,3.53447
2023-04-17,8.04999
2023-04-18,9.0176
2023-04-19,7.64682
2023-04-20,8.52036
2023-04-21,6.5045
2023-04-22,4.90525
2023-04-23,3.19849
2023-04-24,5.61752
2023-04-25,8.02311
2023-04-26,16.65098
2023-04-27,15.61618
2023-04-28,12.90149
2023-04-29,5.92662
2023-04-30,3.33288
2023-05-01,4.95901
2023-05-02,8.33221
2023-05-03,8.69506
2023-05-04,9.07136
2023-05-05,16.51659
2023-05-06,6.61201
2023-05-07,2.84907
2023-05-08,5.07996
2023-05-09,7.24365
2023-05-10,8.45316
2023-05-11,7.55274
2023-05-12,7.61994
2023-05-13,4.03171
2023-05-14,2.80876
2023-05-15,5.06652
2023-05-16,10.53621
2023-05-17,7.92904
2023-05-18,14.68888
2023-05-19,22.44321
2023-05-20,6.35667
2023-05-21,4.09891
2023-05-22,8.68162
2023-05-23,8.85633
2023-05-24,8.41284
2023-05-25,30.11691
2023-05-26,42.85714
2023-05-27,41.88953
2023-05-28,13.89598
2023-05-29,15.22644
