date,메리츠
2022-10-18,6.55847
2022-10-19,5.98175
2022-10-20,5.75375
2022-10-21,6.12929
2022-10-22,1.85085
2022-10-23,1.65638
2022-10-24,6.49141
2022-10-25,7.11507
2022-10-26,6.59871
2022-10-27,6.53835
2022-10-28,5.37151
2022-10-29,1.74356
2022-10-30,1.63626
2022-10-31,7.96673
2022-11-01,11.15879
2022-11-02,6.63894
2022-11-03,5.49222
2022-11-04,5.27762
2022-11-05,1.64967
2022-11-06,1.87768
2022-11-07,6.51824
2022-11-08,5.84093
2022-11-09,6.31035
2022-11-10,6.35729
2022-11-11,6.15611
2022-11-12,1.7905
2022-11-13,1.53567
2022-11-14,6.57859
2022-11-15,6.6993
2022-11-16,6.19635
2022-11-17,6.06223
2022-11-18,5.35139
2022-11-19,1.83074
2022-11-20,1.42837
2022-11-21,14.12956
2022-11-22,100.0
2022-11-23,40.04828
2022-11-24,12.57376
2022-11-25,9.07322
2022-11-26,3.20547
2022-11-27,2.87687
2022-11-28,9.23417
2022-11-29,8.03379
2022-11-30,9.18723
2022-12-01,7.32966
2022-12-02,5.74704
2022-12-03,2.30686
2022-12-04,1.85756
2022-12-05,7.18884
2022-12-06,6.12258
2022-12-07,6.37741
2022-12-08,5.77387
2022-12-09,6.51824
2022-12-10,1.77709
2022-12-11,2.31357
2022-12-12,7.05472
2022-12-13,6.91389
2022-12-14,8.1478
2022-12-15,7.27601
2022-12-16,6.73953
2022-12-17,2.29345
2022-12-18,2.28674
2022-12-19,7.0346
2022-12-20,7.30284
2022-12-21,7.18213
2022-12-22,7.34307
2022-12-23,7.45708
2022-12-24,2.40745
2022-12-25,1.91791
2022-12-26,8.86534
2022-12-27,7.22907
2022-12-28,7.65826
2022-12-29,7.91979
2022-12-30,7.45037
2022-12-31,2.24651
2023-01-01,1.83074
2023-01-02,7.8192
2023-01-03,7.08825
2023-01-04,6.88707
2023-01-05,7.18884
2023-01-06,7.93991
2023-01-07,2.18615
2023-01-08,2.13251
2023-01-09,9.22076
2023-01-10,8.2618
2023-01-11,7.76555
2023-01-12,7.51072
2023-01-13,6.85354
2023-01-14,2.18615
2023-01-15,1.88438
2023-01-16,7.4839
2023-01-17,7.34978
2023-01-18,6.72612
2023-01-19,6.76636
2023-01-20,6.51824
2023-01-21,1.85756
2023-01-22,1.62956
2023-01-23,1.58932
2023-01-24,2.30016
2023-01-25,9.94501
2023-01-26,8.14109
2023-01-27,7.19554
2023-01-28,2.52816
2023-01-29,2.00509
2023-01-30,8.68428
2023-01-31,8.28862
2023-02-01,7.2626
2023-02-02,7.52414
2023-02-03,6.38412
2023-02-04,2.13921
2023-02-05,1.86427
2023-02-06,7.69179
2023-02-07,6.69259
2023-02-08,6.55847
2023-02-09,5.85434
2023-02-10,6.25
2023-02-11,2.08556
2023-02-12,1.77038
2023-02-13,6.65236
2023-02-14,6.23658
2023-02-15,6.42435
2023-02-16,6.30364
2023-02-17,5.85434
2023-02-18,2.05203
2023-02-19,1.70332
2023-02-20,6.82001
2023-02-21,7.45037
2023-02-22,6.90048
2023-02-23,6.05552
2023-02-24,6.63894
2023-02-25,2.04533
2023-02-26,2.07215
2023-02-27,8.38251
2023-02-28,8.33556
2023-03-01,2.19286
2023-03-02,6.66577
2023-03-03,5.86775
2023-03-04,2.26663
2023-03-05,1.74356
2023-03-06,7.46378
2023-03-07,6.53165
2023-03-08,6.56518
2023-03-09,6.63894
2023-03-10,6.38412
2023-03-11,2.03192
2023-03-12,2.02521
2023-03-13,7.21566
2023-03-14,7.51743
2023-03-15,6.38412
2023-03-16,7.32296
2023-03-17,5.71351
2023-03-18,2.18615
2023-03-19,2.09898
2023-03-20,7.20895
2023-03-21,7.05472
2023-03-22,6.91389
2023-03-23,6.34388
2023-03-24,6.08234
2023-03-25,2.29345
2023-03-26,2.02521
2023-03-27,8.51663
2023-03-28,6.95413
2023-03-29,6.43776
2023-03-30,6.46459
2023-03-31,6.91389
2023-04-01,2.11239
2023-04-02,1.77709
2023-04-03,7.18884
2023-04-04,6.32376
2023-04-05,6.59871
2023-04-06,6.07564
2023-04-07,6.1494
2023-04-08,2.21968
2023-04-09,1.89109
2023-04-10,7.91979
2023-04-11,6.51153
2023-04-12,6.54506
2023-04-13,6.35059
2023-04-14,5.96834
2023-04-15,1.8978
2023-04-16,1.86427
2023-04-17,6.96083
2023-04-18,6.51153
2023-04-19,5.83422
2023-04-20,6.08234
2023-04-21,6.29023
2023-04-22,2.21298
2023-04-23,1.94474
2023-04-24,7.49731
2023-04-25,9.62312
2023-04-26,8.36909
2023-04-27,7.93991
2023-04-28,7.61131
2023-04-29,2.3471
2023-04-30,1.80391
2023-05-01,3.95654
2023-05-02,9.03969
2023-05-03,7.10836
2023-05-04,6.13599
2023-05-05,1.99839
2023-05-06,2.21298
2023-05-07,1.92462
2023-05-08,7.30954
2023-05-09,7.45708
2023-05-10,7.89297
2023-05-11,7.24248
2023-05-12,7.30954
2023-05-13,2.36051
2023-05-14,1.93133
2023-05-15,7.93991
2023-05-16,8.00026
2023-05-17,6.71942
2023-05-18,6.5853
2023-05-19,5.78728
2023-05-20,2.2398
2023-05-21,1.95815
2023-05-22,8.08074
2023-05-23,7.5979
2023-05-24,6.89377
2023-05-25,7.57108
2023-05-26,7.40343
