date,환급금조회
2022-12-21,6.54575
2022-12-22,6.17052
2022-12-23,4.96143
2022-12-24,2.79341
2022-12-25,3.08526
2022-12-26,6.23306
2022-12-27,6.00375
2022-12-28,5.9829
2022-12-29,5.52428
2022-12-30,5.42005
2022-12-31,4.44027
2023-01-01,3.25203
2023-01-02,5.46174
2023-01-03,6.35814
2023-01-04,4.5445
2023-01-05,5.04481
2023-01-06,4.41942
2023-01-07,2.54325
2023-01-08,2.64748
2023-01-09,4.29435
2023-01-10,5.21159
2023-01-11,4.50281
2023-01-12,5.08651
2023-01-13,4.23181
2023-01-14,2.66833
2023-01-15,3.60642
2023-01-16,10.36064
2023-01-17,9.92286
2023-01-18,8.96393
2023-01-19,7.71315
2023-01-20,7.04607
2023-01-21,4.04419
2023-01-22,2.91849
2023-01-23,4.77381
2023-01-24,5.33666
2023-01-25,8.46362
2023-01-26,8.83885
2023-01-27,9.04732
2023-01-28,5.67021
2023-01-29,3.64811
2023-01-30,8.77631
2023-01-31,8.40108
2023-02-01,6.8376
2023-02-02,7.48384
2023-02-03,6.96268
2023-02-04,3.39795
2023-02-05,3.66895
2023-02-06,8.17177
2023-02-07,7.48384
2023-02-08,8.13008
2023-02-09,8.13008
2023-02-10,8.46362
2023-02-11,4.39858
2023-02-12,3.50218
2023-02-13,8.276
2023-02-14,8.17177
2023-02-15,8.38023
2023-02-16,7.12945
2023-02-17,6.10798
2023-02-18,3.77319
2023-02-19,3.25203
2023-02-20,8.04669
2023-02-21,6.48321
2023-02-22,6.71252
2023-02-23,6.27475
2023-02-24,6.04544
2023-02-25,2.41817
2023-02-26,3.04356
2023-02-27,5.89952
2023-02-28,6.5666
2023-03-01,3.62726
2023-03-02,5.96205
2023-03-03,5.19074
2023-03-04,2.93933
2023-03-05,3.1478
2023-03-06,5.58682
2023-03-07,5.21159
2023-03-08,5.94121
2023-03-09,5.79528
2023-03-10,6.58745
2023-03-11,1.83447
2023-03-12,2.02209
2023-03-13,3.66895
2023-03-14,2.96018
2023-03-15,4.31519
2023-03-16,4.33604
2023-03-17,4.21096
2023-03-18,2.60579
2023-03-19,2.96018
2023-03-20,6.02459
2023-03-21,4.73212
2023-03-22,5.00312
2023-03-23,5.56597
2023-03-24,5.06566
2023-03-25,2.54325
2023-03-26,2.37648
2023-03-27,4.98228
2023-03-28,4.06504
2023-03-29,4.77381
2023-03-30,4.39858
2023-03-31,3.85657
2023-04-01,1.95955
2023-04-02,1.75109
2023-04-03,3.89826
2023-04-04,7.31707
2023-04-05,7.37961
2023-04-06,5.33666
2023-04-07,4.5445
2023-04-08,2.16802
2023-04-09,2.87679
2023-04-10,4.33604
2023-04-11,4.73212
2023-04-12,5.23243
2023-04-13,4.25265
2023-04-14,3.62726
2023-04-15,1.52178
2023-04-16,2.02209
2023-04-17,3.1061
2023-04-18,3.75234
2023-04-19,3.91911
2023-04-20,3.64811
2023-04-21,4.08588
2023-04-22,2.35563
2023-04-23,2.08463
2023-04-24,6.08713
2023-04-25,7.29622
2023-04-26,8.005
2023-04-27,5.29497
2023-04-28,5.67021
2023-04-29,3.21033
2023-04-30,3.27287
2023-05-01,14.44652
2023-05-02,36.23097
2023-05-03,38.41984
2023-05-04,40.19178
2023-05-05,26.85011
2023-05-06,24.86971
2023-05-07,30.06045
2023-05-08,77.882
2023-05-09,98.74921
2023-05-10,79.00771
2023-05-11,76.79799
2023-05-12,50.4065
2023-05-13,36.04336
2023-05-14,33.31248
2023-05-15,47.48801
2023-05-16,43.90243
2023-05-17,56.57702
2023-05-18,59.43297
2023-05-19,48.40525
2023-05-20,37.27329
2023-05-21,34.06295
2023-05-22,47.61309
2023-05-23,39.98332
2023-05-24,43.61058
2023-05-25,49.13487
2023-05-26,34.3548
2023-05-27,20.57535
2023-05-28,20.8672
2023-05-29,35.50135
2023-05-30,80.98811
2023-05-31,82.17636
2023-06-01,19.92912
2023-06-02,15.30122
2023-06-03,8.83885
2023-06-04,9.52678
2023-06-05,14.73837
2023-06-06,10.2981
