date,신세계백화점제휴카드
2022-10-29,31.72413
2022-10-30,17.24137
2022-10-31,53.10344
2022-11-01,31.72413
2022-11-02,44.82758
2022-11-03,35.17241
2022-11-04,41.37931
2022-11-05,48.27586
2022-11-06,54.48275
2022-11-07,37.24137
2022-11-08,62.75862
2022-11-09,66.20689
2022-11-10,100.0
2022-11-11,55.17241
2022-11-12,53.7931
2022-11-13,54.48275
2022-11-14,27.5862
2022-11-15,46.20689
2022-11-16,42.06896
2022-11-17,35.86206
2022-11-18,38.62068
2022-11-19,39.31034
2022-11-20,55.86206
2022-11-21,47.5862
2022-11-22,42.06896
2022-11-23,28.27586
2022-11-24,24.82758
2022-11-25,30.34482
2022-11-26,19.31034
2022-11-27,44.82758
2022-11-28,33.7931
2022-11-29,37.93103
2022-11-30,41.37931
2022-12-01,57.24137
2022-12-02,56.55172
2022-12-03,40.0
2022-12-04,51.03448
2022-12-05,46.89655
2022-12-06,40.0
2022-12-07,55.17241
2022-12-08,53.7931
2022-12-09,42.75862
2022-12-10,33.7931
2022-12-11,33.7931
2022-12-12,58.62068
2022-12-13,46.89655
2022-12-14,43.44827
2022-12-15,42.75862
2022-12-16,45.51724
2022-12-17,44.82758
2022-12-18,55.86206
2022-12-19,46.20689
2022-12-20,40.68965
2022-12-21,31.03448
2022-12-22,31.03448
2022-12-23,37.93103
2022-12-24,28.27586
2022-12-25,40.0
2022-12-26,43.44827
2022-12-27,41.37931
2022-12-28,41.37931
2022-12-29,31.03448
2022-12-30,33.10344
2022-12-31,31.72413
2023-01-01,32.41379
2023-01-02,68.96551
2023-01-03,46.89655
2023-01-04,40.0
2023-01-05,38.62068
2023-01-06,61.37931
2023-01-07,50.34482
2023-01-08,41.37931
2023-01-09,48.96551
2023-01-10,48.96551
2023-01-11,42.06896
2023-01-12,42.06896
2023-01-13,35.17241
2023-01-14,57.24137
2023-01-15,56.55172
2023-01-16,46.89655
2023-01-17,41.37931
2023-01-18,31.03448
2023-01-19,39.31034
2023-01-20,27.5862
2023-01-21,15.17241
2023-01-22,17.93103
2023-01-23,37.93103
2023-01-24,37.93103
2023-01-25,47.5862
2023-01-26,43.44827
2023-01-27,55.17241
2023-01-28,32.41379
2023-01-29,38.62068
2023-01-30,42.75862
2023-01-31,31.72413
2023-02-01,31.72413
2023-02-02,40.0
2023-02-03,41.37931
2023-02-04,34.48275
2023-02-05,24.82758
2023-02-06,36.55172
2023-02-07,45.51724
2023-02-08,22.75862
2023-02-09,35.17241
2023-02-10,45.51724
2023-02-11,26.89655
2023-02-12,26.20689
2023-02-13,30.34482
2023-02-14,28.96551
2023-02-15,28.96551
2023-02-16,33.7931
2023-02-17,31.72413
2023-02-18,35.86206
2023-02-19,28.96551
2023-02-20,43.44827
2023-02-21,38.62068
2023-02-22,36.55172
2023-02-23,34.48275
2023-02-24,18.62068
2023-02-25,31.03448
2023-02-26,31.03448
2023-02-27,41.37931
2023-02-28,31.72413
2023-03-01,31.03448
2023-03-02,33.7931
2023-03-03,24.13793
2023-03-04,28.27586
2023-03-05,37.93103
2023-03-06,40.68965
2023-03-07,20.68965
2023-03-08,38.62068
2023-03-09,32.41379
2023-03-10,22.75862
2023-03-11,22.06896
2023-03-12,15.86206
2023-03-13,37.24137
2023-03-14,24.13793
2023-03-15,17.24137
2023-03-16,35.17241
2023-03-17,29.65517
2023-03-18,16.55172
2023-03-19,33.10344
2023-03-20,26.20689
2023-03-21,18.62068
2023-03-22,28.96551
2023-03-23,26.20689
2023-03-24,20.68965
2023-03-25,20.68965
2023-03-26,30.34482
2023-03-27,29.65517
2023-03-28,20.68965
2023-03-29,28.27586
2023-03-30,17.93103
2023-03-31,20.0
2023-04-01,28.27586
2023-04-02,37.24137
2023-04-03,28.27586
2023-04-04,23.44827
2023-04-05,35.86206
2023-04-06,25.51724
2023-04-07,28.27586
2023-04-08,36.55172
2023-04-09,35.17241
2023-04-10,33.7931
2023-04-11,28.27586
2023-04-12,14.48275
2023-04-13,17.24137
2023-04-14,35.17241
2023-04-15,42.75862
2023-04-16,36.55172
2023-04-17,29.65517
2023-04-18,35.17241
2023-04-19,22.06896
2023-04-20,29.65517
2023-04-21,13.7931
2023-04-22,25.51724
2023-04-23,24.82758
2023-04-24,44.13793
2023-04-25,23.44827
2023-04-26,13.10344
2023-04-27,4.82758
2023-04-28,19.31034
2023-04-29,20.68965
2023-04-30,28.27586
2023-05-01,44.13793
2023-05-02,32.41379
2023-05-03,22.75862
2023-05-04,26.20689
2023-05-05,30.34482
2023-05-06,22.75862
2023-05-07,31.72413
2023-05-08,36.55172
2023-05-09,29.65517
2023-05-10,19.31034
2023-05-11,16.55172
2023-05-12,22.06896
2023-05-13,20.68965
2023-05-14,24.13793
2023-05-15,19.31034
2023-05-16,22.06896
2023-05-17,28.96551
2023-05-18,26.89655
2023-05-19,25.51724
2023-05-20,17.24137
2023-05-21,17.93103
2023-05-22,21.37931
2023-05-23,26.89655
2023-05-24,22.75862
2023-05-25,21.37931
2023-05-26,22.06896
2023-05-27,22.06896
2023-05-28,18.62068
2023-05-29,36.55172
2023-05-30,25.51724
2023-05-31,26.89655
2023-06-01,26.89655
2023-06-02,38.62068
2023-06-03,21.37931
2023-06-04,32.41379
2023-06-05,23.44827
2023-06-06,21.37931
2023-06-07,24.82758
2023-06-08,28.27586
