date,카드사
2023-01-17,14.94449
2023-01-18,15.79846
2023-01-19,16.22544
2023-01-20,11.87019
2023-01-21,4.69684
2023-01-22,3.67207
2023-01-23,5.29461
2023-01-24,6.74637
2023-01-25,14.00512
2023-01-26,13.49274
2023-01-27,12.55337
2023-01-28,6.49017
2023-01-29,16.73783
2023-01-30,15.11528
2023-01-31,14.4321
2023-02-01,18.61656
2023-02-02,13.74893
2023-02-03,14.5175
2023-02-04,5.20922
2023-02-05,7.68573
2023-02-06,16.99402
2023-02-07,15.79846
2023-02-08,16.39624
2023-02-09,14.4321
2023-02-10,13.06575
2023-02-11,6.06319
2023-02-12,6.40478
2023-02-13,16.99402
2023-02-14,16.48163
2023-02-15,14.6029
2023-02-16,13.15115
2023-02-17,16.22544
2023-02-18,6.31938
2023-02-19,5.97779
2023-02-20,15.28608
2023-02-21,14.6029
2023-02-22,12.89496
2023-02-23,14.26131
2023-02-24,17.33561
2023-02-25,5.12382
2023-02-26,7.42954
2023-02-27,15.54227
2023-02-28,14.17591
2023-03-01,6.91716
2023-03-02,13.91972
2023-03-03,14.5175
2023-03-04,4.01366
2023-03-05,6.31938
2023-03-06,13.66353
2023-03-07,14.6029
2023-03-08,12.89496
2023-03-09,11.10162
2023-03-10,10.33304
2023-03-11,6.49017
2023-03-12,4.78223
2023-03-13,16.05465
2023-03-14,15.37147
2023-03-15,14.17591
2023-03-16,12.72416
2023-03-17,13.91972
2023-03-18,4.18445
2023-03-19,5.46541
2023-03-20,16.73783
2023-03-21,19.29974
2023-03-22,14.94449
2023-03-23,13.66353
2023-03-24,10.76003
2023-03-25,5.38001
2023-03-26,5.807
2023-03-27,14.6883
2023-03-28,15.88385
2023-03-29,12.98035
2023-03-30,14.17591
2023-03-31,10.50384
2023-04-01,6.06319
2023-04-02,5.29461
2023-04-03,12.46797
2023-04-04,15.11528
2023-04-05,12.72416
2023-04-06,13.15115
2023-04-07,11.87019
2023-04-08,3.92826
2023-04-09,4.61144
2023-04-10,14.77369
2023-04-11,13.49274
2023-04-12,14.26131
2023-04-13,14.6883
2023-04-14,11.95559
2023-04-15,5.12382
2023-04-16,4.35525
2023-04-17,12.29718
2023-04-18,16.22544
2023-04-19,13.23654
2023-04-20,13.74893
2023-04-21,11.44321
2023-04-22,4.61144
2023-04-23,4.44064
2023-04-24,12.72416
2023-04-25,14.17591
2023-04-26,12.12638
2023-04-27,15.79846
2023-04-28,15.37147
2023-04-29,4.44064
2023-04-30,5.46541
2023-05-01,8.19812
2023-05-02,16.14005
2023-05-03,16.56703
2023-05-04,15.02988
2023-05-05,5.55081
2023-05-06,5.55081
2023-05-07,5.38001
2023-05-08,18.18958
2023-05-09,17.07941
2023-05-10,16.48163
2023-05-11,18.78736
2023-05-12,12.55337
2023-05-13,4.69684
2023-05-14,5.20922
2023-05-15,21.43467
2023-05-16,18.70196
2023-05-17,15.20068
2023-05-18,13.91972
2023-05-19,11.5286
2023-05-20,5.6362
2023-05-21,4.44064
2023-05-22,16.65243
2023-05-23,15.20068
2023-05-24,13.66353
2023-05-25,17.76259
2023-05-26,18.27497
2023-05-27,5.38001
2023-05-28,5.6362
