date,법인
2022-08-18,27.41935
2022-08-19,26.09447
2022-08-20,16.30184
2022-08-21,17.39631
2022-08-22,27.53456
2022-08-23,28.2258
2022-08-24,30.52995
2022-08-25,27.93778
2022-08-26,24.36635
2022-08-27,13.36405
2022-08-28,13.01843
2022-08-29,24.53917
2022-08-30,26.55529
2022-08-31,24.71198
2022-09-01,25.40322
2022-09-02,18.26036
2022-09-03,13.24884
2022-09-04,13.99769
2022-09-05,26.15207
2022-09-06,28.51382
2022-09-07,29.7235
2022-09-08,26.6705
2022-09-09,15.84101
2022-09-10,13.59447
2022-09-11,16.01382
2022-09-12,20.3917
2022-09-13,30.41474
2022-09-14,37.6152
2022-09-15,31.62442
2022-09-16,31.10599
2022-09-17,17.79953
2022-09-18,18.31797
2022-09-19,32.66129
2022-09-20,32.9493
2022-09-21,33.35253
2022-09-22,34.15898
2022-09-23,26.6705
2022-09-24,14.34331
2022-09-25,12.73041
2022-09-26,28.62903
2022-09-27,27.99539
2022-09-28,30.70276
2022-09-29,27.82258
2022-09-30,24.94239
2022-10-01,13.99769
2022-10-02,14.51612
2022-10-03,16.12903
2022-10-04,29.7811
2022-10-05,30.93317
2022-10-06,30.87557
2022-10-07,27.76497
2022-10-08,16.30184
2022-10-09,16.99308
2022-10-10,18.54838
2022-10-11,27.30414
2022-10-12,31.91244
2022-10-13,29.89631
2022-10-14,27.70737
2022-10-15,21.08294
2022-10-16,19.06682
2022-10-17,29.55069
2022-10-18,33.29493
2022-10-19,33.17972
2022-10-20,31.10599
2022-10-21,26.90092
2022-10-22,17.91474
2022-10-23,17.2811
2022-10-24,28.57142
2022-10-25,28.85944
2022-10-26,29.7235
2022-10-27,28.68663
2022-10-28,24.88479
2022-10-29,16.53225
2022-10-30,13.88248
2022-10-31,26.09447
2022-11-01,27.18894
2022-11-02,30.93317
2022-11-03,27.30414
2022-11-04,25.69124
2022-11-05,17.74193
2022-11-06,14.28571
2022-11-07,27.53456
2022-11-08,28.05299
2022-11-09,30.93317
2022-11-10,29.49308
2022-11-11,23.5023
2022-11-12,15.95622
2022-11-13,13.88248
2022-11-14,28.97465
2022-11-15,28.2258
2022-11-16,29.08986
2022-11-17,26.38248
2022-11-18,22.69585
2022-11-19,14.45852
2022-11-20,16.07142
2022-11-21,25.80645
2022-11-22,29.03225
2022-11-23,28.45622
2022-11-24,25.40322
2022-11-25,26.44009
2022-11-26,15.20737
2022-11-27,15.14976
2022-11-28,23.27188
2022-11-29,27.01612
2022-11-30,29.55069
2022-12-01,30.24193
2022-12-02,22.35023
2022-12-03,13.70967
2022-12-04,14.97695
2022-12-05,24.07834
2022-12-06,26.15207
2022-12-07,25.74884
2022-12-08,31.10599
2022-12-09,26.78571
2022-12-10,20.91013
2022-12-11,18.49078
2022-12-12,35.48387
2022-12-13,35.08064
2022-12-14,33.00691
2022-12-15,34.04377
2022-12-16,30.47235
2022-12-17,19.29723
2022-12-18,18.894
2022-12-19,25.63364
2022-12-20,28.68663
2022-12-21,25.80645
2022-12-22,27.53456
2022-12-23,27.01612
2022-12-24,17.74193
2022-12-25,12.38479
2022-12-26,21.77419
2022-12-27,24.02073
2022-12-28,23.32949
2022-12-29,26.03686
2022-12-30,20.56451
2022-12-31,14.45852
2023-01-01,13.24884
2023-01-02,23.79032
2023-01-03,26.84331
2023-01-04,27.59216
2023-01-05,30.18433
2023-01-06,28.34101
2023-01-07,17.2235
2023-01-08,16.64746
2023-01-09,27.53456
2023-01-10,33.58294
2023-01-11,29.7235
2023-01-12,29.66589
2023-01-13,28.05299
2023-01-14,15.55299
2023-01-15,14.05529
2023-01-16,26.09447
2023-01-17,30.99078
2023-01-18,28.11059
2023-01-19,26.90092
2023-01-20,25.23041
2023-01-21,12.26958
2023-01-22,11.92396
2023-01-23,15.26497
2023-01-24,16.41705
2023-01-25,24.76958
2023-01-26,27.07373
2023-01-27,27.76497
2023-01-28,16.41705
2023-01-29,16.01382
2023-01-30,27.01612
2023-01-31,45.10368
2023-02-01,45.91013
2023-02-02,36.57834
2023-02-03,36.98156
2023-02-04,24.88479
2023-02-05,21.65898
2023-02-06,33.17972
2023-02-07,34.3894
2023-02-08,33.75576
2023-02-09,39.45852
2023-02-10,36.11751
2023-02-11,24.07834
2023-02-12,21.14055
2023-02-13,32.8341
2023-02-14,33.52534
2023-02-15,32.02764
2023-02-16,31.04838
2023-02-17,29.26267
2023-02-18,16.82027
2023-02-19,16.41705
2023-02-20,28.34101
2023-02-21,28.97465
2023-02-22,26.6705
2023-02-23,32.02764
2023-02-24,26.49769
2023-02-25,14.45852
2023-02-26,15.32258
2023-02-27,28.45622
2023-02-28,26.44009
2023-03-01,17.56912
2023-03-02,26.03686
2023-03-03,28.2258
2023-03-04,16.18663
2023-03-05,15.26497
2023-03-06,29.20506
2023-03-07,31.50921
2023-03-08,30.06912
2023-03-09,30.41474
2023-03-10,27.13133
2023-03-11,16.64746
2023-03-12,15.78341
2023-03-13,31.16359
2023-03-14,29.95391
2023-03-15,31.3364
2023-03-16,31.56682
2023-03-17,27.30414
2023-03-18,14.40092
2023-03-19,16.99308
2023-03-20,33.12211
2023-03-21,31.85483
2023-03-22,31.2788
2023-03-23,32.54608
2023-03-24,28.39861
2023-03-25,15.6682
2023-03-26,16.18663
2023-03-27,28.28341
2023-03-28,30.01152
2023-03-29,29.60829
2023-03-30,31.394
2023-03-31,26.26728
2023-04-01,16.76267
2023-04-02,14.40092
2023-04-03,26.72811
2023-04-04,30.64516
2023-04-05,30.41474
2023-04-06,30.18433
2023-04-07,27.36175
2023-04-08,16.47465
2023-04-09,18.66359
2023-04-10,30.12672
2023-04-11,32.66129
2023-04-12,29.55069
2023-04-13,32.48847
2023-04-14,27.76497
2023-04-15,21.54377
2023-04-16,19.12442
2023-04-17,31.68202
2023-04-18,36.17511
2023-04-19,32.77649
2023-04-20,30.29953
2023-04-21,30.99078
2023-04-22,19.87327
2023-04-23,20.96774
2023-04-24,29.95391
2023-04-25,30.01152
2023-04-26,28.97465
2023-04-27,25.40322
2023-04-28,22.81105
2023-04-29,14.45852
2023-04-30,14.40092
2023-05-01,17.91474
2023-05-02,27.99539
2023-05-03,26.78571
2023-05-04,23.90552
2023-05-05,15.6682
2023-05-06,14.97695
2023-05-07,15.84101
2023-05-08,26.20967
2023-05-09,27.93778
2023-05-10,27.99539
2023-05-11,25.51843
2023-05-12,24.94239
2023-05-13,13.94009
2023-05-14,14.63133
2023-05-15,24.71198
2023-05-16,25.86405
2023-05-17,27.59216
2023-05-18,28.68663
2023-05-19,26.26728
2023-05-20,12.96082
2023-05-21,15.26497
2023-05-22,25.40322
2023-05-23,28.51382
2023-05-24,29.95391
2023-05-25,27.64976
2023-05-26,23.21428
2023-05-27,13.82488
2023-05-28,13.59447
