date,학생돈버는법
2023-02-01,49.18032
2023-02-02,46.44808
2023-02-03,40.43715
2023-02-04,44.26229
2023-02-05,47.54098
2023-02-06,46.99453
2023-02-07,43.16939
2023-02-08,39.34426
2023-02-09,46.99453
2023-02-10,47.54098
2023-02-11,39.89071
2023-02-12,57.92349
2023-02-13,48.63387
2023-02-14,51.91256
2023-02-15,34.42622
2023-02-16,40.9836
2023-02-17,43.16939
2023-02-18,40.43715
2023-02-19,54.6448
2023-02-20,44.26229
2023-02-21,45.90163
2023-02-22,46.99453
2023-02-23,50.81967
2023-02-24,34.42622
2023-02-25,35.51912
2023-02-26,43.16939
2023-02-27,44.26229
2023-02-28,30.05464
2023-03-01,37.15846
2023-03-02,34.42622
2023-03-03,19.12568
2023-03-04,27.3224
2023-03-05,37.70491
2023-03-06,18.57923
2023-03-07,25.13661
2023-03-08,21.85792
2023-03-09,29.50819
2023-03-10,18.57923
2023-03-11,40.43715
2023-03-12,49.18032
2023-03-13,24.59016
2023-03-14,15.30054
2023-03-15,19.12568
2023-03-16,19.12568
2023-03-17,17.48633
2023-03-18,27.3224
2023-03-19,42.62295
2023-03-20,31.69398
2023-03-21,16.93989
2023-03-22,23.49726
2023-03-23,17.48633
2023-03-24,15.30054
2023-03-25,30.60109
2023-03-26,40.9836
2023-03-27,24.59016
2023-03-28,16.93989
2023-03-29,20.76502
2023-03-30,17.48633
2023-03-31,16.93989
2023-04-01,25.13661
2023-04-02,39.34426
2023-04-03,24.04371
2023-04-04,12.5683
2023-04-05,16.93989
2023-04-06,15.30054
2023-04-07,17.48633
2023-04-08,19.12568
2023-04-09,33.87978
2023-04-10,23.49726
2023-04-11,10.92896
2023-04-12,21.85792
2023-04-13,18.57923
2023-04-14,12.02185
2023-04-15,28.96174
2023-04-16,28.96174
2023-04-17,17.48633
2023-04-18,13.6612
2023-04-19,18.57923
2023-04-20,9.83606
2023-04-21,25.68306
2023-04-22,21.85792
2023-04-23,23.49726
2023-04-24,15.30054
2023-04-25,18.03278
2023-04-26,22.40437
2023-04-27,18.57923
2023-04-28,15.30054
