date,국세완납증명서발급
2022-10-04,25.34759
2022-10-05,25.08021
2022-10-06,22.70053
2022-10-07,16.2032
2022-10-08,2.29946
2022-10-09,1.89839
2022-10-10,4.6524
2022-10-11,26.22994
2022-10-12,23.44919
2022-10-13,22.99465
2022-10-14,18.82352
2022-10-15,2.96791
2022-10-16,4.25133
2022-10-17,25.2139
2022-10-18,27.62032
2022-10-19,28.63636
2022-10-20,24.4385
2022-10-21,18.58288
2022-10-22,2.64705
2022-10-23,4.27807
2022-10-24,27.86096
2022-10-25,28.3155
2022-10-26,28.15508
2022-10-27,25.96256
2022-10-28,19.54545
2022-10-29,3.71657
2022-10-30,3.28877
2022-10-31,26.31016
2022-11-01,21.09625
2022-11-02,22.86096
2022-11-03,20.56149
2022-11-04,17.83422
2022-11-05,2.62032
2022-11-06,3.3155
2022-11-07,21.39037
2022-11-08,21.52406
2022-11-09,19.06417
2022-11-10,18.79679
2022-11-11,16.04278
2022-11-12,2.48663
2022-11-13,3.68983
2022-11-14,23.20855
2022-11-15,23.58288
2022-11-16,21.68449
2022-11-17,19.41176
2022-11-18,14.25133
2022-11-19,2.16577
2022-11-20,2.96791
2022-11-21,20.96256
2022-11-22,19.33155
2022-11-23,19.89304
2022-11-24,16.49732
2022-11-25,17.03208
2022-11-26,2.67379
2022-11-27,2.83422
2022-11-28,22.00534
2022-11-29,21.52406
2022-11-30,18.98395
2022-12-01,19.49197
2022-12-02,16.71122
2022-12-03,2.24598
2022-12-04,3.36898
2022-12-05,21.65775
2022-12-06,21.14973
2022-12-07,18.74331
2022-12-08,19.35828
2022-12-09,13.74331
2022-12-10,2.3262
2022-12-11,3.44919
2022-12-12,23.877
2022-12-13,23.50267
2022-12-14,20.64171
2022-12-15,21.39037
2022-12-16,17.43315
2022-12-17,2.40641
2022-12-18,3.02139
2022-12-19,23.82352
2022-12-20,22.72727
2022-12-21,22.16577
2022-12-22,17.96791
2022-12-23,14.0909
2022-12-24,2.51336
2022-12-25,2.72727
2022-12-26,23.79679
2022-12-27,20.93582
2022-12-28,18.20855
2022-12-29,14.25133
2022-12-30,10.45454
2022-12-31,1.79144
2023-01-01,1.52406
2023-01-02,15.93582
2023-01-03,18.93048
2023-01-04,17.21925
2023-01-05,21.28342
2023-01-06,15.48128
2023-01-07,3.20855
2023-01-08,3.55614
2023-01-09,21.87165
2023-01-10,19.86631
2023-01-11,21.09625
2023-01-12,20.82887
2023-01-13,14.62566
2023-01-14,3.93048
2023-01-15,4.73262
2023-01-16,29.27807
2023-01-17,23.98395
2023-01-18,25.69518
2023-01-19,24.17112
2023-01-20,14.01069
2023-01-21,1.65775
2023-01-22,0.72192
2023-01-23,1.71122
2023-01-24,3.79679
2023-01-25,29.51871
2023-01-26,26.28342
2023-01-27,23.18181
2023-01-28,3.98395
2023-01-29,5.13368
2023-01-30,30.74866
2023-01-31,25.80213
2023-02-01,25.34759
2023-02-02,25.56149
2023-02-03,23.15508
2023-02-04,4.33155
2023-02-05,4.33155
2023-02-06,28.44919
2023-02-07,27.48663
2023-02-08,27.40641
2023-02-09,24.19786
2023-02-10,21.39037
2023-02-11,3.93048
2023-02-12,4.73262
2023-02-13,28.12834
2023-02-14,27.48663
2023-02-15,24.59893
2023-02-16,26.92513
2023-02-17,21.36363
2023-02-18,4.73262
2023-02-19,5.93582
2023-02-20,30.29411
2023-02-21,30.37433
2023-02-22,26.81818
2023-02-23,28.12834
2023-02-24,19.81283
2023-02-25,3.20855
2023-02-26,3.98395
2023-02-27,26.47058
2023-02-28,24.51871
2023-03-01,5.58823
2023-03-02,25.58823
2023-03-03,23.07486
2023-03-04,3.90374
2023-03-05,4.94652
2023-03-06,31.49732
2023-03-07,29.22459
2023-03-08,27.03208
2023-03-09,25.64171
2023-03-10,23.12834
2023-03-11,3.68983
2023-03-12,4.4385
2023-03-13,30.85561
2023-03-14,30.40106
2023-03-15,26.39037
2023-03-16,27.08556
2023-03-17,22.67379
2023-03-18,3.877
2023-03-19,4.35828
2023-03-20,27.67379
2023-03-21,23.18181
2023-03-22,26.33689
2023-03-23,26.36363
2023-03-24,20.9893
2023-03-25,3.23529
2023-03-26,3.90374
2023-03-27,29.94652
2023-03-28,27.35294
2023-03-29,25.29411
2023-03-30,23.34224
2023-03-31,21.01604
2023-04-01,3.36898
2023-04-02,3.55614
2023-04-03,29.83957
2023-04-04,26.52406
2023-04-05,25.88235
2023-04-06,26.63101
2023-04-07,21.89839
2023-04-08,3.28877
2023-04-09,3.23529
2023-04-10,25.82887
2023-04-11,24.97326
2023-04-12,26.84491
2023-04-13,25.24064
2023-04-14,21.06951
2023-04-15,3.50267
2023-04-16,4.57219
2023-04-17,25.85561
2023-04-18,25.13368
2023-04-19,27.03208
2023-04-20,26.57754
2023-04-21,22.75401
2023-04-22,3.6631
2023-04-23,4.46524
2023-04-24,30.0
2023-04-25,30.26737
2023-04-26,31.12299
2023-04-27,30.37433
2023-04-28,24.97326
2023-04-29,3.79679
2023-04-30,3.3155
2023-05-01,10.29411
2023-05-02,30.80213
2023-05-03,29.17112
2023-05-04,24.33155
2023-05-05,4.0909
2023-05-06,4.03743
2023-05-07,4.6524
2023-05-08,31.06951
2023-05-09,30.50802
2023-05-10,29.25133
2023-05-11,28.71657
2023-05-12,24.41176
2023-05-13,4.78609
2023-05-14,4.6524
2023-05-15,31.22994
2023-05-16,30.05347
2023-05-17,28.74331
2023-05-18,29.57219
2023-05-19,23.28877
2023-05-20,4.81283
2023-05-21,4.70588
2023-05-22,34.22459
2023-05-23,31.25668
2023-05-24,29.06417
