date,금값
2023-04-13,9.36635
2023-04-14,10.39908
2023-04-15,6.63541
2023-04-16,4.74123
2023-04-17,10.11495
2023-04-18,7.3713
2023-04-19,7.57923
2023-04-20,7.55746
2023-04-21,6.66915
2023-04-22,4.04235
2023-04-23,3.36814
2023-04-24,6.51239
2023-04-25,6.67387
2023-04-26,7.05234
2023-04-27,6.94638
2023-04-28,5.90024
2023-04-29,3.78362
2023-04-30,3.1838
2023-05-01,4.28983
2023-05-02,5.78775
2023-05-03,7.02694
2023-05-04,7.71929
2023-05-05,4.95424
2023-05-06,4.25027
2023-05-07,3.46067
2023-05-08,7.78461
2023-05-09,6.92062
2023-05-10,6.65391
2023-05-11,6.14154
2023-05-12,5.62083
2023-05-13,3.92587
2023-05-14,3.25093
2023-05-15,6.32515
2023-05-16,6.12231
2023-05-17,5.67997
2023-05-18,5.30078
2023-05-19,5.64949
2023-05-20,3.23098
2023-05-21,2.73856
2023-05-22,5.29787
2023-05-23,5.2351
2023-05-24,5.06528
2023-05-25,5.18575
2023-05-26,4.59282
2023-05-27,2.95048
2023-05-28,2.54588
