date,메지온주가
2022-12-01,3.10432
2022-12-02,2.23849
2022-12-03,0.26045
2022-12-04,0.21469
2022-12-05,2.56581
2022-12-06,2.28424
2022-12-07,2.22089
2022-12-08,2.27016
2022-12-09,3.43516
2022-12-10,0.58777
2022-12-11,0.36604
2022-12-12,2.8509
2022-12-13,2.85794
2022-12-14,3.25566
2022-12-15,2.55525
2022-12-16,2.35815
2022-12-17,0.68632
2022-12-18,0.64057
2022-12-19,4.00886
2022-12-20,2.82275
2022-12-21,2.71716
2022-12-22,4.6776
2022-12-23,3.37181
2022-12-24,0.33436
2022-12-25,0.27453
2022-12-26,3.75193
2022-12-27,3.46332
2022-12-28,2.83682
2022-12-29,2.63621
2022-12-30,0.94678
2022-12-31,0.26045
2023-01-01,0.33084
2023-01-02,2.67844
2023-01-03,2.71012
2023-01-04,2.58341
2023-01-05,2.43559
2023-01-06,2.69252
2023-01-07,0.38012
2023-01-08,0.23229
2023-01-09,2.57989
2023-01-10,2.25256
2023-01-11,2.40743
2023-01-12,2.33352
2023-01-13,2.44966
2023-01-14,0.36956
2023-01-15,0.29213
2023-01-16,2.33
2023-01-17,2.13642
2023-01-18,2.03435
2023-01-19,2.03083
2023-01-20,1.97451
2023-01-21,0.25341
2023-01-22,0.19006
2023-01-23,0.16542
2023-01-24,0.23581
2023-01-25,2.43911
2023-01-26,2.4567
2023-01-27,2.15753
2023-01-28,0.32732
2023-01-29,0.26397
2023-01-30,2.00971
2023-01-31,1.94988
2023-02-01,3.98423
2023-02-02,4.63888
2023-02-03,3.07616
2023-02-04,0.41883
2023-02-05,0.31324
2023-02-06,2.67844
2023-02-07,2.37927
2023-02-08,2.46726
2023-02-09,2.37223
2023-02-10,2.06602
2023-02-11,0.36604
2023-02-12,0.20061
2023-02-13,2.23497
2023-02-14,2.72068
2023-02-15,2.22793
2023-02-16,2.74883
2023-02-17,2.68196
2023-02-18,0.38012
2023-02-19,0.21117
2023-02-20,11.3086
2023-02-21,8.05997
2023-02-22,5.20554
2023-02-23,4.35027
2023-02-24,4.39954
2023-02-25,0.89046
2023-02-26,0.63001
2023-02-27,3.84696
2023-02-28,3.72729
2023-03-01,0.63705
2023-03-02,3.04096
2023-03-03,2.73124
2023-03-04,0.44699
2023-03-05,0.32028
2023-03-06,2.80515
2023-03-07,3.86456
2023-03-08,3.42108
2023-03-09,5.08939
2023-03-10,11.04814
2023-03-11,1.93228
2023-03-12,1.62607
2023-03-13,11.64296
2023-03-14,14.0328
2023-03-15,9.7318
2023-03-16,8.07405
2023-03-17,6.88441
2023-03-18,1.29874
2023-03-19,1.04885
2023-03-20,7.38068
2023-03-21,8.76038
2023-03-22,6.3635
2023-03-23,6.12417
2023-03-24,5.10699
2023-03-25,0.79191
2023-03-26,0.75672
2023-03-27,3.66042
2023-03-28,4.73391
2023-03-29,3.79769
2023-03-30,5.2689
2023-03-31,4.4453
2023-04-01,0.64057
2023-04-02,0.60537
2023-04-03,4.14261
2023-04-04,6.05026
2023-04-05,6.31775
2023-04-06,4.89581
2023-04-07,4.05814
