date,근저당설정비용
2023-03-19,22.55639
2023-03-20,54.88721
2023-03-21,56.76691
2023-03-22,62.78195
2023-03-23,58.27067
2023-03-24,48.87218
2023-03-25,23.68421
2023-03-26,28.94736
2023-03-27,64.28571
2023-03-28,63.53383
2023-03-29,52.63157
2023-03-30,43.60902
2023-03-31,42.4812
2023-04-01,27.06766
2023-04-02,21.80451
2023-04-03,46.99248
2023-04-04,58.27067
2023-04-05,45.48872
2023-04-06,53.00751
2023-04-07,45.48872
2023-04-08,17.66917
2023-04-09,22.55639
2023-04-10,46.61654
2023-04-11,55.26315
2023-04-12,59.02255
2023-04-13,45.86466
2023-04-14,45.48872
2023-04-15,27.06766
2023-04-16,19.17293
2023-04-17,42.85714
2023-04-18,55.26315
2023-04-19,60.52631
2023-04-20,60.52631
2023-04-21,56.76691
2023-04-22,24.81203
2023-04-23,24.43609
2023-04-24,65.41353
2023-04-25,62.40601
2023-04-26,63.53383
2023-04-27,55.63909
2023-04-28,45.11278
2023-04-29,18.04511
2023-04-30,15.78947
2023-05-01,31.57894
2023-05-02,46.61654
2023-05-03,45.48872
2023-05-04,42.4812
2023-05-05,10.52631
2023-05-06,19.54887
2023-05-07,21.80451
2023-05-08,55.26315
2023-05-09,57.89473
2023-05-10,57.14285
2023-05-11,64.28571
2023-05-12,45.86466
2023-05-13,25.18796
2023-05-14,16.54135
2023-05-15,58.64661
2023-05-16,57.51879
2023-05-17,50.0
2023-05-18,49.24812
2023-05-19,45.11278
2023-05-20,19.92481
2023-05-21,16.54135
2023-05-22,51.12781
2023-05-23,51.87969
2023-05-24,60.15037
2023-05-25,47.74436
2023-05-26,50.0
