date,퇴직금세금
2023-03-12,25.18796
2023-03-13,57.51879
2023-03-14,60.37593
2023-03-15,56.42857
2023-03-16,49.47368
2023-03-17,45.86466
2023-03-18,25.63909
2023-03-19,21.65413
2023-03-20,50.03759
2023-03-21,49.39849
2023-03-22,46.09022
2023-03-23,40.11278
2023-03-24,43.53383
2023-03-25,23.64661
2023-03-26,22.25563
2023-03-27,43.87218
2023-03-28,43.27067
2023-03-29,40.48872
2023-03-30,44.9624
2023-03-31,44.3233
2023-04-01,22.96992
2023-04-02,19.73684
2023-04-03,42.59398
2023-04-04,42.55639
2023-04-05,43.1203
2023-04-06,41.8421
2023-04-07,37.96992
2023-04-08,20.71428
2023-04-09,18.98496
2023-04-10,50.63909
2023-04-11,45.15037
2023-04-12,43.15789
2023-04-13,45.82706
2023-04-14,45.22556
2023-04-15,23.45864
2023-04-16,19.06015
2023-04-17,47.03007
2023-04-18,42.21804
2023-04-19,41.31578
2023-04-20,42.33082
2023-04-21,36.12781
2023-04-22,19.17293
2023-04-23,19.24812
2023-04-24,42.51879
2023-04-25,43.75939
2023-04-26,39.62406
2023-04-27,39.88721
2023-04-28,39.3609
2023-04-29,22.51879
2023-04-30,20.93984
2023-05-01,26.05263
2023-05-02,41.69172
2023-05-03,40.93984
2023-05-04,42.96992
2023-05-05,22.55639
2023-05-06,18.23308
2023-05-07,19.81203
2023-05-08,41.35338
2023-05-09,46.91729
2023-05-10,59.43609
2023-05-11,47.74436
2023-05-12,41.35338
2023-05-13,21.31578
2023-05-14,17.78195
2023-05-15,47.40601
2023-05-16,45.18796
2023-05-17,39.81203
2023-05-18,40.63909
2023-05-19,36.35338
2023-05-20,20.26315
2023-05-21,18.79699
2023-05-22,40.90225
2023-05-23,38.87218
2023-05-24,39.69924
2023-05-25,48.0827
