date,부동산등기
2022-12-22,48.75
2022-12-23,49.0625
2022-12-24,25.0
2022-12-25,20.625
2022-12-26,64.0625
2022-12-27,59.6875
2022-12-28,54.375
2022-12-29,53.4375
2022-12-30,55.9375
2022-12-31,20.0
2023-01-01,13.75
2023-01-02,54.6875
2023-01-03,59.0625
2023-01-04,55.9375
2023-01-05,55.9375
2023-01-06,56.875
2023-01-07,25.3125
2023-01-08,20.9375
2023-01-09,60.625
2023-01-10,58.4375
2023-01-11,72.8125
2023-01-12,63.4375
2023-01-13,53.4375
2023-01-14,24.375
2023-01-15,33.75
2023-01-16,76.875
2023-01-17,70.0
2023-01-18,70.625
2023-01-19,67.5
2023-01-20,44.0625
2023-01-21,16.5625
2023-01-22,22.1875
2023-01-23,17.5
2023-01-24,26.5625
2023-01-25,71.875
2023-01-26,58.75
2023-01-27,63.75
2023-01-28,31.875
2023-01-29,33.4375
2023-01-30,83.125
2023-01-31,73.4375
2023-02-01,68.125
2023-02-02,62.1875
2023-02-03,58.75
2023-02-04,27.1875
2023-02-05,30.0
2023-02-06,79.6875
2023-02-07,85.0
2023-02-08,71.875
2023-02-09,60.9375
2023-02-10,60.625
2023-02-11,28.4375
2023-02-12,29.6875
2023-02-13,68.4375
2023-02-14,67.5
2023-02-15,65.0
2023-02-16,65.3125
2023-02-17,59.6875
2023-02-18,32.8125
2023-02-19,31.875
2023-02-20,86.5625
2023-02-21,67.5
2023-02-22,65.0
2023-02-23,71.875
2023-02-24,58.4375
2023-02-25,30.9375
2023-02-26,15.9375
2023-02-27,70.625
2023-02-28,65.9375
2023-03-01,29.0625
2023-03-02,71.5625
2023-03-03,60.625
2023-03-04,28.75
2023-03-05,23.4375
2023-03-06,76.5625
2023-03-07,56.875
2023-03-08,62.8125
2023-03-09,63.125
2023-03-10,60.9375
2023-03-11,26.875
2023-03-12,27.8125
2023-03-13,72.1875
2023-03-14,72.1875
2023-03-15,80.625
2023-03-16,63.75
2023-03-17,59.375
2023-03-18,26.875
2023-03-19,29.0625
2023-03-20,78.125
2023-03-21,70.0
2023-03-22,65.3125
2023-03-23,67.8125
2023-03-24,60.0
2023-03-25,28.125
2023-03-26,24.6875
2023-03-27,75.625
2023-03-28,70.625
2023-03-29,55.625
2023-03-30,71.5625
2023-03-31,51.25
2023-04-01,25.625
2023-04-02,23.4375
2023-04-03,68.125
2023-04-04,71.5625
2023-04-05,64.375
2023-04-06,57.1875
2023-04-07,62.1875
2023-04-08,20.625
2023-04-09,26.875
2023-04-10,67.1875
2023-04-11,67.1875
2023-04-12,69.6875
2023-04-13,61.25
2023-04-14,57.5
2023-04-15,28.75
2023-04-16,24.6875
2023-04-17,80.0
2023-04-18,78.4375
2023-04-19,81.875
2023-04-20,76.25
2023-04-21,68.4375
2023-04-22,35.0
2023-04-23,35.625
2023-04-24,86.875
2023-04-25,77.1875
2023-04-26,79.375
2023-04-27,72.5
2023-04-28,63.125
2023-04-29,29.375
2023-04-30,26.25
2023-05-01,44.6875
2023-05-02,76.875
2023-05-03,68.125
2023-05-04,52.1875
2023-05-05,21.5625
2023-05-06,21.25
2023-05-07,25.3125
2023-05-08,75.625
2023-05-09,70.9375
2023-05-10,77.5
2023-05-11,66.5625
2023-05-12,51.5625
2023-05-13,29.6875
2023-05-14,29.6875
2023-05-15,75.3125
2023-05-16,75.625
2023-05-17,53.125
2023-05-18,59.375
2023-05-19,69.375
2023-05-20,25.9375
2023-05-21,26.5625
2023-05-22,76.5625
2023-05-23,77.5
2023-05-24,66.5625
2023-05-25,62.8125
2023-05-26,53.4375
2023-05-27,22.5
2023-05-28,23.75
2023-05-29,29.0625
2023-05-30,73.125
2023-05-31,79.0625
2023-06-01,54.6875
2023-06-02,64.375
2023-06-03,27.8125
2023-06-04,30.625
2023-06-05,58.75
2023-06-06,30.9375
2023-06-07,79.375
2023-06-08,64.375
2023-06-09,65.3125
2023-06-10,27.5
2023-06-11,37.5
2023-06-12,88.125
2023-06-13,73.75
2023-06-14,74.6875
2023-06-15,62.5
2023-06-16,61.25
2023-06-17,30.0
2023-06-18,31.25
2023-06-19,77.5
2023-06-20,74.0625
2023-06-21,67.8125
2023-06-22,64.375
2023-06-23,60.0
2023-06-24,27.8125
2023-06-25,27.1875
2023-06-26,71.875
2023-06-27,74.375
2023-06-28,71.875
2023-06-29,77.8125
2023-06-30,62.5
2023-07-01,31.5625
2023-07-02,30.0
2023-07-03,80.3125
2023-07-04,69.0625
2023-07-05,70.0
2023-07-06,68.125
2023-07-07,55.0
2023-07-08,22.8125
2023-07-09,27.8125
2023-07-10,73.125
2023-07-11,66.5625
2023-07-12,62.1875
2023-07-13,66.875
2023-07-14,55.3125
