date,솔라나시세
2024-01-17,20.93307
2024-01-18,20.61553
2024-01-19,17.51343
2024-01-20,14.36248
2024-01-21,11.30923
2024-01-22,13.7274
2024-01-23,19.32095
2024-01-24,17.80654
2024-01-25,15.31509
2024-01-26,14.19149
2024-01-27,14.70444
2024-01-28,15.46165
2024-01-29,15.55935
2024-01-30,21.37274
2024-01-31,19.49193
2024-02-01,17.22032
2024-02-02,18.19736
2024-02-03,13.70297
2024-02-04,12.23742
2024-02-05,13.7274
2024-02-06,13.1656
2024-02-07,15.6082
2024-02-08,21.03077
2024-02-09,16.92721
2024-02-10,20.3957
2024-02-11,19.14997
2024-02-12,17.04934
2024-02-13,33.31704
2024-02-14,26.38006
2024-02-15,30.82559
2024-02-16,22.54518
2024-02-17,16.8295
2024-02-18,14.65559
2024-02-19,19.98045
2024-02-20,19.88275
2024-02-21,17.65999
2024-02-22,15.65705
2024-02-23,13.28773
2024-02-24,12.18856
2024-02-25,11.23595
2024-02-26,12.01758
2024-02-27,24.74352
2024-02-28,25.3786
2024-02-29,44.21104
2024-03-01,37.66487
2024-03-02,35.51538
2024-03-03,23.13141
2024-03-04,29.7997
2024-03-05,36.61455
2024-03-06,33.29262
2024-03-07,32.38886
2024-03-08,34.09868
2024-03-09,26.94186
2024-03-10,25.59843
2024-03-11,35.53981
2024-03-12,37.71372
2024-03-13,37.71372
2024-03-14,50.14655
2024-03-15,55.59355
2024-03-16,48.36345
2024-03-17,42.72105
2024-03-18,66.21885
2024-03-19,82.36443
2024-03-20,60.45432
