date,가자고
2023-05-27,1.4754
2023-05-28,1.80327
2023-05-29,2.45901
2023-05-30,3.11475
2023-05-31,3.44262
2023-06-01,4.09836
2023-06-02,3.77049
2023-06-03,4.09836
2023-06-04,5.08196
2023-06-05,4.59016
2023-06-06,3.77049
2023-06-07,4.26229
2023-06-08,2.95081
2023-06-09,4.91803
2023-06-10,3.60655
2023-06-11,3.44262
2023-06-12,4.26229
2023-06-13,3.44262
2023-06-14,3.44262
2023-06-15,2.29508
2023-06-16,3.93442
2023-06-17,2.95081
2023-06-18,2.62295
2023-06-19,4.26229
2023-06-20,4.09836
2023-06-21,4.59016
2023-06-22,4.59016
2023-06-23,2.62295
2023-06-24,2.13114
2023-06-25,1.80327
2023-06-26,10.16393
2023-06-27,4.59016
2023-06-28,3.77049
2023-06-29,3.60655
2023-06-30,5.2459
2023-07-01,2.95081
2023-07-02,2.29508
2023-07-03,3.77049
2023-07-04,3.77049
2023-07-05,4.09836
2023-07-06,3.11475
2023-07-07,3.60655
2023-07-08,1.4754
2023-07-09,1.96721
2023-07-10,3.11475
2023-07-11,3.60655
2023-07-12,1.31147
2023-07-13,1.96721
2023-07-14,3.44262
2023-07-15,2.78688
2023-07-16,1.14754
2023-07-17,3.77049
2023-07-18,3.11475
2023-07-19,3.11475
2023-07-20,2.95081
2023-07-21,3.44262
2023-07-22,2.29508
2023-07-23,1.14754
2023-07-24,2.95081
2023-07-25,4.59016
2023-07-26,3.77049
2023-07-27,2.29508
2023-07-28,3.93442
2023-07-29,2.13114
2023-07-30,1.31147
2023-07-31,4.26229
2023-08-01,1.80327
2023-08-02,2.29508
2023-08-03,2.45901
2023-08-04,2.95081
2023-08-05,4.75409
2023-08-06,5.2459
2023-08-07,4.09836
2023-08-08,3.44262
2023-08-09,3.93442
2023-08-10,3.93442
2023-08-11,4.09836
2023-08-12,2.13114
2023-08-13,1.96721
2023-08-14,3.11475
2023-08-15,2.62295
2023-08-16,1.96721
2023-08-17,4.26229
2023-08-18,6.2295
2023-08-19,2.78688
2023-08-20,1.4754
2023-08-21,1.96721
2023-08-22,4.09836
2023-08-23,3.11475
2023-08-24,2.13114
2023-08-25,2.45901
2023-08-26,1.96721
2023-08-27,3.44262
2023-08-28,4.59016
2023-08-29,3.27868
2023-08-30,2.13114
2023-08-31,2.45901
2023-09-01,2.95081
2023-09-02,1.80327
2023-09-03,1.31147
2023-09-04,3.27868
2023-09-05,4.59016
2023-09-06,3.60655
2023-09-07,3.93442
2023-09-08,5.57377
2023-09-09,2.29508
2023-09-10,5.57377
2023-09-11,3.77049
2023-09-12,3.60655
2023-09-13,8.52459
2023-09-14,8.68852
2023-09-15,7.04918
2023-09-16,11.80327
2023-09-17,13.77049
2023-09-18,22.29508
2023-09-19,17.04918
2023-09-20,13.60655
2023-09-21,16.55737
2023-09-22,15.08196
2023-09-23,11.14754
2023-09-24,8.36065
2023-09-25,100.0
2023-09-26,32.13114
2023-09-27,26.39344
2023-09-28,12.62295
2023-09-29,13.27868
2023-09-30,12.78688
2023-10-01,16.2295
2023-10-02,16.06557
2023-10-03,16.55737
2023-10-04,16.88524
2023-10-05,14.91803
2023-10-06,12.78688
2023-10-07,7.37704
2023-10-08,7.86885
2023-10-09,11.63934
2023-10-10,10.0
2023-10-11,10.0
2023-10-12,10.9836
2023-10-13,7.37704
2023-10-14,10.16393
2023-10-15,10.0
