date,자동차보험비교
2022-11-13,13.36538
2022-11-14,25.5048
2022-11-15,25.67307
2022-11-16,23.82211
2022-11-17,23.07692
2022-11-18,19.30288
2022-11-19,10.91346
2022-11-20,12.88461
2022-11-21,25.45673
2022-11-22,24.35096
2022-11-23,21.46634
2022-11-24,19.51923
2022-11-25,18.99038
2022-11-26,12.25961
2022-11-27,13.34134
2022-11-28,22.88461
2022-11-29,25.07211
2022-11-30,25.1923
2022-12-01,24.0625
2022-12-02,21.77884
2022-12-03,12.78846
2022-12-04,19.01442
2022-12-05,27.66826
2022-12-06,26.15384
2022-12-07,24.61538
2022-12-08,22.83653
2022-12-09,22.3798
2022-12-10,12.71634
2022-12-11,13.77403
2022-12-12,27.16346
2022-12-13,28.34134
2022-12-14,28.99038
2022-12-15,24.66346
2022-12-16,22.23557
2022-12-17,13.70192
2022-12-18,14.5673
2022-12-19,27.8125
2022-12-20,26.99519
2022-12-21,25.60096
2022-12-22,23.75
2022-12-23,24.13461
2022-12-24,14.35096
2022-12-25,12.62019
2022-12-26,29.5673
2022-12-27,28.53365
2022-12-28,25.26442
2022-12-29,21.97115
2022-12-30,20.28846
2022-12-31,13.65384
2023-01-01,14.75961
2023-01-02,31.63461
2023-01-03,31.46634
2023-01-04,29.85576
2023-01-05,26.05769
2023-01-06,24.2548
2023-01-07,13.55769
2023-01-08,15.21634
2023-01-09,29.27884
2023-01-10,25.96153
2023-01-11,22.64423
2023-01-12,22.5
2023-01-13,23.79807
2023-01-14,14.92788
2023-01-15,14.8798
2023-01-16,27.11538
2023-01-17,25.43269
2023-01-18,23.84615
2023-01-19,20.3125
2023-01-20,16.94711
2023-01-21,9.27884
2023-01-22,8.05288
2023-01-23,9.08653
2023-01-24,11.97115
2023-01-25,28.02884
2023-01-26,27.78846
2023-01-27,24.375
2023-01-28,13.38942
2023-01-29,13.87019
2023-01-30,26.65865
2023-01-31,27.04326
2023-02-01,25.98557
2023-02-02,24.08653
2023-02-03,22.71634
2023-02-04,14.63942
2023-02-05,15.64903
2023-02-06,27.28365
2023-02-07,24.20673
2023-02-08,23.4375
2023-02-09,24.8798
2023-02-10,23.46153
2023-02-11,14.23076
2023-02-12,14.49519
2023-02-13,30.0
2023-02-14,27.09134
2023-02-15,26.65865
2023-02-16,24.13461
2023-02-17,22.5
2023-02-18,14.11057
2023-02-19,14.47115
2023-02-20,28.10096
2023-02-21,25.64903
2023-02-22,24.8798
2023-02-23,23.58173
2023-02-24,22.35576
2023-02-25,12.93269
2023-02-26,19.71153
2023-02-27,35.88942
2023-02-28,29.01442
2023-03-01,20.36057
2023-03-02,29.375
2023-03-03,24.375
2023-03-04,16.1298
2023-03-05,18.19711
2023-03-06,31.85096
2023-03-07,31.53846
2023-03-08,29.20673
2023-03-09,24.5673
2023-03-10,22.76442
2023-03-11,13.87019
2023-03-12,16.22596
2023-03-13,29.73557
2023-03-14,31.03365
2023-03-15,27.76442
2023-03-16,27.28365
2023-03-17,24.78365
2023-03-18,13.34134
2023-03-19,15.16826
2023-03-20,28.91826
2023-03-21,28.55769
2023-03-22,27.88461
2023-03-23,26.32211
2023-03-24,22.25961
2023-03-25,13.19711
2023-03-26,13.91826
2023-03-27,26.80288
2023-03-28,27.1875
2023-03-29,22.5
2023-03-30,24.375
2023-03-31,21.85096
2023-04-01,13.4375
2023-04-02,13.22115
2023-04-03,31.10576
2023-04-04,30.0
2023-04-05,27.01923
2023-04-06,25.88942
2023-04-07,23.4375
2023-04-08,12.47596
2023-04-09,14.08653
2023-04-10,30.1923
2023-04-11,27.54807
2023-04-12,25.48076
2023-04-13,24.13461
2023-04-14,25.21634
2023-04-15,14.5673
2023-04-16,15.0
2023-04-17,28.48557
2023-04-18,28.02884
2023-04-19,23.17307
2023-04-20,23.82211
2023-04-21,21.61057
2023-04-22,13.3173
2023-04-23,14.23076
2023-04-24,29.2548
2023-04-25,26.5625
2023-04-26,26.89903
2023-04-27,22.52403
2023-04-28,23.36538
2023-04-29,15.21634
2023-04-30,14.39903
2023-05-01,18.29326
2023-05-02,27.71634
2023-05-03,25.64903
2023-05-04,23.07692
2023-05-05,14.47115
2023-05-06,14.95192
2023-05-07,14.71153
2023-05-08,31.51442
2023-05-09,27.11538
2023-05-10,26.10576
2023-05-11,25.02403
2023-05-12,22.25961
2023-05-13,11.89903
2023-05-14,13.29326
2023-05-15,29.39903
2023-05-16,26.05769
2023-05-17,23.72596
2023-05-18,24.11057
2023-05-19,20.74519
2023-05-20,9.42307
2023-05-21,9.85576
2023-05-22,26.85096
2023-05-23,23.82211
2023-05-24,20.67307
2023-05-25,23.0048
2023-05-26,20.07211
2023-05-27,8.48557
2023-05-28,8.36538
