date,오늘미국증시
2022-08-04,16.9008
2022-08-05,16.77309
2022-08-06,8.21626
2022-08-07,2.72456
2022-08-08,9.87654
2022-08-09,16.94338
2022-08-10,17.7948
2022-08-11,17.36909
2022-08-12,17.36909
2022-08-13,8.85483
2022-08-14,2.89484
2022-08-15,12.68624
2022-08-16,14.85738
2022-08-17,18.26309
2022-08-18,16.13452
2022-08-19,15.96424
2022-08-20,9.1954
2022-08-21,2.93742
2022-08-22,12.43082
2022-08-23,17.02852
2022-08-24,17.66709
2022-08-25,17.15623
2022-08-26,16.09195
2022-08-27,12.26053
2022-08-28,3.15027
2022-08-29,12.13282
2022-08-30,18.56108
2022-08-31,16.13452
2022-09-01,16.17709
2022-09-02,16.51766
2022-09-03,9.53597
2022-09-04,2.85227
2022-09-05,63.26096
2022-09-06,25.28735
2022-09-07,17.11366
2022-09-08,15.07024
2022-09-09,9.7914
2022-09-10,9.87654
2022-09-11,4.51255
2022-09-12,10.30225
2022-09-13,19.79565
2022-09-14,24.05278
2022-09-15,21.07279
2022-09-16,16.6028
2022-09-17,9.96168
2022-09-18,3.66113
2022-09-19,11.45168
2022-09-20,17.58194
2022-09-21,16.73052
2022-09-22,20.85994
2022-09-23,17.36909
2022-09-24,9.11025
2022-09-25,3.4057
2022-09-26,12.72882
2022-09-27,21.54108
2022-09-28,22.60536
2022-09-29,22.34993
2022-09-30,17.7948
2022-10-01,9.87654
2022-10-02,2.63942
2022-10-03,9.62111
2022-10-04,20.22137
2022-10-05,23.8825
2022-10-06,22.0945
2022-10-07,18.64623
2022-10-08,9.87654
2022-10-09,4.55512
2022-10-10,15.83652
2022-10-11,19.02937
2022-10-12,20.73222
2022-10-13,21.11536
2022-10-14,20.05108
2022-10-15,13.4951
2022-10-16,4.72541
2022-10-17,12.85653
2022-10-18,19.79565
2022-10-19,20.05108
2022-10-20,19.66794
2022-10-21,17.75223
2022-10-22,10.51511
2022-10-23,3.02256
2022-10-24,11.66453
2022-10-25,18.6888
2022-10-26,19.5828
2022-10-27,18.51851
2022-10-28,16.21966
2022-10-29,9.36568
2022-10-30,3.19284
2022-10-31,10.17454
2022-11-01,17.66709
2022-11-02,18.13537
2022-11-03,19.32737
2022-11-04,17.15623
2022-11-05,9.66368
2022-11-06,3.27799
2022-11-07,43.29501
2022-11-08,30.69391
2022-11-09,28.30991
