date,저작권료
2022-11-13,15.45319
2022-11-14,17.38484
2022-11-15,9.95542
2022-11-16,13.37295
2022-11-17,11.88707
2022-11-18,11.58989
2022-11-19,13.22436
2022-11-20,9.21248
2022-11-21,16.79049
2022-11-22,13.67013
2022-11-23,16.34472
2022-11-24,12.48142
2022-11-25,11.14413
2022-11-26,9.95542
2022-11-27,8.61812
2022-11-28,9.65824
2022-11-29,10.54977
2022-11-30,9.80683
2022-12-01,12.33283
2022-12-02,7.13224
2022-12-03,6.68647
2022-12-04,12.33283
2022-12-05,15.45319
2022-12-06,33.13521
2022-12-07,25.11144
2022-12-08,18.42496
2022-12-09,17.38484
2022-12-10,13.22436
2022-12-11,11.73848
2022-12-12,12.7786
2022-12-13,13.52154
2022-12-14,7.87518
2022-12-15,13.81872
2022-12-16,9.80683
2022-12-17,14.56166
2022-12-18,11.73848
2022-12-19,11.4413
2022-12-20,12.92719
2022-12-21,11.88707
2022-12-22,12.33283
2022-12-23,15.3046
2022-12-24,14.11589
2022-12-25,13.96731
2022-12-26,10.99554
2022-12-27,9.65824
2022-12-28,10.84695
2022-12-29,10.10401
2022-12-30,10.10401
2022-12-31,9.80683
2023-01-01,10.69836
2023-01-02,12.7786
2023-01-03,11.88707
2023-01-04,8.61812
2023-01-05,10.2526
2023-01-06,11.14413
2023-01-07,9.06389
2023-01-08,9.36106
2023-01-09,11.4413
2023-01-10,31.20356
2023-01-11,16.6419
2023-01-12,11.58989
2023-01-13,10.54977
2023-01-14,13.81872
2023-01-15,10.69836
2023-01-16,9.06389
2023-01-17,13.52154
2023-01-18,12.63001
2023-01-19,13.22436
2023-01-20,9.95542
2023-01-21,16.19613
2023-01-22,13.22436
2023-01-23,15.15601
2023-01-24,12.92719
2023-01-25,18.12778
2023-01-26,14.85884
2023-01-27,14.56166
2023-01-28,11.58989
2023-01-29,11.29271
2023-01-30,9.50965
2023-01-31,12.48142
2023-02-01,16.04754
2023-02-02,12.63001
2023-02-03,8.02377
2023-02-04,8.76671
2023-02-05,10.84695
2023-02-06,9.50965
2023-02-07,8.17236
2023-02-08,10.84695
2023-02-09,10.69836
2023-02-10,12.63001
2023-02-11,11.14413
2023-02-12,9.36106
2023-02-13,10.69836
2023-02-14,13.37295
2023-02-15,11.4413
2023-02-16,10.84695
2023-02-17,12.92719
2023-02-18,13.81872
2023-02-19,8.17236
2023-02-20,10.99554
2023-02-21,12.92719
2023-02-22,13.52154
2023-02-23,15.3046
2023-02-24,9.06389
2023-02-25,15.3046
2023-02-26,46.95393
2023-02-27,18.57355
2023-02-28,17.8306
2023-03-01,13.37295
2023-03-02,10.69836
2023-03-03,11.88707
2023-03-04,12.03566
2023-03-05,9.95542
2023-03-06,8.76671
2023-03-07,11.58989
2023-03-08,8.61812
2023-03-09,9.50965
2023-03-10,11.14413
2023-03-11,7.87518
2023-03-12,7.72659
2023-03-13,8.17236
2023-03-14,8.02377
2023-03-15,12.18424
2023-03-16,11.73848
2023-03-17,8.61812
2023-03-18,9.21248
2023-03-19,12.92719
2023-03-20,8.46953
2023-03-21,9.36106
2023-03-22,11.14413
2023-03-23,10.69836
2023-03-24,9.95542
2023-03-25,10.2526
2023-03-26,20.65378
2023-03-27,30.60921
2023-03-28,18.57355
2023-03-29,15.89895
2023-03-30,15.00742
2023-03-31,12.63001
2023-04-01,15.75037
2023-04-02,19.91084
2023-04-03,12.33283
2023-04-04,18.12778
2023-04-05,17.8306
2023-04-06,17.23625
2023-04-07,16.79049
2023-04-08,23.17979
2023-04-09,21.84249
2023-04-10,18.12778
2023-04-11,13.81872
2023-04-12,16.6419
2023-04-13,15.45319
2023-04-14,16.04754
2023-04-15,13.96731
2023-04-16,15.75037
2023-04-17,13.07578
2023-04-18,14.41307
2023-04-19,9.21248
2023-04-20,9.65824
2023-04-21,9.80683
2023-04-22,7.72659
2023-04-23,10.54977
2023-04-24,16.49331
2023-04-25,17.23625
2023-04-26,14.56166
2023-04-27,19.31649
2023-04-28,17.68202
2023-04-29,14.71025
2023-04-30,15.75037
2023-05-01,14.11589
2023-05-02,12.03566
2023-05-03,14.26448
2023-05-04,15.89895
2023-05-05,21.39673
2023-05-06,22.28826
2023-05-07,24.96285
2023-05-08,16.19613
2023-05-09,20.20802
2023-05-10,18.27637
2023-05-11,16.6419
2023-05-12,13.07578
2023-05-13,14.41307
2023-05-14,10.69836
2023-05-15,12.18424
2023-05-16,13.81872
2023-05-17,14.41307
2023-05-18,13.22436
2023-05-19,14.11589
2023-05-20,10.10401
2023-05-21,11.14413
2023-05-22,12.7786
2023-05-23,11.73848
2023-05-24,9.95542
2023-05-25,9.36106
2023-05-26,12.03566
2023-05-27,8.9153
