date,떼인돈받아드립니다
2023-01-13,40.18691
2023-01-14,16.5109
2023-01-15,24.29906
2023-01-16,40.49844
2023-01-17,31.7757
2023-01-18,25.54517
2023-01-19,35.82554
2023-01-20,19.93769
2023-01-21,17.13395
2023-01-22,11.838
2023-01-23,16.82242
2023-01-24,14.01869
2023-01-25,36.13707
2023-01-26,28.03738
2023-01-27,30.52959
2023-01-28,17.13395
2023-01-29,22.74143
2023-01-30,42.05607
2023-01-31,34.57943
2023-02-01,32.71028
2023-02-02,35.51401
2023-02-03,42.05607
2023-02-04,12.46105
2023-02-05,17.13395
2023-02-06,40.80996
2023-02-07,49.84423
2023-02-08,38.31775
2023-02-09,43.6137
2023-02-10,54.51713
2023-02-11,45.17133
2023-02-12,39.25233
2023-02-13,47.97507
2023-02-14,47.66355
2023-02-15,47.66355
2023-02-16,50.77881
2023-02-17,49.84423
2023-02-18,26.16822
2023-02-19,23.67601
2023-02-20,44.85981
2023-02-21,43.6137
2023-02-22,47.35202
2023-02-23,33.0218
2023-02-24,36.13707
2023-02-25,29.59501
2023-02-26,24.61059
2023-02-27,38.31775
2023-02-28,47.66355
2023-03-01,38.62928
2023-03-02,44.54828
2023-03-03,40.18691
2023-03-04,32.08722
2023-03-05,25.85669
2023-03-06,48.2866
2023-03-07,45.17133
2023-03-08,39.25233
2023-03-09,45.48286
2023-03-10,37.6947
2023-03-11,21.49532
2023-03-12,26.79127
2023-03-13,42.05607
2023-03-14,49.84423
2023-03-15,43.30218
2023-03-16,46.10591
2023-03-17,40.49844
2023-03-18,23.36448
2023-03-19,26.16822
2023-03-20,43.6137
2023-03-21,46.10591
2023-03-22,52.64797
2023-03-23,39.25233
2023-03-24,44.54828
2023-03-25,23.67601
2023-03-26,23.05295
2023-03-27,47.66355
2023-03-28,42.3676
2023-03-29,53.89408
2023-03-30,44.23676
2023-03-31,56.07476
2023-04-01,28.03738
2023-04-02,26.47975
2023-04-03,39.25233
2023-04-04,46.41744
2023-04-05,42.99065
2023-04-06,47.35202
2023-04-07,36.13707
2023-04-08,24.92211
2023-04-09,17.757
2023-04-10,41.12149
2023-04-11,43.6137
2023-04-12,45.17133
2023-04-13,37.6947
2023-04-14,45.17133
2023-04-15,32.08722
2023-04-16,23.36448
2023-04-17,50.77881
2023-04-18,43.92523
2023-04-19,54.2056
2023-04-20,39.87538
2023-04-21,48.2866
2023-04-22,41.43302
2023-04-23,31.7757
2023-04-24,51.71339
2023-04-25,44.85981
2023-04-26,51.71339
2023-04-27,43.30218
2023-04-28,43.30218
2023-04-29,28.66043
2023-04-30,31.7757
2023-05-01,35.82554
2023-05-02,43.30218
2023-05-03,53.27102
2023-05-04,52.02492
2023-05-05,31.7757
2023-05-06,22.11838
2023-05-07,23.98753
2023-05-08,37.38317
