date,미국국채ETF
2023-03-12,9.21908
2023-03-13,35.24945
2023-03-14,59.54446
2023-03-15,100.0
2023-03-16,71.14967
2023-03-17,42.62472
2023-03-18,38.06941
2023-03-19,43.81778
2023-03-20,48.69848
2023-03-21,37.96095
2023-03-22,44.46854
2023-03-23,44.46854
2023-03-24,48.48156
2023-03-25,23.53579
2023-03-26,34.05639
2023-03-27,59.76138
2023-03-28,64.53362
2023-03-29,44.36008
2023-03-30,28.0911
2023-03-31,25.27114
2023-04-01,18.00433
2023-04-02,19.73969
2023-04-03,28.95878
2023-04-04,28.6334
2023-04-05,29.28416
2023-04-06,25.70498
2023-04-07,18.22125
2023-04-08,11.93058
2023-04-09,10.73752
2023-04-10,16.70281
2023-04-11,21.90889
2023-04-12,21.14967
2023-04-13,17.24511
2023-04-14,18.22125
2023-04-15,11.27982
2023-04-16,14.75054
2023-04-17,17.02819
2023-04-18,20.60737
2023-04-19,20.06507
2023-04-20,16.05206
2023-04-21,13.7744
2023-04-22,11.49674
2023-04-23,9.21908
2023-04-24,13.88286
2023-04-25,12.25596
2023-04-26,17.67895
2023-04-27,17.46203
2023-04-28,10.19522
2023-04-29,8.8937
2023-04-30,8.02603
2023-05-01,9.21908
2023-05-02,11.38828
2023-05-03,12.36442
2023-05-04,15.29284
2023-05-05,12.6898
2023-05-06,9.86984
2023-05-07,10.62906
2023-05-08,13.66594
2023-05-09,16.4859
2023-05-10,13.01518
2023-05-11,9.21908
2023-05-12,10.19522
2023-05-13,7.59219
2023-05-14,6.50759
2023-05-15,8.56832
2023-05-16,11.0629
2023-05-17,12.58134
2023-05-18,12.36442
2023-05-19,11.0629
2023-05-20,7.37527
2023-05-21,7.04989
2023-05-22,12.47288
2023-05-23,18.54663
2023-05-24,18.32971
2023-05-25,15.4013
