date,재택
2022-12-19,10.82608
2022-12-20,9.04347
2022-12-21,11.08695
2022-12-22,8.86956
2022-12-23,9.56521
2022-12-24,2.47826
2022-12-25,2.60869
2022-12-26,10.0
2022-12-27,11.43478
2022-12-28,9.91304
2022-12-29,9.0
2022-12-30,8.17391
2022-12-31,2.91304
2023-01-01,3.47826
2023-01-02,10.30434
2023-01-03,9.3913
2023-01-04,9.3913
2023-01-05,9.0
2023-01-06,8.47826
2023-01-07,2.91304
2023-01-08,3.3913
2023-01-09,10.60869
2023-01-10,10.56521
2023-01-11,9.34782
2023-01-12,8.86956
2023-01-13,8.60869
2023-01-14,2.82608
2023-01-15,5.04347
2023-01-16,8.86956
2023-01-17,8.3913
2023-01-18,8.26086
2023-01-19,9.7826
2023-01-20,6.73913
2023-01-21,1.52173
2023-01-22,2.13043
2023-01-23,3.08695
2023-01-24,5.04347
2023-01-25,11.43478
2023-01-26,12.52173
2023-01-27,7.43478
2023-01-28,2.73913
2023-01-29,3.34782
2023-01-30,9.30434
2023-01-31,7.95652
2023-02-01,8.60869
2023-02-02,7.56521
2023-02-03,6.73913
2023-02-04,2.7826
2023-02-05,2.34782
2023-02-06,8.60869
2023-02-07,7.7826
2023-02-08,6.82608
2023-02-09,6.7826
2023-02-10,6.95652
2023-02-11,2.7826
2023-02-12,3.26086
2023-02-13,8.34782
2023-02-14,7.52173
2023-02-15,8.26086
2023-02-16,6.43478
2023-02-17,4.73913
2023-02-18,2.91304
2023-02-19,2.47826
2023-02-20,7.08695
2023-02-21,7.08695
2023-02-22,8.21739
2023-02-23,7.30434
2023-02-24,9.04347
2023-02-25,3.08695
2023-02-26,3.21739
2023-02-27,8.08695
2023-02-28,6.7826
2023-03-01,4.60869
2023-03-02,8.73913
2023-03-03,10.0
2023-03-04,2.7826
2023-03-05,3.3913
2023-03-06,9.52173
2023-03-07,7.7826
2023-03-08,7.3913
2023-03-09,8.21739
2023-03-10,7.65217
2023-03-11,2.91304
2023-03-12,2.95652
2023-03-13,7.7826
2023-03-14,7.65217
2023-03-15,7.69565
2023-03-16,7.47826
2023-03-17,7.26086
2023-03-18,1.73913
2023-03-19,2.95652
2023-03-20,7.56521
2023-03-21,7.30434
2023-03-22,7.56521
2023-03-23,7.34782
2023-03-24,6.86956
2023-03-25,2.43478
2023-03-26,3.21739
2023-03-27,8.91304
2023-03-28,7.86956
2023-03-29,8.26086
2023-03-30,6.43478
2023-03-31,7.08695
2023-04-01,2.34782
2023-04-02,2.73913
2023-04-03,7.3913
2023-04-04,7.7826
2023-04-05,7.3913
2023-04-06,7.30434
2023-04-07,6.69565
2023-04-08,1.21739
2023-04-09,2.13043
2023-04-10,8.34782
2023-04-11,7.56521
2023-04-12,7.7826
2023-04-13,6.52173
2023-04-14,6.30434
2023-04-15,2.60869
2023-04-16,2.30434
2023-04-17,7.95652
2023-04-18,7.17391
2023-04-19,7.43478
2023-04-20,7.56521
2023-04-21,6.13043
2023-04-22,1.95652
2023-04-23,2.3913
2023-04-24,5.91304
2023-04-25,7.08695
2023-04-26,7.30434
2023-04-27,8.47826
2023-04-28,5.7826
2023-04-29,2.08695
2023-04-30,1.60869
2023-05-01,3.82608
2023-05-02,6.3913
