date,데이터센터
2022-11-10,0.92367
2022-11-11,0.71228
2022-11-12,0.3883
2022-11-13,0.32856
2022-11-14,0.66403
2022-11-15,0.82027
2022-11-16,0.84325
2022-11-17,0.81797
2022-11-18,0.71687
2022-11-19,0.33546
2022-11-20,0.37911
2022-11-21,0.68011
2022-11-22,0.62267
2022-11-23,0.74445
2022-11-24,0.71458
2022-11-25,0.56063
2022-11-26,0.26653
2022-11-27,0.26653
2022-11-28,0.60888
2022-11-29,0.66862
2022-11-30,0.64565
2022-12-01,0.56063
2022-12-02,0.55374
2022-12-03,0.36073
2022-12-04,0.36763
2022-12-05,0.74445
2022-12-06,0.83635
2022-12-07,0.7927
2022-12-08,0.74215
2022-12-09,0.51927
2022-12-10,0.25963
2022-12-11,0.25504
2022-12-12,0.5928
2022-12-13,0.687
2022-12-14,0.54225
2022-12-15,0.59969
2022-12-16,0.50089
2022-12-17,0.21368
2022-12-18,0.22976
2022-12-19,0.75823
2022-12-20,0.54684
2022-12-21,0.58591
2022-12-22,0.57671
2022-12-23,0.47332
2022-12-24,0.1953
2022-12-25,0.15394
2022-12-26,0.53536
2022-12-27,0.53306
2022-12-28,0.47791
2022-12-29,0.43656
2022-12-30,0.34235
2022-12-31,0.21368
2023-01-01,0.19989
2023-01-02,0.49859
2023-01-03,1.24534
2023-01-04,1.70488
2023-01-05,1.59
2023-01-06,1.00408
2023-01-07,0.41358
2023-01-08,0.45264
2023-01-09,0.85014
2023-01-10,0.8915
2023-01-11,0.71458
2023-01-12,0.80189
2023-01-13,0.81567
2023-01-14,0.34005
2023-01-15,0.42737
2023-01-16,0.9903
2023-01-17,1.15114
2023-01-18,1.02936
2023-01-19,0.93745
2023-01-20,0.494
2023-01-21,0.23666
2023-01-22,0.24815
2023-01-23,0.25044
2023-01-24,0.31937
2023-01-25,0.6893
2023-01-26,0.70309
2023-01-27,0.69849
2023-01-28,0.27342
2023-01-29,0.57212
2023-01-30,0.85474
2023-01-31,0.76742
2023-02-01,0.68011
2023-02-02,0.73296
2023-02-03,0.66632
2023-02-04,0.27802
2023-02-05,0.27112
2023-02-06,0.96732
2023-02-07,0.84095
2023-02-08,0.80419
2023-02-09,0.70998
2023-02-10,0.62267
2023-02-11,0.2941
2023-02-12,0.4917
2023-02-13,1.25453
2023-02-14,0.82027
2023-02-15,0.85244
2023-02-16,0.78351
2023-02-17,0.68011
2023-02-18,0.26653
2023-02-19,0.193
2023-02-20,0.6939
2023-02-21,0.75593
2023-02-22,0.67092
2023-02-23,0.5951
2023-02-24,0.63186
2023-02-25,0.34924
2023-02-26,0.34465
2023-02-27,0.63186
2023-02-28,0.63645
2023-03-01,0.25734
2023-03-02,0.67552
2023-03-03,0.64105
2023-03-04,0.24355
2023-03-05,0.29869
2023-03-06,0.69619
2023-03-07,0.71687
2023-03-08,0.71228
2023-03-09,1.20398
2023-03-10,0.93745
2023-03-11,0.32397
2023-03-12,0.33316
2023-03-13,0.90299
2023-03-14,0.81338
2023-03-15,0.75593
2023-03-16,0.75134
2023-03-17,0.63186
2023-03-18,0.23206
2023-03-19,0.22976
2023-03-20,0.67781
2023-03-21,0.70079
2023-03-22,0.69849
2023-03-23,0.77661
2023-03-24,0.71917
2023-03-25,0.31937
2023-03-26,0.35154
2023-03-27,0.70309
2023-03-28,0.75364
2023-03-29,0.67781
2023-03-30,0.74904
2023-03-31,0.66862
2023-04-01,0.53536
2023-04-02,0.34005
2023-04-03,0.72147
2023-04-04,0.66862
2023-04-05,0.80189
2023-04-06,0.69849
2023-04-07,0.57671
2023-04-08,0.29869
2023-04-09,0.35154
2023-04-10,0.6916
2023-04-11,0.62267
2023-04-12,0.62956
2023-04-13,0.63875
2023-04-14,0.50778
2023-04-15,0.1953
2023-04-16,0.24125
2023-04-17,0.62037
2023-04-18,0.5928
2023-04-19,0.5905
2023-04-20,0.56063
2023-04-21,0.58361
2023-04-22,0.20908
2023-04-23,0.19989
2023-04-24,0.62726
2023-04-25,0.63645
2023-04-26,0.58591
2023-04-27,0.52846
2023-04-28,0.56523
2023-04-29,0.30329
2023-04-30,0.2918
2023-05-01,0.40439
2023-05-02,0.60888
2023-05-03,0.73066
2023-05-04,0.65713
2023-05-05,0.24585
2023-05-06,0.30329
2023-05-07,0.30559
2023-05-08,0.83406
2023-05-09,0.73526
2023-05-10,0.67092
2023-05-11,0.65024
2023-05-12,0.58361
2023-05-13,0.27112
2023-05-14,0.30329
2023-05-15,0.55833
2023-05-16,0.6916
2023-05-17,0.57442
2023-05-18,0.70998
2023-05-19,0.62267
2023-05-20,0.27572
2023-05-21,0.34005
2023-05-22,0.78121
2023-05-23,0.72836
2023-05-24,0.60199
2023-05-25,0.92137
2023-05-26,0.84095
