date,부가가치세
2022-05-22,7.93589
2022-05-23,17.80266
2022-05-24,18.5557
2022-05-25,18.57501
2022-05-26,16.66344
2022-05-27,16.47036
2022-05-28,7.37594
2022-05-29,8.20621
2022-05-30,27.22533
2022-05-31,26.37574
2022-06-01,9.90538
2022-06-02,16.23865
2022-06-03,14.09538
2022-06-04,6.97045
2022-06-05,6.33326
2022-06-06,7.54972
2022-06-07,16.85653
2022-06-08,16.99169
2022-06-09,16.48966
2022-06-10,14.26916
2022-06-11,8.20621
2022-06-12,6.87391
2022-06-13,29.56169
2022-06-14,21.70303
2022-06-15,18.65224
2022-06-16,16.74068
2022-06-17,15.92971
2022-06-18,7.27939
2022-06-19,8.80478
2022-06-20,17.6675
2022-06-21,17.47441
2022-06-22,15.94902
2022-06-23,17.04962
2022-06-24,14.09538
2022-06-25,6.6422
2022-06-26,5.83124
2022-06-27,16.97238
2022-06-28,16.91446
2022-06-29,30.66229
2022-06-30,24.00077
2022-07-01,24.2904
2022-07-02,11.14114
2022-07-03,11.17976
2022-07-04,28.24869
2022-07-05,31.02915
2022-07-06,28.82795
2022-07-07,30.0251
2022-07-08,27.57289
2022-07-09,11.45008
2022-07-10,13.22649
2022-07-11,33.92546
2022-07-12,36.51284
2022-07-13,40.10426
2022-07-14,38.52094
2022-07-15,37.63274
2022-07-16,16.99169
2022-07-17,17.95713
2022-07-18,50.70476
2022-07-19,54.95269
2022-07-20,56.78702
2022-07-21,64.4719
2022-07-22,58.54412
2022-07-23,26.56883
2022-07-24,31.5891
2022-07-25,69.51148
2022-07-26,26.70399
2022-07-27,19.67561
2022-07-28,17.78335
2022-07-29,15.89109
2022-07-30,6.97045
2022-07-31,6.91253
2022-08-01,15.21529
2022-08-02,15.31183
2022-08-03,16.20003
2022-08-04,14.82911
2022-08-05,26.53021
2022-08-06,14.28847
2022-08-07,7.93589
2022-08-08,24.88897
2022-08-09,17.39718
2022-08-10,15.75593
2022-08-11,14.8098
2022-08-12,13.11063
2022-08-13,6.48773
2022-08-14,5.0782
2022-08-15,7.41455
