date,유상증자
2022-09-10,0.04985
2022-09-11,0.05495
2022-09-12,0.07057
2022-09-13,0.17899
2022-09-14,0.23395
2022-09-15,0.25647
2022-09-16,0.26638
2022-09-17,0.10331
2022-09-18,0.09219
2022-09-19,0.26668
2022-09-20,0.40483
2022-09-21,0.27239
2022-09-22,0.21473
2022-09-23,0.30453
2022-09-24,0.07988
2022-09-25,0.08409
2022-09-26,0.84301
2022-09-27,0.7445
2022-09-28,0.43487
2022-09-29,0.30483
2022-09-30,0.25557
2022-10-01,0.08379
2022-10-02,0.07838
2022-10-03,0.08319
2022-10-04,0.44808
2022-10-05,0.35738
2022-10-06,0.30392
2022-10-07,0.32134
2022-10-08,0.10661
2022-10-09,0.07838
2022-10-10,0.10421
2022-10-11,0.30362
2022-10-12,0.30272
2022-10-13,0.30332
2022-10-14,0.25257
2022-10-15,0.12373
2022-10-16,0.11862
2022-10-17,0.31444
2022-10-18,0.27569
2022-10-19,0.54749
2022-10-20,0.58593
2022-10-21,0.41294
2022-10-22,0.16668
2022-10-23,0.15646
2022-10-24,0.31444
2022-10-25,0.35678
2022-10-26,0.33276
2022-10-27,0.47961
2022-10-28,0.40213
2022-10-29,0.15887
2022-10-30,0.11262
2022-10-31,0.34987
2022-11-01,0.2796
2022-11-02,0.24206
2022-11-03,0.25017
2022-11-04,0.26458
2022-11-05,0.08469
2022-11-06,0.08739
2022-11-07,0.23515
2022-11-08,0.22824
2022-11-09,0.28801
2022-11-10,0.27389
2022-11-11,0.35348
2022-11-12,0.11442
2022-11-13,0.10871
2022-11-14,0.25077
2022-11-15,0.28921
2022-11-16,0.2796
2022-11-17,0.34507
2022-11-18,0.40273
2022-11-19,0.26188
2022-11-20,0.15887
2022-11-21,0.40874
2022-11-22,0.49793
2022-11-23,0.48262
2022-11-24,0.31954
2022-11-25,0.279
2022-11-26,0.12793
2022-11-27,0.11142
2022-11-28,0.25137
2022-11-29,0.33155
2022-11-30,0.38681
2022-12-01,0.2799
2022-12-02,0.26008
2022-12-03,0.11142
2022-12-04,0.13184
2022-12-05,0.30392
2022-12-06,0.23996
2022-12-07,0.23605
2022-12-08,0.25167
2022-12-09,0.20602
2022-12-10,0.10991
2022-12-11,0.11352
2022-12-12,0.27629
2022-12-13,0.25347
2022-12-14,0.2772
2022-12-15,0.26488
2022-12-16,0.33546
2022-12-17,0.13094
2022-12-18,0.10151
2022-12-19,0.20842
2022-12-20,0.1931
2022-12-21,0.22794
2022-12-22,0.31384
2022-12-23,0.24927
2022-12-24,0.07478
2022-12-25,0.06967
2022-12-26,0.22584
2022-12-27,0.29431
2022-12-28,0.26728
2022-12-29,0.21112
2022-12-30,0.13424
2022-12-31,0.06006
2023-01-01,0.06727
2023-01-02,0.17959
2023-01-03,0.44778
2023-01-04,0.34507
2023-01-05,0.31564
2023-01-06,0.19461
2023-01-07,0.0928
2023-01-08,0.08138
2023-01-09,0.22133
2023-01-10,0.19851
2023-01-11,0.18409
2023-01-12,0.27269
2023-01-13,0.23245
2023-01-14,0.0946
2023-01-15,0.0946
2023-01-16,0.19551
2023-01-17,0.25767
2023-01-18,0.25978
2023-01-19,0.1919
2023-01-20,0.14265
2023-01-21,0.07628
2023-01-22,0.06456
2023-01-23,0.06426
2023-01-24,0.08258
2023-01-25,0.17569
2023-01-26,0.21833
2023-01-27,0.191
2023-01-28,0.0964
2023-01-29,0.07658
2023-01-30,0.16397
2023-01-31,0.17088
2023-02-01,0.17629
2023-02-02,0.17989
2023-02-03,0.17508
2023-02-04,0.08048
2023-02-05,0.07808
2023-02-06,0.20662
2023-02-07,0.2841
2023-02-08,0.27209
2023-02-09,0.30633
2023-02-10,0.40694
2023-02-11,0.1856
2023-02-12,0.11772
2023-02-13,0.23515
2023-02-14,0.21202
2023-02-15,0.20932
2023-02-16,0.1892
2023-02-17,0.52346
2023-02-18,0.16127
2023-02-19,0.12163
2023-02-20,0.20962
2023-02-21,0.30933
2023-02-22,0.26969
2023-02-23,0.22404
2023-02-24,0.20241
2023-02-25,0.10301
2023-02-26,0.08198
2023-02-27,0.19731
2023-02-28,0.16758
2023-03-01,0.26308
2023-03-02,0.20992
2023-03-03,0.19581
2023-03-04,0.10901
2023-03-05,0.11652
2023-03-06,0.24086
2023-03-07,0.28651
2023-03-08,0.27209
2023-03-09,0.22704
2023-03-10,0.20332
2023-03-11,0.10571
2023-03-12,0.12974
2023-03-13,0.25287
2023-03-14,0.23245
2023-03-15,0.25437
2023-03-16,0.26458
2023-03-17,0.26308
2023-03-18,0.16397
2023-03-19,0.11051
2023-03-20,0.22704
2023-03-21,0.25858
2023-03-22,0.25827
2023-03-23,0.24806
2023-03-24,0.23455
2023-03-25,0.10661
2023-03-26,0.1012
2023-03-27,0.44027
2023-03-28,0.42496
2023-03-29,0.29491
2023-03-30,0.4622
2023-03-31,0.35918
2023-04-01,0.14325
2023-04-02,0.10751
2023-04-03,0.25647
2023-04-04,0.33005
2023-04-05,0.44117
2023-04-06,0.39943
2023-04-07,0.93221
2023-04-08,0.35408
2023-04-09,0.25858
2023-04-10,0.75261
2023-04-11,0.73789
2023-04-12,0.68324
2023-04-13,0.43367
2023-04-14,0.38171
2023-04-15,0.16277
2023-04-16,0.14535
2023-04-17,0.2778
2023-04-18,0.38772
2023-04-19,0.51055
2023-04-20,0.41054
2023-04-21,0.3715
2023-04-22,0.15707
2023-04-23,0.15586
2023-04-24,0.39012
2023-04-25,0.285
2023-04-26,0.25347
2023-04-27,0.36849
2023-04-28,0.2778
2023-04-29,0.11021
2023-04-30,0.0925
2023-05-01,0.11442
2023-05-02,0.31714
2023-05-03,0.31414
2023-05-04,0.24836
2023-05-05,0.11112
2023-05-06,0.0991
2023-05-07,0.0928
2023-05-08,0.24176
2023-05-09,0.24296
2023-05-10,0.42345
2023-05-11,0.31504
2023-05-12,0.25527
2023-05-13,0.08499
2023-05-14,0.07868
2023-05-15,0.41054
2023-05-16,0.44808
2023-05-17,0.39522
2023-05-18,0.35288
2023-05-19,0.29792
2023-05-20,0.10781
2023-05-21,0.0961
2023-05-22,0.30963
2023-05-23,0.39402
2023-05-24,0.39072
2023-05-25,0.34056
2023-05-26,0.47181
2023-05-27,0.14745
