date,KB손해보험다이렉트
2023-02-25,18.99293
2023-02-26,18.28621
2023-02-27,45.31802
2023-02-28,41.96113
2023-03-01,24.82332
2023-03-02,46.37809
2023-03-03,36.92579
2023-03-04,20.31802
2023-03-05,19.6113
2023-03-06,49.73498
2023-03-07,38.60424
2023-03-08,42.49116
2023-03-09,43.0212
2023-03-10,34.09893
2023-03-11,18.46289
2023-03-12,20.49469
2023-03-13,43.10954
2023-03-14,39.39929
2023-03-15,40.01766
2023-03-16,37.01413
2023-03-17,36.0424
2023-03-18,20.053
2023-03-19,20.14134
2023-03-20,48.32155
2023-03-21,44.87632
2023-03-22,37.36749
2023-03-23,34.80565
2023-03-24,38.16254
2023-03-25,20.14134
2023-03-26,23.05653
2023-03-27,43.72791
2023-03-28,40.19434
2023-03-29,41.87279
2023-03-30,46.28975
2023-03-31,37.27915
2023-04-01,19.25795
2023-04-02,24.38162
2023-04-03,44.43462
2023-04-04,43.46289
2023-04-05,41.96113
2023-04-06,39.13427
2023-04-07,37.98586
2023-04-08,20.93639
2023-04-09,23.93992
2023-04-10,47.43816
2023-04-11,42.49116
2023-04-12,44.34628
2023-04-13,43.28621
2023-04-14,41.69611
2023-04-15,19.43462
2023-04-16,19.78798
2023-04-17,46.55477
2023-04-18,44.16961
2023-04-19,42.40282
2023-04-20,42.22614
2023-04-21,39.13427
2023-04-22,20.75971
2023-04-23,22.17314
2023-04-24,50.53003
2023-04-25,48.05653
2023-04-26,47.0848
2023-04-27,47.17314
2023-04-28,45.93639
2023-04-29,22.70318
2023-04-30,20.31802
2023-05-01,38.86925
2023-05-02,53.53356
2023-05-03,50.08833
2023-05-04,44.69964
2023-05-05,24.20494
2023-05-06,22.96819
2023-05-07,19.25795
2023-05-08,56.80212
2023-05-09,54.77031
2023-05-10,55.47703
2023-05-11,52.65017
2023-05-12,56.36042
2023-05-13,29.5053
2023-05-14,32.77385
2023-05-15,63.95759
2023-05-16,57.50883
2023-05-17,50.17667
2023-05-18,48.32155
2023-05-19,41.60777
2023-05-20,24.38162
2023-05-21,21.55477
2023-05-22,57.50883
2023-05-23,50.0
2023-05-24,43.46289
