date,달러인덱스
2023-02-04,18.95403
2023-02-05,6.74015
2023-02-06,39.55909
2023-02-07,48.09568
2023-02-08,45.01407
2023-02-09,40.59099
2023-02-10,39.00093
2023-02-11,16.03658
2023-02-12,6.7636
2023-02-13,33.56941
2023-02-14,44.72795
2023-02-15,50.06566
2023-02-16,48.55065
2023-02-17,51.23358
2023-02-18,20.57692
2023-02-19,6.41651
2023-02-20,32.92213
2023-02-21,39.55909
2023-02-22,47.62195
2023-02-23,48.2317
2023-02-24,47.04033
2023-02-25,20.75515
2023-02-26,7.14352
2023-02-27,43.28799
2023-02-28,47.31238
2023-03-01,41.38367
2023-03-02,50.74577
2023-03-03,44.26829
2023-03-04,16.13039
2023-03-05,5.82082
2023-03-06,33.42401
2023-03-07,38.36772
2023-03-08,54.29174
2023-03-09,44.66697
2023-03-10,45.83958
2023-03-11,19.87804
2023-03-12,7.11538
2023-03-13,45.21575
2023-03-14,54.25422
2023-03-15,50.2439
2023-03-16,45.89587
2023-03-17,36.47279
2023-03-18,14.65759
2023-03-19,5.62851
2023-03-20,33.98686
2023-03-21,34.21669
2023-03-22,32.9878
2023-03-23,57.0544
2023-03-24,46.24765
2023-03-25,14.76547
2023-03-26,5.21106
2023-03-27,31.41651
2023-03-28,34.68574
2023-03-29,34.10881
2023-03-30,33.8227
2023-03-31,31.28517
2023-04-01,12.06378
2023-04-02,4.74202
2023-04-03,33.74765
2023-04-04,38.44746
2023-04-05,41.24765
2023-04-06,40.26266
2023-04-07,31.63696
2023-04-08,9.66697
2023-04-09,5.31425
2023-04-10,29.89681
2023-04-11,34.41838
2023-04-12,36.36022
2023-04-13,39.76547
2023-04-14,39.43245
2023-04-15,13.54596
2023-04-16,6.14446
2023-04-17,32.25609
2023-04-18,36.15853
2023-04-19,40.16885
2023-04-20,38.93996
2023-04-21,33.80393
2023-04-22,11.83395
2023-04-23,5.35178
2023-04-24,29.89681
2023-04-25,36.80581
2023-04-26,36.20075
2023-04-27,34.89212
2023-04-28,29.53564
2023-04-29,10.42682
2023-04-30,4.62007
2023-05-01,17.12007
2023-05-02,31.18667
2023-05-03,30.98499
2023-05-04,37.63133
2023-05-05,24.38086
2023-05-06,12.57973
2023-05-07,5.62382
2023-05-08,24.96247
2023-05-09,27.55159
2023-05-10,27.93621
2023-05-11,29.89212
2023-05-12,29.98592
2023-05-13,13.65384
2023-05-14,5.46435
2023-05-15,27.26078
2023-05-16,28.29737
2023-05-17,31.47748
2023-05-18,32.29362
2023-05-19,31.78705
2023-05-20,10.32833
2023-05-21,4.03846
2023-05-22,24.18855
2023-05-23,29.54971
2023-05-24,26.63227
2023-05-25,31.99812
2023-05-26,27.106
