date,종합지수
2022-08-24,50.39787
2022-08-25,45.68228
2022-08-26,47.00854
2022-08-27,4.06719
2022-08-28,1.62098
2022-08-29,61.12584
2022-08-30,49.33687
2022-08-31,55.43766
2022-09-01,62.7763
2022-09-02,56.91128
2022-09-03,3.56616
2022-09-04,1.94518
2022-09-05,49.92631
2022-09-06,50.6926
2022-09-07,61.45004
2022-09-08,48.3348
2022-09-09,3.4188
2022-09-10,1.62098
2022-09-11,1.44414
2022-09-12,2.41674
2022-09-13,49.48423
2022-09-14,66.5193
2022-09-15,51.98938
2022-09-16,56.49867
2022-09-17,4.71559
2022-09-18,1.94518
2022-09-19,52.43147
2022-09-20,49.45475
2022-09-21,54.70085
2022-09-22,60.77217
2022-09-23,67.43295
2022-09-24,4.98084
2022-09-25,2.5641
2022-09-26,80.04715
2022-09-27,70.35072
2022-09-28,88.68258
2022-09-29,66.93191
2022-09-30,71.67698
2022-10-01,6.3071
2022-10-02,2.47568
2022-10-03,4.36192
2022-10-04,57.47126
2022-10-05,62.74683
2022-10-06,53.40406
2022-10-07,53.66931
2022-10-08,4.36192
2022-10-09,2.32832
2022-10-10,4.50928
2022-10-11,61.39109
2022-10-12,60.35956
2022-10-13,64.01414
2022-10-14,55.02505
2022-10-15,4.92189
2022-10-16,2.41674
2022-10-17,60.71323
2022-10-18,57.8544
2022-10-19,65.13409
2022-10-20,62.36368
2022-10-21,59.21013
2022-10-22,4.77453
2022-10-23,1.59151
2022-10-24,51.95991
2022-10-25,54.14087
2022-10-26,50.92838
2022-10-27,53.43353
2022-10-28,54.75979
2022-10-29,4.42086
2022-10-30,2.03359
2022-10-31,48.27586
2022-11-01,53.75773
2022-11-02,59.888
2022-11-03,65.95932
2022-11-04,56.38078
2022-11-05,3.97877
2022-11-06,1.53256
2022-11-07,50.0442
2022-11-08,52.31358
2022-11-09,53.16828
2022-11-10,56.08605
2022-11-11,62.80577
2022-11-12,5.27556
2022-11-13,2.53463
2022-11-14,59.94694
2022-11-15,56.41025
2022-11-16,62.95313
2022-11-17,60.80165
2022-11-18,53.22723
2022-11-19,3.83141
2022-11-20,1.73887
2022-11-21,50.25051
2022-11-22,51.98938
2022-11-23,49.45475
2022-11-24,46.21279
2022-11-25,44.79811
2022-11-26,2.74093
2022-11-27,1.65045
2022-11-28,48.06955
2022-11-29,49.69053
2022-11-30,49.60212
2022-12-01,53.84615
2022-12-02,53.69879
2022-12-03,4.03772
2022-12-04,1.44414
2022-12-05,51.04627
2022-12-06,50.54524
2022-12-07,53.46301
2022-12-08,52.19569
2022-12-09,49.39581
2022-12-10,3.56616
2022-12-11,2.2399
2022-12-12,49.1895
2022-12-13,51.2231
2022-12-14,44.82758
2022-12-15,47.18538
2022-12-16,51.10521
2022-12-17,3.4188
2022-12-18,1.7094
2022-12-19,43.85499
2022-12-20,51.84202
2022-12-21,48.48216
2022-12-22,42.97082
2022-12-23,54.9661
2022-12-24,3.56616
2022-12-25,1.9157
2022-12-26,44.44444
2022-12-27,39.10993
2022-12-28,58.7091
2022-12-29,60.00589
2022-12-30,16.12142
2022-12-31,3.21249
2023-01-01,2.18096
2023-01-02,52.7262
2023-01-03,65.81196
2023-01-04,59.71117
2023-01-05,57.3239
2023-01-06,60.00589
2023-01-07,4.30297
2023-01-08,2.65251
2023-01-09,52.13675
2023-01-10,60.2122
2023-01-11,53.66931
2023-01-12,56.26289
2023-01-13,51.63572
2023-01-14,3.71352
2023-01-15,1.94518
2023-01-16,48.24638
2023-01-17,54.52402
2023-01-18,52.31358
2023-01-19,51.81255
2023-01-20,50.72207
2023-01-21,2.7704
2023-01-22,1.41467
2023-01-23,1.76834
2023-01-24,3.35985
2023-01-25,47.65694
2023-01-26,54.67138
2023-01-27,55.67344
2023-01-28,5.30503
2023-01-29,2.12201
2023-01-30,59.94694
2023-01-31,59.21013
2023-02-01,58.20807
2023-02-02,55.6145
2023-02-03,57.26495
2023-02-04,4.09666
2023-02-05,1.41467
