date,필리핀환율
2023-02-13,35.58204
2023-02-14,34.40754
2023-02-15,55.95926
2023-02-16,100.0
2023-02-17,75.60749
2023-02-18,63.31289
2023-02-19,52.9507
2023-02-20,49.29993
2023-02-21,44.51515
2023-02-22,43.84401
2023-02-23,42.88937
2023-02-24,42.37445
2023-02-25,39.4411
2023-02-26,37.21939
2023-02-27,40.91645
2023-02-28,38.69474
2023-03-01,43.39851
2023-03-02,40.68502
2023-03-03,36.75653
2023-03-04,31.54362
2023-03-05,32.00069
2023-03-06,37.34667
2023-03-07,35.02661
2023-03-08,35.15389
2023-03-09,33.9794
2023-03-10,31.64198
2023-03-11,25.39921
2023-03-12,26.08771
2023-03-13,35.65725
2023-03-14,32.20319
2023-03-15,33.23304
2023-03-16,31.85026
2023-03-17,34.81832
2023-03-18,28.03749
2023-03-19,27.88706
2023-03-20,34.23397
2023-03-21,32.14533
2023-03-22,37.46817
2023-03-23,42.02152
2023-03-24,36.46725
2023-03-25,29.21777
2023-03-26,27.78292
2023-03-27,32.93797
2023-03-28,30.47327
2023-03-29,28.61027
2023-03-30,27.89284
2023-03-31,27.44156
2023-04-01,20.77065
2023-04-02,21.95093
2023-04-03,30.94191
2023-04-04,30.78569
2023-04-05,29.3277
2023-04-06,27.5862
2023-04-07,25.15621
2023-04-08,20.60865
2023-04-09,20.86901
2023-04-10,28.7607
2023-04-11,28.81277
2023-04-12,29.86577
2023-04-13,30.34019
2023-04-14,31.19648
2023-04-15,21.9625
2023-04-16,23.02707
2023-04-17,31.97755
2023-04-18,29.86577
2023-04-19,29.84841
2023-04-20,30.44434
2023-04-21,28.40199
2023-04-22,21.58643
2023-04-23,25.05207
2023-04-24,31.70562
2023-04-25,31.9949
2023-04-26,29.98148
2023-04-27,28.92848
2023-04-28,29.83105
2023-04-29,22.94607
2023-04-30,19.85651
2023-05-01,23.99907
2023-05-02,30.38069
2023-05-03,29.09048
2023-05-04,29.62855
2023-05-05,24.19
2023-05-06,23.41471
2023-05-07,20.28465
2023-05-08,30.32284
2023-05-09,30.29391
2023-05-10,29.31613
2023-05-11,27.8697
2023-05-12,27.00185
2023-05-13,20.97315
2023-05-14,20.33672
2023-05-15,31.38741
2023-05-16,29.64591
2023-05-17,28.54663
2023-05-18,28.28627
2023-05-19,27.17542
2023-05-20,19.7408
2023-05-21,20.89215
2023-05-22,33.26776
2023-05-23,31.76348
2023-05-24,29.88312
2023-05-25,29.34505
