date,원자재가격
2022-07-16,23.21644
2022-07-17,17.23095
2022-07-18,44.67956
2022-07-19,45.16324
2022-07-20,42.14026
2022-07-21,48.79081
2022-07-22,43.10761
2022-07-23,19.40749
2022-07-24,13.1197
2022-07-25,40.02418
2022-07-26,41.89842
2022-07-27,37.84764
2022-07-28,42.56348
2022-07-29,36.15477
2022-07-30,17.896
2022-07-31,12.03143
2022-08-01,36.75937
2022-08-02,39.8428
2022-08-03,35.85247
2022-08-04,38.51269
2022-08-05,39.23821
2022-08-06,18.68198
2022-08-07,13.1197
2022-08-08,34.22007
2022-08-09,30.53204
2022-08-10,35.12696
2022-08-11,37.06166
2022-08-12,32.95042
2022-08-13,15.47762
2022-08-14,9.85489
2022-08-15,21.82587
2022-08-16,38.51269
2022-08-17,35.18742
2022-08-18,34.46191
2022-08-19,30.5925
2022-08-20,18.1983
2022-08-21,10.82224
2022-08-22,33.85731
2022-08-23,40.38694
2022-08-24,39.29866
2022-08-25,38.45223
2022-08-26,33.79685
2022-08-27,17.95646
2022-08-28,10.27811
2022-08-29,36.39661
2022-08-30,39.96372
2022-08-31,40.32648
2022-09-01,38.02902
2022-09-02,35.24788
2022-09-03,17.59371
2022-09-04,9.55259
2022-09-05,30.47158
2022-09-06,32.8295
2022-09-07,39.11729
2022-09-08,28.89963
2022-09-09,20.7376
2022-09-10,14.57073
2022-09-11,7.67835
2022-09-12,21.58403
2022-09-13,35.48972
2022-09-14,36.21523
2022-09-15,32.28536
2022-09-16,30.22974
2022-09-17,15.71946
2022-09-18,8.70616
2022-09-19,30.47158
2022-09-20,28.41596
2022-09-21,34.40145
2022-09-22,37.78718
2022-09-23,34.82466
2022-09-24,19.40749
2022-09-25,10.94316
2022-09-26,38.99637
2022-09-27,37.36396
2022-09-28,42.56348
2022-09-29,37.36396
2022-09-30,32.2249
2022-10-01,16.14268
2022-10-02,8.52478
2022-10-03,20.61668
2022-10-04,34.94558
2022-10-05,34.28053
2022-10-06,33.73639
2022-10-07,29.9879
2022-10-08,12.75695
2022-10-09,9.55259
2022-10-10,21.16082
2022-10-11,33.25272
2022-10-12,35.00604
2022-10-13,35.12696
2022-10-14,31.07617
2022-10-15,15.29625
2022-10-16,8.16203
2022-10-17,24.84885
2022-10-18,27.62998
2022-10-19,28.65779
2022-10-20,26.72309
2022-10-21,25.2116
2022-10-22,12.69649
2022-10-23,7.79927
2022-10-24,21.70495
2022-10-25,26.05804
2022-10-26,25.03022
2022-10-27,25.69528
2022-10-28,20.61668
2022-10-29,10.09673
2022-10-30,6.711
2022-10-31,25.03022
2022-11-01,27.56952
2022-11-02,27.56952
2022-11-03,24.00241
2022-11-04,22.9746
2022-11-05,16.98911
2022-11-06,10.27811
2022-11-07,27.38814
2022-11-08,25.63482
2022-11-09,26.72309
2022-11-10,27.26723
2022-11-11,25.69528
2022-11-12,13.18016
2022-11-13,8.46432
2022-11-14,23.82103
2022-11-15,27.56952
2022-11-16,25.57436
2022-11-17,24.18379
2022-11-18,19.64933
2022-11-19,11.42684
2022-11-20,6.95284
2022-11-21,22.49093
2022-11-22,24.24425
2022-11-23,23.51874
2022-11-24,23.63966
2022-11-25,19.95163
2022-11-26,11.185
2022-11-27,4.83675
2022-11-28,20.01209
2022-11-29,20.85852
2022-11-30,19.58887
2022-12-01,24.66747
2022-12-02,18.86336
2022-12-03,10.64087
2022-12-04,5.62273
2022-12-05,16.92865
2022-12-06,22.06771
2022-12-07,20.61668
2022-12-08,22.55139
2022-12-09,20.85852
2022-12-10,9.55259
2022-12-11,7.07376
2022-12-12,22.12817
2022-12-13,22.18863
2022-12-14,22.9746
2022-12-15,20.07255
2022-12-16,17.71463
2022-12-17,9.49214
2022-12-18,5.44135
2022-12-19,16.02176
2022-12-20,20.37484
2022-12-21,19.77025
2022-12-22,20.67714
2022-12-23,17.47279
2022-12-24,10.09673
2022-12-25,5.98548
2022-12-26,16.62636
2022-12-27,19.77025
2022-12-28,21.94679
2022-12-29,20.31438
2022-12-30,13.54292
2022-12-31,9.18984
2023-01-01,6.22732
2023-01-02,17.83555
2023-01-03,18.1983
2023-01-04,22.9746
2023-01-05,19.22611
2023-01-06,19.16565
2023-01-07,12.39419
2023-01-08,7.98065
2023-01-09,22.61185
2023-01-10,21.46311
2023-01-11,23.45828
2023-01-12,22.91414
2023-01-13,22.79322
2023-01-14,12.15235
2023-01-15,7.13422
2023-01-16,19.34703
2023-01-17,20.97944
2023-01-18,20.79806
2023-01-19,20.49576
2023-01-20,17.23095
2023-01-21,10.09673
2023-01-22,5.25997
2023-01-23,8.28295
2023-01-24,15.11487
2023-01-25,23.63966
2023-01-26,23.82103
2023-01-27,23.88149
2023-01-28,10.82224
2023-01-29,7.61789
2023-01-30,21.3422
2023-01-31,20.79806
2023-02-01,20.67714
2023-02-02,24.00241
2023-02-03,20.91898
2023-02-04,12.51511
2023-02-05,7.25513
2023-02-06,17.71463
2023-02-07,19.40749
2023-02-08,20.19347
2023-02-09,19.58887
2023-02-10,16.44498
2023-02-11,10.15719
2023-02-12,6.65054
2023-02-13,19.83071
2023-02-14,21.0399
2023-02-15,19.77025
2023-02-16,19.46795
2023-02-17,22.91414
2023-02-18,11.42684
2023-02-19,6.89238
2023-02-20,17.83555
2023-02-21,19.58887
2023-02-22,20.4353
2023-02-23,20.37484
2023-02-24,20.19347
2023-02-25,9.18984
2023-02-26,7.07376
2023-02-27,18.8029
2023-02-28,18.44014
2023-03-01,12.45465
2023-03-02,17.41233
2023-03-03,17.04957
2023-03-04,8.04111
2023-03-05,7.31559
2023-03-06,18.92382
2023-03-07,20.31438
2023-03-08,21.0399
2023-03-09,16.80773
2023-03-10,16.08222
2023-03-11,8.40386
2023-03-12,7.13422
2023-03-13,16.86819
2023-03-14,22.49093
2023-03-15,21.88633
2023-03-16,23.03506
2023-03-17,19.34703
2023-03-18,11.91051
2023-03-19,6.83192
2023-03-20,19.40749
2023-03-21,21.94679
2023-03-22,20.55622
2023-03-23,23.5792
2023-03-24,27.4486
2023-03-25,9.43168
2023-03-26,7.31559
2023-03-27,18.44014
2023-03-28,21.58403
2023-03-29,20.37484
2023-03-30,17.83555
2023-03-31,16.80773
2023-04-01,8.22249
2023-04-02,5.13905
2023-04-03,16.74727
2023-04-04,22.91414
2023-04-05,24.42563
2023-04-06,23.82103
2023-04-07,16.38452
2023-04-08,9.2503
2023-04-09,4.474
2023-04-10,18.13784
2023-04-11,20.01209
2023-04-12,17.83555
2023-04-13,21.52357
2023-04-14,21.76541
2023-04-15,10.51995
2023-04-16,5.86457
2023-04-17,20.7376
2023-04-18,25.33252
2023-04-19,24.66747
2023-04-20,22.00725
2023-04-21,18.1983
2023-04-22,8.82708
2023-04-23,7.19467
2023-04-24,19.10519
2023-04-25,18.62152
2023-04-26,21.10036
2023-04-27,17.04957
2023-04-28,14.57073
2023-04-29,7.13422
2023-04-30,4.474
2023-05-01,7.67835
2023-05-02,17.41233
2023-05-03,19.04474
2023-05-04,18.98428
2023-05-05,13.66384
2023-05-06,9.55259
2023-05-07,5.32043
