date,파이코인상장
2022-05-27,10.39982
2022-05-28,9.03114
2022-05-29,9.46222
2022-05-30,11.5853
2022-05-31,9.93641
2022-06-01,8.82638
2022-06-02,9.30057
2022-06-03,8.41685
2022-06-04,6.85418
2022-06-05,6.62786
2022-06-06,7.68401
2022-06-07,9.71009
2022-06-08,10.11962
2022-06-09,9.9903
2022-06-10,8.82638
2022-06-11,8.45996
2022-06-12,8.8156
2022-06-13,10.68003
2022-06-14,9.93641
2022-06-15,9.48378
2022-06-16,10.72313
2022-06-17,9.42989
2022-06-18,8.23364
2022-06-19,9.24668
2022-06-20,11.71462
2022-06-21,11.87627
2022-06-22,12.12415
2022-06-23,9.97952
2022-06-24,9.22513
2022-06-25,7.56547
2022-06-26,8.50307
2022-06-27,9.7532
2022-06-28,11.05722
2022-06-29,12.87854
2022-06-30,12.81388
2022-07-01,11.068
2022-07-02,7.52236
2022-07-03,8.24442
2022-07-04,9.17124
2022-07-05,9.0958
2022-07-06,9.05269
2022-07-07,9.73165
2022-07-08,7.57624
2022-07-09,6.75719
2022-07-10,7.89955
2022-07-11,9.41911
2022-07-12,10.02263
2022-07-13,11.71462
2022-07-14,12.11337
2022-07-15,13.8808
2022-07-16,10.4106
2022-07-17,10.36749
2022-07-18,14.15023
2022-07-19,14.37654
2022-07-20,13.78381
2022-07-21,12.68455
2022-07-22,12.03793
2022-07-23,11.93016
2022-07-24,13.06175
2022-07-25,12.67377
2022-07-26,12.58756
2022-07-27,13.16952
2022-07-28,14.62442
2022-07-29,12.88931
2022-07-30,9.26824
2022-07-31,8.84793
2022-08-01,11.22965
2022-08-02,10.70158
2022-08-03,10.44293
2022-08-04,9.25746
2022-08-05,8.77249
2022-08-06,8.45996
2022-08-07,9.56999
2022-08-08,11.59607
2022-08-09,10.79857
2022-08-10,10.37827
2022-08-11,11.19732
2022-08-12,10.07651
2022-08-13,9.03114
2022-08-14,8.84793
2022-08-15,8.64317
2022-08-16,10.5507
2022-08-17,10.22739
2022-08-18,10.5507
2022-08-19,9.69932
2022-08-20,7.72712
2022-08-21,7.3607
2022-08-22,9.05269
2022-08-23,10.87401
2022-08-24,8.62161
2022-08-25,9.48378
2022-08-26,9.9903
2022-08-27,8.00732
2022-08-28,8.22286
2022-08-29,10.01185
2022-08-30,8.34141
2022-08-31,7.60857
2022-09-01,8.10432
2022-09-02,7.14516
2022-09-03,6.1429
2022-09-04,6.69253
2022-09-05,6.89729
2022-09-06,6.8434
2022-09-07,7.15594
2022-09-08,6.22911
2022-09-09,5.74415
2022-09-10,7.27449
2022-09-11,7.30682
2022-09-12,7.70557
2022-09-13,10.24894
2022-09-14,9.88253
2022-09-15,8.28753
2022-09-16,6.98351
2022-09-17,6.17523
2022-09-18,6.41232
2022-09-19,7.3607
2022-09-20,7.32837
2022-09-21,7.2206
2022-09-22,6.57398
2022-09-23,6.39077
2022-09-24,4.94665
2022-09-25,5.53939
2022-09-26,6.99428
2022-09-27,7.12361
2022-09-28,7.13438
2022-09-29,5.75493
2022-09-30,5.38851
2022-10-01,3.96594
2022-10-02,4.18148
2022-10-03,4.76344
2022-10-04,5.71182
2022-10-05,5.58249
2022-10-06,5.77648
2022-10-07,4.87121
2022-10-08,4.13837
2022-10-09,4.37547
2022-10-10,4.88199
2022-10-11,5.81959
2022-10-12,5.69026
2022-10-13,4.94665
2022-10-14,4.97898
2022-10-15,4.23537
2022-10-16,4.56945
2022-10-17,5.47472
2022-10-18,5.30229
2022-10-19,6.01357
2022-10-20,5.21607
2022-10-21,4.27847
2022-10-22,3.67496
2022-10-23,4.11682
2022-10-24,4.98976
2022-10-25,4.61256
2022-10-26,4.45091
2022-10-27,5.4855
2022-10-28,5.19452
2022-10-29,4.00905
2022-10-30,4.22459
2022-10-31,4.95743
2022-11-01,5.17297
2022-11-02,5.15141
2022-11-03,4.19226
2022-11-04,4.86043
2022-11-05,3.78273
2022-11-06,4.00905
2022-11-07,5.72259
2022-11-08,6.44465
2022-11-09,5.49628
2022-11-10,5.46395
2022-11-11,5.2053
2022-11-12,4.72033
2022-11-13,4.72033
2022-11-14,5.32384
2022-11-15,5.23763
2022-11-16,4.93587
2022-11-17,5.37773
2022-11-18,4.21381
2022-11-19,3.55641
2022-11-20,3.8905
2022-11-21,4.72033
2022-11-22,4.30003
2022-11-23,4.69878
2022-11-24,3.87972
2022-11-25,4.36469
2022-11-26,3.30854
2022-11-27,3.64263
2022-11-28,3.92283
2022-11-29,4.75266
2022-11-30,3.86895
2022-12-01,4.14915
2022-12-02,3.85817
2022-12-03,3.01756
2022-12-04,3.49175
2022-12-05,4.00905
2022-12-06,4.72033
2022-12-07,4.64489
2022-12-08,4.8281
2022-12-09,4.64489
2022-12-10,3.43787
2022-12-11,4.23537
2022-12-12,4.63412
2022-12-13,4.75266
2022-12-14,4.66645
2022-12-15,4.33236
2022-12-16,5.0652
2022-12-17,3.41631
2022-12-18,3.96594
2022-12-19,4.45091
2022-12-20,4.15993
2022-12-21,4.14915
2022-12-22,3.99827
2022-12-23,3.21155
2022-12-24,3.27621
2022-12-25,3.49175
2022-12-26,8.05043
2022-12-27,10.47526
2022-12-28,7.24215
2022-12-29,64.93156
2022-12-30,68.72507
2022-12-31,35.56417
2023-01-01,24.86259
2023-01-02,31.49046
2023-01-03,23.731
2023-01-04,18.43948
2023-01-05,16.94148
2023-01-06,15.74523
2023-01-07,14.52742
2023-01-08,12.70611
2023-01-09,17.79286
2023-01-10,15.9931
2023-01-11,13.81614
2023-01-12,12.96475
2023-01-13,11.95171
2023-01-14,10.45371
2023-01-15,9.93641
2023-01-16,11.38053
2023-01-17,11.42364
2023-01-18,10.47526
2023-01-19,10.39982
2023-01-20,8.20131
2023-01-21,8.41685
2023-01-22,9.49455
2023-01-23,8.3953
2023-01-24,9.00959
2023-01-25,9.00959
2023-01-26,8.75094
2023-01-27,7.24215
2023-01-28,7.46847
2023-01-29,8.26597
2023-01-30,10.94945
2023-01-31,10.44293
2023-02-01,8.5354
2023-02-02,9.21435
2023-02-03,8.07199
2023-02-04,7.47925
2023-02-05,7.38226
2023-02-06,9.11736
2023-02-07,8.82638
2023-02-08,9.60232
2023-02-09,9.25746
2023-02-10,7.05895
2023-02-11,5.65793
2023-02-12,6.06746
2023-02-13,6.76797
2023-02-14,7.25293
2023-02-15,6.7033
2023-02-16,7.5008
2023-02-17,7.33915
2023-02-18,6.64942
2023-02-19,6.61709
2023-02-20,8.12587
2023-02-21,8.49229
2023-02-22,7.0805
2023-02-23,7.37148
2023-02-24,6.54165
2023-02-25,5.97047
2023-02-26,5.65793
2023-02-27,6.85418
2023-02-28,6.13212
2023-03-01,5.64716
2023-03-02,6.1429
2023-03-03,6.73563
2023-03-04,5.31307
2023-03-05,4.94665
2023-03-06,6.44465
2023-03-07,6.33688
2023-03-08,5.64716
2023-03-09,5.70104
2023-03-10,5.32384
2023-03-11,4.18148
2023-03-12,4.47246
2023-03-13,6.73563
2023-03-14,7.41459
2023-03-15,10.74469
2023-03-16,8.51384
2023-03-17,8.34141
2023-03-18,6.34766
2023-03-19,6.27222
2023-03-20,7.63013
2023-03-21,6.77874
2023-03-22,6.71408
2023-03-23,6.30455
2023-03-24,6.12134
2023-03-25,4.41857
2023-03-26,5.00053
2023-03-27,6.74641
2023-03-28,5.64716
2023-03-29,5.29151
2023-03-30,6.47699
2023-03-31,6.08901
2023-04-01,4.66645
2023-04-02,4.69878
2023-04-03,5.3454
2023-04-04,6.57398
2023-04-05,6.15368
2023-04-06,5.87347
2023-04-07,5.61482
2023-04-08,4.69878
2023-04-09,4.12759
2023-04-10,6.20756
2023-04-11,7.4577
2023-04-12,7.00506
2023-04-13,6.05668
2023-04-14,6.69253
2023-04-15,4.94665
2023-04-16,5.30229
2023-04-17,6.69253
2023-04-18,6.18601
2023-04-19,5.51783
2023-04-20,5.36695
2023-04-21,5.67949
2023-04-22,3.90128
2023-04-23,4.22459
2023-04-24,4.90354
2023-04-25,5.08675
2023-04-26,5.03286
2023-04-27,4.87121
2023-04-28,4.1707
2023-04-29,3.97672
2023-04-30,4.35391
2023-05-01,4.32158
2023-05-02,4.77422
2023-05-03,5.36695
2023-05-04,4.64489
2023-05-05,3.98749
2023-05-06,4.4078
2023-05-07,4.5479
2023-05-08,5.31307
2023-05-09,5.64716
2023-05-10,5.43161
2023-05-11,5.21607
2023-05-12,4.55868
2023-05-13,4.15993
2023-05-14,4.30003
2023-05-15,4.74189
2023-05-16,5.28074
2023-05-17,4.58023
2023-05-18,6.08901
2023-05-19,5.3454
2023-05-20,3.57797
2023-05-21,4.35391
2023-05-22,6.17523
2023-05-23,5.70104
2023-05-24,5.83036
2023-05-25,5.18374
2023-05-26,5.08675
