date,블록체인기술
2023-02-19,2.60223
2023-02-20,6.69144
2023-02-21,6.3197
2023-02-22,8.55018
2023-02-23,10.78066
2023-02-24,7.43494
2023-02-25,7.06319
2023-02-26,5.20446
2023-02-27,7.43494
2023-02-28,5.94795
2023-03-01,2.60223
2023-03-02,8.92193
2023-03-03,9.29368
2023-03-04,4.46096
2023-03-05,6.3197
2023-03-06,10.03717
2023-03-07,7.06319
2023-03-08,15.24163
2023-03-09,15.24163
2023-03-10,10.03717
2023-03-11,7.80669
2023-03-12,11.15241
2023-03-13,16.72862
2023-03-14,22.30483
2023-03-15,19.7026
2023-03-16,18.58736
2023-03-17,11.89591
2023-03-18,12.6394
2023-03-19,10.78066
2023-03-20,23.04832
2023-03-21,21.93308
2023-03-22,19.33085
2023-03-23,17.10037
2023-03-24,24.16356
2023-03-25,9.66542
2023-03-26,15.98513
2023-03-27,32.342
2023-03-28,21.93308
2023-03-29,22.30483
2023-03-30,29.36802
2023-03-31,13.38289
2023-04-01,13.38289
2023-04-02,27.88104
2023-04-03,27.13754
2023-04-04,33.45724
2023-04-05,30.48327
2023-04-06,26.0223
2023-04-07,21.18959
2023-04-08,13.38289
2023-04-09,18.9591
2023-04-10,26.39405
2023-04-11,27.88104
2023-04-12,32.342
2023-04-13,27.50929
2023-04-14,18.21561
2023-04-15,15.61338
2023-04-16,10.40892
2023-04-17,20.44609
2023-04-18,18.21561
2023-04-19,21.93308
2023-04-20,29.73977
2023-04-21,20.44609
2023-04-22,24.16356
2023-04-23,17.10037
2023-04-24,24.16356
2023-04-25,21.93308
2023-04-26,18.9591
2023-04-27,18.9591
2023-04-28,15.98513
2023-04-29,6.69144
2023-04-30,17.47211
2023-05-01,16.72862
2023-05-02,23.04832
2023-05-03,32.71375
2023-05-04,18.21561
2023-05-05,8.55018
2023-05-06,12.26765
2023-05-07,21.18959
2023-05-08,31.22676
2023-05-09,23.79182
2023-05-10,25.65055
2023-05-11,30.11152
2023-05-12,26.76579
2023-05-13,11.52416
2023-05-14,18.58736
2023-05-15,27.50929
2023-05-16,23.42007
2023-05-17,26.39405
2023-05-18,26.76579
2023-05-19,22.30483
2023-05-20,17.84386
2023-05-21,24.16356
2023-05-22,34.94423
2023-05-23,31.97026
2023-05-24,36.80297
2023-05-25,38.66171
2023-05-26,26.76579
