date,환테크
2021-11-17,11.74213
2021-11-18,8.36531
2021-11-19,8.28856
2021-11-20,6.75364
2021-11-21,7.36761
2021-11-22,7.82808
2021-11-23,9.05602
2021-11-24,7.67459
2021-11-25,7.44435
2021-11-26,7.67459
2021-11-27,5.21872
2021-11-28,4.45126
2021-11-29,7.90483
2021-11-30,6.60015
2021-12-01,9.43975
2021-12-02,8.44205
2021-12-03,8.90253
2021-12-04,4.83499
2021-12-05,4.22102
2021-12-06,6.98388
2021-12-07,7.21412
2021-12-08,8.90253
2021-12-09,10.43745
2021-12-10,9.59324
2021-12-11,4.22102
2021-12-12,7.36761
2021-12-13,8.13507
2021-12-14,7.90483
2021-12-15,6.13967
2021-12-16,7.21412
2021-12-17,5.21872
2021-12-18,5.06523
2021-12-19,4.83499
2021-12-20,7.67459
2021-12-21,6.75364
2021-12-22,8.90253
2021-12-23,7.13737
2021-12-24,5.98618
2021-12-25,4.22102
2021-12-26,3.22333
2021-12-27,4.14428
2021-12-28,10.43745
2021-12-29,5.14198
2021-12-30,6.06293
2021-12-31,4.98848
2022-01-01,4.45126
2022-01-02,7.59785
2022-01-03,8.90253
2022-01-04,9.20951
2022-01-05,11.28165
2022-01-06,15.80966
2022-01-07,13.73752
2022-01-08,8.74904
2022-01-09,8.82578
2022-01-10,10.13046
2022-01-11,10.05372
2022-01-12,9.05602
2022-01-13,9.20951
2022-01-14,7.29086
2022-01-15,6.13967
2022-01-16,6.75364
2022-01-17,6.36991
2022-01-18,6.21642
2022-01-19,8.13507
2022-01-20,7.67459
2022-01-21,5.44896
2022-01-22,7.44435
2022-01-23,7.36761
2022-01-24,11.81887
2022-01-25,9.5165
2022-01-26,12.04911
2022-01-27,11.66538
2022-01-28,12.50959
2022-01-29,7.29086
2022-01-30,7.82808
2022-01-31,7.5211
2022-02-01,11.51189
2022-02-02,15.73292
2022-02-03,11.81887
2022-02-04,9.90023
2022-02-05,8.5188
2022-02-06,5.5257
2022-02-07,7.5211
2022-02-08,8.5188
2022-02-09,7.36761
2022-02-10,7.5211
2022-02-11,8.05832
2022-02-12,5.21872
2022-02-13,4.60475
2022-02-14,5.90943
2022-02-15,5.21872
2022-02-16,6.5234
2022-02-17,5.6792
2022-02-18,5.21872
2022-02-19,4.06753
2022-02-20,3.53031
2022-02-21,7.13737
2022-02-22,5.14198
2022-02-23,5.90943
2022-02-24,7.36761
2022-02-25,9.43975
2022-02-26,4.91174
2022-02-27,3.37682
2022-02-28,4.91174
2022-03-01,4.75825
2022-03-02,5.21872
2022-03-03,4.29777
2022-03-04,52.87797
2022-03-05,8.44205
2022-03-06,9.74673
2022-03-07,15.73292
2022-03-08,12.12586
2022-03-09,6.67689
2022-03-10,6.75364
2022-03-11,6.98388
2022-03-12,5.5257
2022-03-13,5.37221
2022-03-14,7.5211
2022-03-15,6.67689
2022-03-16,7.75134
2022-03-17,8.13507
2022-03-18,8.28856
2022-03-19,5.29547
2022-03-20,3.37682
2022-03-21,6.75364
2022-03-22,5.14198
2022-03-23,7.75134
2022-03-24,5.5257
2022-03-25,9.05602
2022-03-26,5.60245
2022-03-27,3.60706
2022-03-28,6.29316
2022-03-29,9.90023
2022-03-30,9.82348
2022-03-31,8.44205
2022-04-01,5.14198
2022-04-02,5.29547
2022-04-03,3.6838
2022-04-04,4.45126
2022-04-05,5.44896
2022-04-06,6.29316
2022-04-07,5.60245
2022-04-08,4.52801
2022-04-09,3.6838
2022-04-10,2.45587
2022-04-11,4.98848
2022-04-12,3.91404
2022-04-13,5.83269
2022-04-14,5.21872
2022-04-15,3.6838
2022-04-16,1.68841
2022-04-17,2.53261
2022-04-18,3.6838
2022-04-19,5.6792
2022-04-20,8.74904
2022-04-21,6.13967
2022-04-22,5.29547
2022-04-23,2.37912
2022-04-24,2.37912
2022-04-25,4.75825
2022-04-26,5.14198
2022-04-27,8.74904
2022-04-28,8.59554
2022-04-29,6.60015
2022-04-30,3.45356
2022-05-01,3.53031
2022-05-02,5.60245
