date,라울뒤피
2022-05-21,0.86671
2022-05-22,1.21808
2022-05-23,1.1478
2022-05-24,1.28835
2022-05-25,1.03068
2022-05-26,0.84328
2022-05-27,0.53876
2022-05-28,0.60904
2022-05-29,0.72616
2022-05-30,1.28835
2022-05-31,1.05411
2022-06-01,0.91356
2022-06-02,1.03068
2022-06-03,0.67931
2022-06-04,0.63246
2022-06-05,0.96041
2022-06-06,0.89013
2022-06-07,1.47575
2022-06-08,1.26493
2022-06-09,1.00726
2022-06-10,0.93698
2022-06-11,0.91356
2022-06-12,0.60904
2022-06-13,1.10096
2022-06-14,1.03068
2022-06-15,1.12438
2022-06-16,1.35863
2022-06-17,0.93698
2022-06-18,0.70274
2022-06-19,1.00726
2022-06-20,0.96041
2022-06-21,1.00726
2022-06-22,0.98383
2022-06-23,0.65589
2022-06-24,1.26493
2022-06-25,0.79643
2022-06-26,0.91356
2022-06-27,0.72616
2022-06-28,1.1478
2022-06-29,0.46849
2022-06-30,1.05411
2022-07-01,0.77301
2022-07-02,0.53876
2022-07-03,0.91356
2022-07-04,0.91356
2022-07-05,1.00726
2022-07-06,1.12438
2022-07-07,1.07753
2022-07-08,1.19465
2022-07-09,0.74959
2022-07-10,0.91356
2022-07-11,1.03068
2022-07-12,1.19465
2022-07-13,0.65589
2022-07-14,0.77301
2022-07-15,0.84328
2022-07-16,0.79643
2022-07-17,0.96041
2022-07-18,1.07753
2022-07-19,0.60904
2022-07-20,0.63246
2022-07-21,0.93698
2022-07-22,0.63246
2022-07-23,0.72616
2022-07-24,0.53876
2022-07-25,1.07753
2022-07-26,0.91356
2022-07-27,1.49918
2022-07-28,1.05411
2022-07-29,1.00726
2022-07-30,0.93698
2022-07-31,1.03068
2022-08-01,1.07753
2022-08-02,1.12438
2022-08-03,0.60904
2022-08-04,0.84328
2022-08-05,0.84328
2022-08-06,1.31178
2022-08-07,1.4289
2022-08-08,0.93698
2022-08-09,0.96041
2022-08-10,1.5226
2022-08-11,0.86671
2022-08-12,0.72616
2022-08-13,0.67931
2022-08-14,0.86671
2022-08-15,0.65589
2022-08-16,1.07753
2022-08-17,0.79643
2022-08-18,1.17123
2022-08-19,0.98383
2022-08-20,0.81986
2022-08-21,0.93698
2022-08-22,1.28835
2022-08-23,1.10096
2022-08-24,1.2415
2022-08-25,0.72616
2022-08-26,0.77301
2022-08-27,0.84328
2022-08-28,0.81986
2022-08-29,0.51534
2022-08-30,0.93698
2022-08-31,1.10096
2022-09-01,1.05411
2022-09-02,1.17123
2022-09-03,0.84328
2022-09-04,0.98383
2022-09-05,0.67931
2022-09-06,0.81986
2022-09-07,0.77301
2022-09-08,0.81986
2022-09-09,0.74959
2022-09-10,0.67931
2022-09-11,0.49191
2022-09-12,0.63246
2022-09-13,0.72616
2022-09-14,0.79643
2022-09-15,0.81986
2022-09-16,0.58561
2022-09-17,0.77301
2022-09-18,0.49191
2022-09-19,0.93698
2022-09-20,0.84328
2022-09-21,0.49191
2022-09-22,0.91356
2022-09-23,0.53876
2022-09-24,0.44506
2022-09-25,0.67931
2022-09-26,0.84328
2022-09-27,1.10096
2022-09-28,0.53876
2022-09-29,0.96041
2022-09-30,0.65589
2022-10-01,0.42164
2022-10-02,0.51534
2022-10-03,1.8037
2022-10-04,0.81986
