date,자동차보험비교견적
2023-01-17,21.96765
2023-01-18,20.3504
2023-01-19,16.03773
2023-01-20,10.24258
2023-01-21,4.31266
2023-01-22,5.66037
2023-01-23,6.73854
2023-01-24,5.25606
2023-01-25,24.79784
2023-01-26,25.33692
2023-01-27,19.81132
2023-01-28,7.68194
2023-01-29,10.10781
2023-01-30,18.59838
2023-01-31,22.91105
2023-02-01,21.96765
2023-02-02,21.96765
2023-02-03,21.15902
2023-02-04,10.6469
2023-02-05,11.45552
2023-02-06,24.39353
2023-02-07,22.23719
2023-02-08,21.02425
2023-02-09,18.32884
2023-02-10,18.86792
2023-02-11,9.29919
2023-02-12,9.43396
2023-02-13,23.98921
2023-02-14,20.61994
2023-02-15,21.42857
2023-02-16,19.13746
2023-02-17,15.49865
2023-02-18,7.00808
2023-02-19,12.80323
2023-02-20,24.12398
2023-02-21,23.5849
2023-02-22,26.14555
2023-02-23,19.81132
2023-02-24,19.27223
2023-02-25,9.97304
2023-02-26,14.69002
2023-02-27,23.04582
2023-02-28,23.71967
2023-03-01,12.80323
2023-03-02,23.71967
2023-03-03,25.87601
2023-03-04,12.53369
2023-03-05,13.61185
2023-03-06,31.13207
2023-03-07,24.39353
2023-03-08,25.87601
2023-03-09,25.47169
2023-03-10,20.61994
2023-03-11,8.7601
2023-03-12,11.18598
2023-03-13,29.78436
2023-03-14,25.06738
2023-03-15,23.85444
2023-03-16,30.86253
2023-03-17,23.31536
2023-03-18,8.08625
2023-03-19,11.85983
2023-03-20,30.32345
2023-03-21,27.35849
2023-03-22,25.74123
2023-03-23,22.50673
2023-03-24,25.87601
2023-03-25,9.97304
2023-03-26,11.72506
2023-03-27,23.5849
2023-03-28,23.71967
2023-03-29,21.96765
2023-03-30,20.75471
2023-03-31,20.88948
2023-04-01,11.45552
2023-04-02,11.72506
2023-04-03,31.80592
2023-04-04,26.14555
2023-04-05,26.41509
2023-04-06,24.39353
2023-04-07,21.2938
2023-04-08,10.78167
2023-04-09,10.6469
2023-04-10,27.08894
2023-04-11,25.20215
2023-04-12,26.01078
2023-04-13,27.7628
2023-04-14,19.94609
2023-04-15,12.938
2023-04-16,11.45552
2023-04-17,28.30188
2023-04-18,28.03234
2023-04-19,22.77628
2023-04-20,23.45013
2023-04-21,16.71159
2023-04-22,10.51212
2023-04-23,10.91644
2023-04-24,29.38005
2023-04-25,28.70619
2023-04-26,30.59299
2023-04-27,25.60646
2023-04-28,21.96765
2023-04-29,13.20754
2023-04-30,11.18598
2023-05-01,20.61994
2023-05-02,26.28032
2023-05-03,23.98921
2023-05-04,25.60646
2023-05-05,10.51212
2023-05-06,11.72506
2023-05-07,12.80323
2023-05-08,32.74932
2023-05-09,27.08894
2023-05-10,14.95956
2023-05-11,14.15094
2023-05-12,14.01617
2023-05-13,6.19946
2023-05-14,7.68194
2023-05-15,21.15902
2023-05-16,17.25067
2023-05-17,13.20754
2023-05-18,18.19407
2023-05-19,15.22911
2023-05-20,5.92991
2023-05-21,5.12129
2023-05-22,19.94609
2023-05-23,17.1159
2023-05-24,11.45552
2023-05-25,16.84636
