date,주식장외거래
2022-01-15,5.92525
2022-01-16,4.7402
2022-01-17,12.76207
2022-01-18,16.77301
2022-01-19,16.86417
2022-01-20,18.68732
2022-01-21,16.86417
2022-01-22,6.28988
2022-01-23,6.28988
2022-01-24,12.39744
2022-01-25,14.03828
2022-01-26,22.69826
2022-01-27,53.23609
2022-01-28,23.88331
2022-01-29,4.92251
2022-01-30,3.91978
2022-01-31,4.28441
2022-02-01,4.92251
2022-02-02,7.47493
2022-02-03,24.52142
2022-02-04,23.33637
2022-02-05,6.10756
2022-02-06,5.83409
2022-02-07,22.51595
2022-02-08,22.60711
2022-02-09,21.78669
2022-02-10,20.87511
2022-02-11,17.50227
2022-02-12,3.82862
2022-02-13,5.56061
2022-02-14,13.76481
2022-02-15,19.23427
2022-02-16,19.78122
2022-02-17,16.95533
2022-02-18,17.8669
2022-02-19,5.19598
2022-02-20,3.28167
2022-02-21,15.4968
2022-02-22,20.69279
2022-02-23,18.41385
2022-02-24,21.969
2022-02-25,19.78122
2022-02-26,8.20419
2022-02-27,4.37556
2022-02-28,14.49407
2022-03-01,6.10756
2022-03-02,14.03828
2022-03-03,16.86417
2022-03-04,14.31175
2022-03-05,3.55515
2022-03-06,3.0082
2022-03-07,16.22607
2022-03-08,15.31449
2022-03-09,4.01093
2022-03-10,19.5989
2022-03-11,16.86417
2022-03-12,2.91704
2022-03-13,3.82862
2022-03-14,13.67365
2022-03-15,13.67365
2022-03-16,14.76754
2022-03-17,19.05195
2022-03-18,14.12944
2022-03-19,3.73746
2022-03-20,3.0082
2022-03-21,16.77301
2022-03-22,15.77028
2022-03-23,18.04922
2022-03-24,19.5989
2022-03-25,14.40291
2022-03-26,4.28441
2022-03-27,3.73746
2022-03-28,15.13217
2022-03-29,18.77848
2022-03-30,19.87237
2022-03-31,15.22333
2022-04-01,18.41385
2022-04-02,3.91978
2022-04-03,1.82315
2022-04-04,14.58523
2022-04-05,14.94986
2022-04-06,18.32269
2022-04-07,15.86144
2022-04-08,12.30628
2022-04-09,2.27894
2022-04-10,3.46399
2022-04-11,12.12397
