date,해외선물거래
2022-12-11,10.36414
2022-12-12,22.96918
2022-12-13,24.64985
2022-12-14,28.57142
2022-12-15,24.64985
2022-12-16,25.21008
2022-12-17,12.60504
2022-12-18,12.04481
2022-12-19,24.92997
2022-12-20,38.65546
2022-12-21,22.68907
2022-12-22,31.93277
2022-12-23,24.64985
2022-12-24,10.36414
2022-12-25,10.36414
2022-12-26,31.09243
2022-12-27,17.64705
2022-12-28,22.96918
2022-12-29,25.49019
2022-12-30,17.08683
2022-12-31,7.0028
2023-01-01,7.84313
2023-01-02,22.40896
2023-01-03,26.05042
2023-01-04,27.17086
2023-01-05,23.24929
2023-01-06,22.96918
2023-01-07,13.44537
2023-01-08,14.84593
2023-01-09,23.80952
2023-01-10,21.28851
2023-01-11,24.36974
2023-01-12,27.17086
2023-01-13,21.28851
2023-01-14,14.56582
2023-01-15,11.48459
2023-01-16,23.52941
2023-01-17,33.05322
2023-01-18,29.13165
2023-01-19,27.45098
2023-01-20,16.52661
2023-01-21,16.24649
2023-01-22,6.44257
2023-01-23,15.40616
2023-01-24,18.20728
2023-01-25,21.84873
2023-01-26,28.57142
2023-01-27,22.12885
2023-01-28,11.20448
2023-01-29,10.08403
2023-01-30,17.64705
2023-01-31,28.0112
2023-02-01,25.49019
2023-02-02,22.68907
2023-02-03,30.81232
2023-02-04,12.88515
2023-02-05,10.08403
2023-02-06,24.92997
2023-02-07,29.13165
2023-02-08,28.0112
2023-02-09,24.64985
2023-02-10,20.16806
2023-02-11,14.28571
2023-02-12,14.0056
2023-02-13,20.72829
2023-02-14,29.69187
2023-02-15,26.05042
2023-02-16,33.61344
2023-02-17,31.09243
2023-02-18,16.80672
2023-02-19,12.04481
2023-02-20,28.85154
2023-02-21,22.12885
2023-02-22,29.69187
2023-02-23,28.29131
2023-02-24,20.44817
2023-02-25,10.36414
2023-02-26,12.60504
2023-02-27,25.7703
2023-02-28,25.21008
2023-03-01,21.56862
2023-03-02,21.84873
2023-03-03,23.52941
2023-03-04,11.48459
2023-03-05,10.92436
2023-03-06,20.44817
2023-03-07,28.0112
2023-03-08,26.89075
2023-03-09,20.16806
2023-03-10,15.96638
2023-03-11,14.56582
2023-03-12,10.92436
2023-03-13,25.21008
2023-03-14,34.45378
2023-03-15,27.45098
2023-03-16,22.68907
2023-03-17,22.40896
2023-03-18,17.36694
2023-03-19,10.36414
2023-03-20,30.2521
2023-03-21,31.37254
2023-03-22,25.7703
2023-03-23,26.61064
2023-03-24,27.17086
2023-03-25,11.20448
2023-03-26,9.24369
2023-03-27,23.52941
2023-03-28,33.61344
2023-03-29,29.69187
2023-03-30,33.61344
2023-03-31,25.21008
2023-04-01,16.24649
2023-04-02,8.68347
2023-04-03,27.73109
2023-04-04,30.53221
2023-04-05,33.05322
2023-04-06,43.97759
2023-04-07,28.0112
2023-04-08,19.32773
2023-04-09,12.32492
2023-04-10,25.49019
2023-04-11,34.73389
2023-04-12,28.29131
2023-04-13,32.49299
2023-04-14,26.33053
2023-04-15,18.20728
2023-04-16,10.92436
2023-04-17,27.45098
2023-04-18,30.2521
2023-04-19,34.45378
2023-04-20,35.57422
2023-04-21,26.05042
2023-04-22,8.40336
2023-04-23,14.56582
2023-04-24,23.24929
2023-04-25,30.81232
2023-04-26,30.2521
2023-04-27,28.57142
2023-04-28,25.21008
2023-04-29,14.0056
2023-04-30,14.56582
2023-05-01,20.72829
2023-05-02,22.40896
2023-05-03,33.05322
2023-05-04,25.49019
2023-05-05,15.68627
2023-05-06,11.20448
2023-05-07,10.92436
2023-05-08,19.04761
2023-05-09,21.28851
2023-05-10,26.05042
2023-05-11,20.44817
2023-05-12,17.36694
2023-05-13,16.24649
2023-05-14,7.56302
2023-05-15,22.40896
2023-05-16,21.56862
2023-05-17,18.48739
2023-05-18,22.12885
2023-05-19,15.40616
2023-05-20,10.36414
2023-05-21,7.28291
2023-05-22,13.16526
2023-05-23,20.72829
2023-05-24,22.12885
2023-05-25,21.28851
