date,카페인테리어소품
2022-12-03,29.8969
2022-12-04,37.62886
2022-12-05,26.80412
2022-12-06,25.77319
2022-12-07,38.65979
2022-12-08,34.02061
2022-12-09,29.38144
2022-12-10,35.05154
2022-12-11,40.20618
2022-12-12,35.56701
2022-12-13,38.65979
2022-12-14,47.42268
2022-12-15,27.31958
2022-12-16,36.08247
2022-12-17,28.35051
2022-12-18,36.59793
2022-12-19,34.02061
2022-12-20,34.02061
2022-12-21,42.26804
2022-12-22,35.56701
2022-12-23,41.75257
2022-12-24,29.38144
2022-12-25,31.44329
2022-12-26,36.08247
2022-12-27,45.36082
2022-12-28,32.47422
2022-12-29,27.31958
2022-12-30,41.75257
2022-12-31,34.02061
2023-01-01,37.62886
2023-01-02,47.42268
2023-01-03,53.60824
2023-01-04,45.87628
2023-01-05,46.39175
2023-01-06,44.32989
2023-01-07,36.59793
2023-01-08,38.65979
2023-01-09,44.84536
2023-01-10,38.65979
2023-01-11,48.96907
2023-01-12,54.63917
2023-01-13,40.72164
2023-01-14,40.72164
2023-01-15,41.23711
2023-01-16,52.57731
2023-01-17,55.6701
2023-01-18,47.42268
2023-01-19,27.83505
2023-01-20,31.95876
2023-01-21,22.68041
2023-01-22,21.64948
2023-01-23,30.92783
2023-01-24,33.50515
2023-01-25,36.59793
2023-01-26,41.23711
2023-01-27,29.8969
2023-01-28,44.32989
2023-01-29,42.7835
2023-01-30,44.32989
2023-01-31,40.72164
2023-02-01,39.69072
2023-02-02,47.42268
2023-02-03,41.23711
2023-02-04,34.02061
2023-02-05,62.37113
2023-02-06,55.6701
2023-02-07,44.32989
2023-02-08,46.39175
2023-02-09,46.39175
2023-02-10,42.26804
2023-02-11,40.20618
2023-02-12,52.57731
2023-02-13,43.81443
2023-02-14,45.87628
2023-02-15,40.72164
2023-02-16,50.51546
2023-02-17,44.84536
2023-02-18,42.7835
2023-02-19,44.84536
2023-02-20,41.23711
2023-02-21,47.93814
2023-02-22,52.06185
2023-02-23,48.96907
2023-02-24,36.08247
2023-02-25,45.87628
2023-02-26,47.42268
2023-02-27,32.98969
2023-02-28,40.20618
2023-03-01,45.87628
2023-03-02,41.23711
2023-03-03,34.53608
2023-03-04,35.05154
2023-03-05,40.20618
2023-03-06,40.72164
2023-03-07,51.03092
2023-03-08,42.26804
2023-03-09,42.7835
2023-03-10,33.50515
2023-03-11,28.35051
2023-03-12,25.77319
2023-03-13,33.50515
2023-03-14,41.23711
2023-03-15,40.20618
2023-03-16,36.08247
2023-03-17,39.17525
2023-03-18,47.93814
2023-03-19,44.32989
2023-03-20,36.59793
2023-03-21,39.69072
2023-03-22,34.53608
2023-03-23,39.17525
2023-03-24,37.1134
2023-03-25,37.1134
2023-03-26,41.23711
2023-03-27,35.05154
2023-03-28,39.17525
2023-03-29,42.26804
2023-03-30,35.56701
2023-03-31,34.53608
2023-04-01,31.95876
2023-04-02,47.42268
2023-04-03,40.20618
2023-04-04,42.26804
2023-04-05,47.93814
2023-04-06,38.14432
2023-04-07,34.53608
2023-04-08,34.02061
2023-04-09,27.31958
2023-04-10,29.8969
2023-04-11,40.72164
2023-04-12,56.18556
2023-04-13,48.96907
2023-04-14,36.59793
2023-04-15,37.62886
2023-04-16,34.53608
2023-04-17,33.50515
2023-04-18,39.69072
2023-04-19,45.87628
2023-04-20,39.17525
2023-04-21,42.7835
2023-04-22,36.08247
2023-04-23,42.7835
2023-04-24,36.08247
2023-04-25,40.20618
2023-04-26,41.23711
2023-04-27,40.72164
2023-04-28,32.98969
2023-04-29,35.05154
2023-04-30,38.65979
2023-05-01,45.36082
2023-05-02,34.53608
2023-05-03,40.20618
2023-05-04,30.92783
2023-05-05,34.02061
2023-05-06,32.98969
2023-05-07,35.56701
2023-05-08,34.53608
2023-05-09,43.29896
2023-05-10,35.05154
2023-05-11,39.17525
2023-05-12,23.19587
2023-05-13,28.86597
2023-05-14,29.38144
2023-05-15,34.02061
2023-05-16,40.20618
2023-05-17,30.41237
2023-05-18,27.83505
2023-05-19,27.83505
2023-05-20,12.88659
2023-05-21,25.77319
2023-05-22,25.77319
2023-05-23,31.95876
2023-05-24,31.95876
2023-05-25,27.83505
