date,실비보험
2022-11-10,9.36257
2022-11-11,8.58301
2022-11-12,5.20492
2022-11-13,4.38993
2022-11-14,10.16181
2022-11-15,9.40588
2022-11-16,9.53187
2022-11-17,8.2641
2022-11-18,7.76408
2022-11-19,5.09468
2022-11-20,4.54742
2022-11-21,9.64998
2022-11-22,9.66573
2022-11-23,8.94917
2022-11-24,8.55939
2022-11-25,8.24441
2022-11-26,5.23642
2022-11-27,4.45293
2022-11-28,9.27595
2022-11-29,9.15784
2022-11-30,8.709
2022-12-01,8.20504
2022-12-02,7.69715
2022-12-03,4.22457
2022-12-04,4.79152
2022-12-05,9.70904
2022-12-06,9.05941
2022-12-07,9.02004
2022-12-08,9.57911
2022-12-09,9.33501
2022-12-10,6.00811
2022-12-11,4.79152
2022-12-12,10.82719
2022-12-13,10.3193
2022-12-14,10.20906
2022-12-15,10.10275
2022-12-16,9.37832
2022-12-17,4.98838
2022-12-18,5.68132
2022-12-19,10.46497
2022-12-20,11.45714
2022-12-21,11.15791
2022-12-22,11.79967
2022-12-23,8.80743
2022-12-24,5.64589
2022-12-25,4.96476
2022-12-26,11.31934
2022-12-27,12.54773
2022-12-28,11.49651
2022-12-29,11.01224
2022-12-30,10.17362
2022-12-31,5.81518
2023-01-01,4.96869
2023-01-02,10.77207
2023-01-03,10.67364
2023-01-04,10.45316
2023-01-05,10.37048
2023-01-06,9.61848
2023-01-07,6.7601
2023-01-08,5.7955
2023-01-09,11.66581
2023-01-10,10.86656
2023-01-11,11.11067
2023-01-12,9.8114
2023-01-13,9.3232
2023-01-14,6.24434
2023-01-15,5.37816
2023-01-16,11.07523
2023-01-17,10.51222
2023-01-18,9.94133
2023-01-19,8.90586
2023-01-20,8.5712
2023-01-21,4.81515
2023-01-22,5.05925
2023-01-23,5.09075
2023-01-24,6.23252
2023-01-25,12.35875
2023-01-26,11.45714
2023-01-27,10.42167
2023-01-28,6.6853
2023-01-29,5.55139
2023-01-30,11.99259
2023-01-31,11.39414
2023-02-01,10.18544
2023-02-02,10.52403
2023-02-03,9.03972
2023-02-04,5.95692
2023-02-05,5.6892
2023-02-06,11.11461
2023-02-07,10.81538
2023-02-08,9.65392
2023-02-09,9.61848
2023-02-10,9.2287
2023-02-11,6.14984
2023-02-12,5.0435
2023-02-13,11.03193
2023-02-14,9.98858
2023-02-15,9.55155
2023-02-16,8.89405
2023-02-17,8.76018
2023-02-18,5.57895
2023-02-19,4.91357
2023-02-20,10.14606
2023-02-21,11.21697
2023-02-22,10.02795
2023-02-23,10.19725
2023-02-24,8.27591
2023-02-25,5.56714
2023-02-26,5.44115
2023-02-27,9.89802
2023-02-28,9.05547
2023-03-01,5.68526
2023-03-02,8.46883
2023-03-03,8.0633
2023-03-04,5.76006
2023-03-05,4.92539
2023-03-06,9.78778
2023-03-07,9.3232
2023-03-08,8.94523
2023-03-09,8.91767
2023-03-10,8.05149
2023-03-11,5.10256
2023-03-12,4.90964
2023-03-13,9.65786
2023-03-14,9.65786
2023-03-15,10.05157
2023-03-16,9.2602
2023-03-17,8.37828
2023-03-18,5.50021
2023-03-19,5.05137
2023-03-20,10.14213
2023-03-21,11.06736
2023-03-22,8.88617
2023-03-23,9.11846
2023-03-24,8.50427
2023-03-25,5.44115
2023-03-26,4.64191
2023-03-27,10.0437
2023-03-28,9.90983
2023-03-29,9.24839
2023-03-30,8.78774
2023-03-31,7.77195
2023-04-01,4.83877
2023-04-02,4.48442
2023-04-03,8.42946
2023-04-04,8.66175
2023-04-05,8.90586
2023-04-06,8.44915
2023-04-07,8.17355
2023-04-08,5.09075
2023-04-09,4.77577
2023-04-10,9.74054
2023-04-11,9.89409
2023-04-12,9.52399
2023-04-13,9.40981
2023-04-14,8.42159
2023-04-15,5.13012
2023-04-16,4.38993
2023-04-17,9.8744
2023-04-18,9.09878
2023-04-19,8.83105
2023-04-20,8.82318
2023-04-21,9.21296
2023-04-22,5.37422
2023-04-23,4.50411
2023-04-24,9.44131
2023-04-25,9.93739
2023-04-26,8.96491
2023-04-27,8.39009
2023-04-28,7.57116
2023-04-29,4.64191
2023-04-30,4.14583
2023-05-01,6.43332
2023-05-02,8.83893
2023-05-03,8.39403
2023-05-04,7.36249
2023-05-05,4.46867
2023-05-06,5.08287
2023-05-07,4.22851
2023-05-08,9.83109
2023-05-09,10.00433
2023-05-10,9.50824
2023-05-11,8.87436
2023-05-12,8.29953
2023-05-13,4.93326
2023-05-14,4.69703
2023-05-15,9.93739
2023-05-16,10.0437
2023-05-17,9.72479
2023-05-18,9.24052
2023-05-19,8.33103
2023-05-20,5.31123
2023-05-21,4.57892
2023-05-22,10.44135
2023-05-23,10.68152
2023-05-24,9.93346
2023-05-25,9.68935
2023-05-26,8.18142
2023-05-27,4.17339
