date,김프
2022-12-14,1.32868
2022-12-15,1.41623
2022-12-16,1.32096
2022-12-17,1.34928
2022-12-18,0.92441
2022-12-19,1.12354
2022-12-20,1.49091
2022-12-21,1.10638
2022-12-22,1.06603
2022-12-23,1.13298
2022-12-24,0.72957
2022-12-25,0.70554
2022-12-26,1.06689
2022-12-27,1.16818
2022-12-28,1.32353
2022-12-29,1.27289
2022-12-30,1.13298
2022-12-31,0.81884
2023-01-01,0.86604
2023-01-02,1.00939
2023-01-03,1.04543
2023-01-04,1.07719
2023-01-05,1.04114
2023-01-06,0.97934
2023-01-07,0.7579
2023-01-08,0.62486
2023-01-09,1.19307
2023-01-10,1.15187
2023-01-11,1.042
2023-01-12,1.38876
2023-01-13,1.26259
2023-01-14,2.10547
2023-01-15,1.54841
2023-01-16,1.64884
2023-01-17,1.45314
2023-01-18,1.38619
2023-01-19,1.4437
2023-01-20,1.16646
2023-01-21,1.57159
2023-01-22,1.20594
2023-01-23,1.39563
2023-01-24,1.5055
2023-01-25,1.79647
2023-01-26,1.65141
2023-01-27,1.47031
2023-01-28,1.32353
2023-01-29,1.28147
2023-01-30,1.6969
2023-01-31,1.65914
2023-02-01,1.37589
2023-02-02,1.65055
2023-02-03,1.69004
2023-02-04,1.3819
2023-02-05,1.62995
2023-02-06,1.6351
2023-02-07,1.4231
2023-02-08,1.53897
2023-02-09,1.62995
2023-02-10,2.0265
2023-02-11,1.21882
2023-02-12,1.01883
2023-02-13,1.68145
2023-02-14,1.49091
2023-02-15,1.55185
2023-02-16,2.23078
2023-02-17,1.76643
2023-02-18,1.74754
2023-02-19,1.39048
2023-02-20,2.42905
2023-02-21,2.14667
2023-02-22,2.06856
2023-02-23,1.85398
2023-02-24,1.56644
2023-02-25,1.57159
2023-02-26,1.32353
2023-02-27,1.48318
2023-02-28,1.39821
2023-03-01,1.41709
2023-03-02,1.54326
2023-03-03,1.84454
2023-03-04,1.32782
2023-03-05,1.32353
2023-03-06,1.4952
2023-03-07,1.28662
2023-03-08,1.69776
2023-03-09,1.45915
2023-03-10,2.01277
2023-03-11,1.47374
2023-03-12,1.17676
2023-03-13,1.96213
2023-03-14,2.36554
2023-03-15,1.98702
2023-03-16,1.69433
2023-03-17,2.03422
2023-03-18,1.96813
