date,보험비교
2022-10-02,5.7971
2022-10-03,7.83926
2022-10-04,14.95388
2022-10-05,19.76284
2022-10-06,17.52305
2022-10-07,17.78656
2022-10-08,12.77997
2022-10-09,12.25296
2022-10-10,8.36627
2022-10-11,11.8577
2022-10-12,13.57048
2022-10-13,14.22924
2022-10-14,12.77997
2022-10-15,9.28853
2022-10-16,7.11462
2022-10-17,14.29512
2022-10-18,15.01976
2022-10-19,11.46245
2022-10-20,13.63636
2022-10-21,13.37285
2022-10-22,7.77338
2022-10-23,7.50988
2022-10-24,14.49275
2022-10-25,15.87615
2022-10-26,13.63636
2022-10-27,14.22924
2022-10-28,12.12121
2022-10-29,7.50988
2022-10-30,5.59947
2022-10-31,13.30698
2022-11-01,12.9776
2022-11-02,13.63636
2022-11-03,13.70223
2022-11-04,9.42028
2022-11-05,4.94071
2022-11-06,6.12648
2022-11-07,12.25296
2022-11-08,14.42687
2022-11-09,13.04347
2022-11-10,13.2411
2022-11-11,13.17523
2022-11-12,5.92885
2022-11-13,6.19235
2022-11-14,12.51646
2022-11-15,16.20553
2022-11-16,14.16337
2022-11-17,11.06719
2022-11-18,12.51646
2022-11-19,6.65349
2022-11-20,8.69565
2022-11-21,17.25955
2022-11-22,13.2411
2022-11-23,13.10935
2022-11-24,13.37285
2022-11-25,11.66007
2022-11-26,6.78524
2022-11-27,8.95915
2022-11-28,14.29512
2022-11-29,13.57048
2022-11-30,14.16337
2022-12-01,11.5942
2022-12-02,11.98945
2022-12-03,8.8274
2022-12-04,7.24637
2022-12-05,16.53491
2022-12-06,16.13965
2022-12-07,13.96574
2022-12-08,12.58234
2022-12-09,13.83399
2022-12-10,7.50988
2022-12-11,8.8274
2022-12-12,16.99604
2022-12-13,17.85243
2022-12-14,14.75625
2022-12-15,14.69038
2022-12-16,14.03162
2022-12-17,6.38998
2022-12-18,8.16864
2022-12-19,15.94202
2022-12-20,21.34387
2022-12-21,15.28326
2022-12-22,13.04347
2022-12-23,11.92358
2022-12-24,6.32411
2022-12-25,7.77338
2022-12-26,15.7444
2022-12-27,19.43346
2022-12-28,18.11594
2022-12-29,17.78656
2022-12-30,15.21739
2022-12-31,8.43214
2023-01-01,6.85111
2023-01-02,12.9776
2023-01-03,16.73254
2023-01-04,13.17523
2023-01-05,12.31884
2023-01-06,13.43873
2023-01-07,8.49802
2023-01-08,8.56389
2023-01-09,16.99604
2023-01-10,14.88801
2023-01-11,14.22924
2023-01-12,13.17523
2023-01-13,13.30698
2023-01-14,6.71936
2023-01-15,7.83926
2023-01-16,14.42687
2023-01-17,15.67852
2023-01-18,16.93017
2023-01-19,14.88801
2023-01-20,11.13306
2023-01-21,7.7075
2023-01-22,9.0909
2023-01-23,7.90513
2023-01-24,9.22266
2023-01-25,17.78656
2023-01-26,19.96047
2023-01-27,19.16996
2023-01-28,8.62977
2023-01-29,10.86956
2023-01-30,18.90645
2023-01-31,17.98418
2023-02-01,18.64295
2023-02-02,15.41501
2023-02-03,15.01976
2023-02-04,7.83926
2023-02-05,10.86956
2023-02-06,17.72068
2023-02-07,15.67852
2023-02-08,15.41501
2023-02-09,16.93017
2023-02-10,18.44532
2023-02-11,9.68379
2023-02-12,9.15678
2023-02-13,16.73254
2023-02-14,16.53491
2023-02-15,16.79841
2023-02-16,13.63636
2023-02-17,12.9776
2023-02-18,8.95915
2023-02-19,9.94729
2023-02-20,19.36758
2023-02-21,17.12779
2023-02-22,17.19367
2023-02-23,17.98418
2023-02-24,15.15151
2023-02-25,6.91699
2023-02-26,10.73781
2023-02-27,17.6548
2023-02-28,15.67852
2023-03-01,11.92358
2023-03-02,13.17523
2023-03-03,12.25296
2023-03-04,8.30039
2023-03-05,8.8274
2023-03-06,15.41501
2023-03-07,17.91831
2023-03-08,17.06192
2023-03-09,15.15151
2023-03-10,12.71409
2023-03-11,6.58761
2023-03-12,9.02503
2023-03-13,18.64295
2023-03-14,15.15151
2023-03-15,16.73254
2023-03-16,16.99604
2023-03-17,15.01976
2023-03-18,9.48616
2023-03-19,9.74967
2023-03-20,19.10408
2023-03-21,19.49934
2023-03-22,18.64295
2023-03-23,18.57707
2023-03-24,13.96574
2023-03-25,7.50988
2023-03-26,8.43214
2023-03-27,16.07378
2023-03-28,20.1581
2023-03-29,17.58893
2023-03-30,18.84057
2023-03-31,14.49275
2023-04-01,9.68379
2023-04-02,9.68379
2023-04-03,16.2714
2023-04-04,17.58893
2023-04-05,17.19367
2023-04-06,19.49934
2023-04-07,15.34914
2023-04-08,10.07905
2023-04-09,10.93544
2023-04-10,19.0382
2023-04-11,18.05006
2023-04-12,17.85243
2023-04-13,17.6548
2023-04-14,14.29512
2023-04-15,9.55204
2023-04-16,9.68379
2023-04-17,17.06192
2023-04-18,17.52305
2023-04-19,17.19367
2023-04-20,18.05006
2023-04-21,14.82213
2023-04-22,7.77338
2023-04-23,9.94729
2023-04-24,20.09222
2023-04-25,20.81686
2023-04-26,19.43346
2023-04-27,16.46903
2023-04-28,13.37285
2023-04-29,9.81554
2023-04-30,8.76152
2023-05-01,12.84584
2023-05-02,17.6548
2023-05-03,16.20553
2023-05-04,13.50461
2023-05-05,9.22266
2023-05-06,9.81554
2023-05-07,10.27667
2023-05-08,16.79841
2023-05-09,19.23583
2023-05-10,18.57707
2023-05-11,17.19367
2023-05-12,16.93017
2023-05-13,6.98287
2023-05-14,8.8274
2023-05-15,18.44532
2023-05-16,20.75098
2023-05-17,17.19367
2023-05-18,16.79841
2023-05-19,15.81027
2023-05-20,8.36627
2023-05-21,9.55204
2023-05-22,19.49934
2023-05-23,18.57707
2023-05-24,18.64295
2023-05-25,16.33728
2023-05-26,14.82213
