date,VOO주가
2024-01-11,50.91575
2024-01-12,35.16483
2024-01-13,35.16483
2024-01-14,17.94871
2024-01-15,26.37362
2024-01-16,38.09523
2024-01-17,40.65934
2024-01-18,31.50183
2024-01-19,33.33333
2024-01-20,43.22344
2024-01-21,29.30402
2024-01-22,32.60073
2024-01-23,49.08424
2024-01-24,47.25274
2024-01-25,63.36996
2024-01-26,56.04395
2024-01-27,42.49084
2024-01-28,29.67032
2024-01-29,44.68864
2024-01-30,63.00366
2024-01-31,52.38095
2024-02-01,53.47985
2024-02-02,60.80586
2024-02-03,48.71794
2024-02-04,29.30402
2024-02-05,36.99633
2024-02-06,60.80586
2024-02-07,71.42857
2024-02-08,78.38827
2024-02-09,76.55677
2024-02-10,61.17216
2024-02-11,36.26373
2024-02-12,57.50915
2024-02-13,100.0
2024-02-14,88.64468
2024-02-15,83.88278
2024-02-16,79.48717
2024-02-17,61.90476
2024-02-18,31.86813
2024-02-19,46.52014
2024-02-20,57.87545
2024-02-21,80.21978
2024-02-22,87.54578
2024-02-23,90.47619
2024-02-24,68.13186
2024-02-25,41.39194
2024-02-26,65.56776
2024-02-27,82.41758
2024-02-28,87.17948
2024-02-29,70.69597
2024-03-01,71.79487
2024-03-02,73.62637
2024-03-03,36.26373
2024-03-04,63.36996
2024-03-05,85.71428
2024-03-06,82.41758
2024-03-07,98.53479
2024-03-08,90.10989
2024-03-09,68.86446
2024-03-10,39.56043
2024-03-11,56.41025
2024-03-12,87.91208
2024-03-13,91.94139
2024-03-14,76.19047
2024-03-15,97.80219
2024-03-16,52.38095
2024-03-17,31.86813
2024-03-18,71.06227
2024-03-19,83.51648
2024-03-20,92.67399
