date,유한양행주가
2022-12-04,0.49447
2022-12-05,4.17772
2022-12-06,6.82859
2022-12-07,5.28727
2022-12-08,4.33209
2022-12-09,4.60466
2022-12-10,0.61749
2022-12-11,0.49447
2022-12-12,4.33691
2022-12-13,5.97954
2022-12-14,5.31139
2022-12-15,4.70114
2022-12-16,4.03299
2022-12-17,0.65126
2022-12-18,0.45347
2022-12-19,3.72907
2022-12-20,4.54918
2022-12-21,4.38274
2022-12-22,4.38998
2022-12-23,3.67118
2022-12-24,0.62231
2022-12-25,0.47035
2022-12-26,4.47681
2022-12-27,4.26696
2022-12-28,4.81692
2022-12-29,3.80867
2022-12-30,1.60644
2022-12-31,0.45829
2023-01-01,0.34492
2023-01-02,3.89068
2023-01-03,3.9751
2023-01-04,4.21872
2023-01-05,3.94857
2023-01-06,4.02093
2023-01-07,0.62231
2023-01-08,0.45588
2023-01-09,4.79762
2023-01-10,4.80486
2023-01-11,4.32003
2023-01-12,4.25008
2023-01-13,4.13671
2023-01-14,0.56683
2023-01-15,0.53065
2023-01-16,4.23078
2023-01-17,4.20666
2023-01-18,4.54435
2023-01-19,4.16807
2023-01-20,3.9148
2023-01-21,0.53065
2023-01-22,0.4004
2023-01-23,0.36422
2023-01-24,0.5403
2023-01-25,4.25249
2023-01-26,4.37068
2023-01-27,4.83139
2023-01-28,0.79357
2023-01-29,0.52583
2023-01-30,4.32003
2023-01-31,3.84244
2023-02-01,4.30556
2023-02-02,4.09088
2023-02-03,3.60847
2023-02-04,0.42935
2023-02-05,0.32321
2023-02-06,3.46133
2023-02-07,3.50475
2023-02-08,3.79902
2023-02-09,3.56746
2023-02-10,3.15258
2023-02-11,0.38352
2023-02-12,0.31598
2023-02-13,3.45892
2023-02-14,3.47821
2023-02-15,3.0561
2023-02-16,3.79178
2023-02-17,3.13087
2023-02-18,0.50894
2023-02-19,0.34733
2023-02-20,3.50475
2023-02-21,3.3552
2023-02-22,3.29248
2023-02-23,3.28525
2023-02-24,4.90617
2023-02-25,0.61508
2023-02-26,0.56201
2023-02-27,3.62053
2023-02-28,3.25148
2023-03-01,0.60543
2023-03-02,3.46374
2023-03-03,3.2756
2023-03-04,0.49447
2023-03-05,0.33769
2023-03-06,3.40103
