date,골절보험
2022-12-14,41.30434
2022-12-15,60.86956
2022-12-16,32.60869
2022-12-17,17.3913
2022-12-18,23.91304
2022-12-19,73.91304
2022-12-20,56.52173
2022-12-21,60.86956
2022-12-22,19.56521
2022-12-23,47.82608
2022-12-24,60.86956
2022-12-25,13.04347
2022-12-26,50.0
2022-12-27,58.69565
2022-12-28,50.0
2022-12-29,89.13043
2022-12-30,26.08695
2022-12-31,45.65217
2023-01-01,19.56521
2023-01-02,45.65217
2023-01-03,65.21739
2023-01-04,15.21739
2023-01-05,67.3913
2023-01-06,63.04347
2023-01-07,17.3913
2023-01-08,32.60869
2023-01-09,63.04347
2023-01-10,52.17391
2023-01-11,47.82608
2023-01-12,52.17391
2023-01-13,47.82608
2023-01-14,39.13043
2023-01-15,32.60869
2023-01-16,41.30434
2023-01-17,45.65217
2023-01-18,45.65217
2023-01-19,41.30434
2023-01-20,47.82608
2023-01-21,19.56521
2023-01-22,10.86956
2023-01-23,23.91304
2023-01-24,47.82608
2023-01-25,50.0
2023-01-26,80.43478
2023-01-27,54.34782
2023-01-28,41.30434
2023-01-29,36.95652
2023-01-30,60.86956
2023-01-31,63.04347
2023-02-01,21.73913
2023-02-02,56.52173
2023-02-03,39.13043
2023-02-04,43.47826
2023-02-05,23.91304
2023-02-06,34.7826
2023-02-07,65.21739
2023-02-08,39.13043
2023-02-09,52.17391
2023-02-10,56.52173
2023-02-11,30.43478
2023-02-12,23.91304
2023-02-13,54.34782
2023-02-14,39.13043
2023-02-15,39.13043
2023-02-16,54.34782
2023-02-17,23.91304
2023-02-18,23.91304
2023-02-19,17.3913
2023-02-20,34.7826
2023-02-21,52.17391
2023-02-22,54.34782
2023-02-23,47.82608
2023-02-24,30.43478
2023-02-25,21.73913
2023-02-27,58.69565
2023-02-28,52.17391
2023-03-01,30.43478
2023-03-02,26.08695
2023-03-03,34.7826
2023-03-04,28.26086
2023-03-05,17.3913
2023-03-06,41.30434
2023-03-07,21.73913
2023-03-08,50.0
2023-03-09,54.34782
2023-03-10,26.08695
2023-03-11,26.08695
2023-03-12,28.26086
2023-03-13,45.65217
2023-03-14,43.47826
2023-03-15,63.04347
2023-03-16,56.52173
2023-03-17,45.65217
2023-03-18,26.08695
2023-03-19,19.56521
2023-03-20,69.56521
2023-03-21,52.17391
2023-03-22,50.0
2023-03-23,45.65217
2023-03-24,39.13043
2023-03-25,28.26086
2023-03-26,50.0
2023-03-27,45.65217
2023-03-28,50.0
2023-03-29,54.34782
2023-03-30,71.73913
2023-03-31,43.47826
2023-04-01,34.7826
2023-04-02,21.73913
2023-04-03,58.69565
2023-04-04,15.21739
2023-04-05,41.30434
