date,자동차보험
2022-08-20,33.94898
2022-08-21,32.135
2022-08-22,66.31486
2022-08-23,62.82981
2022-08-24,56.92612
2022-08-25,57.15699
2022-08-26,52.99032
2022-08-27,29.50747
2022-08-28,30.63984
2022-08-29,63.3795
2022-08-30,61.58751
2022-08-31,56.76121
2022-09-01,57.14599
2022-09-02,51.67106
2022-09-03,30.80474
2022-09-04,36.19173
2022-09-05,60.05936
2022-09-06,56.61829
2022-09-07,55.57387
2022-09-08,48.3839
2022-09-09,29.37554
2022-09-10,24.51627
2022-09-11,26.92392
2022-09-12,35.47713
2022-09-13,74.6372
2022-09-14,65.56728
2022-09-15,62.37906
2022-09-16,56.62928
2022-09-17,32.71767
2022-09-18,33.01451
2022-09-19,66.89753
2022-09-20,61.32365
2022-09-21,57.20096
2022-09-22,58.53122
2022-09-23,51.71503
2022-09-24,29.59542
2022-09-25,32.32189
2022-09-26,63.80826
2022-09-27,58.26737
2022-09-28,53.15523
2022-09-29,57.135
2022-09-30,49.80211
2022-10-01,30.60686
2022-10-02,28.77088
2022-10-03,40.85312
2022-10-04,71.94371
2022-10-05,63.33553
2022-10-06,59.23482
2022-10-07,54.50747
2022-10-08,29.39753
2022-10-09,30.06816
2022-10-10,39.43491
2022-10-11,69.79991
2022-10-12,63.41248
2022-10-13,60.24626
2022-10-14,57.01407
2022-10-15,32.11301
2022-10-16,34.26781
2022-10-17,69.86587
2022-10-18,63.41248
2022-10-19,62.47801
2022-10-20,59.41072
2022-10-21,55.46394
2022-10-22,31.9481
2022-10-23,34.41072
2022-10-24,68.41468
2022-10-25,63.83025
2022-10-26,58.2124
2022-10-27,57.59674
2022-10-28,52.91336
2022-10-29,30.85971
2022-10-30,27.08883
2022-10-31,67.27132
2022-11-01,66.33685
2022-11-02,61.86235
2022-11-03,60.27924
2022-11-04,54.37554
2022-11-05,31.89313
2022-11-06,35.02638
2022-11-07,69.85488
2022-11-08,65.43535
2022-11-09,57.68469
2022-11-10,59.44371
2022-11-11,52.57255
2022-11-12,31.10158
2022-11-13,36.31266
2022-11-14,67.34828
2022-11-15,63.19261
2022-11-16,63.07167
2022-11-17,56.90413
2022-11-18,53.50703
2022-11-19,30.83773
2022-11-20,31.98109
2022-11-21,64.35795
2022-11-22,62.52198
2022-11-23,59.68557
2022-11-24,55.04617
2022-11-25,50.54969
2022-11-26,30.354
2022-11-27,35.27924
2022-11-28,64.4569
2022-11-29,61.58751
2022-11-30,64.56684
2022-12-01,68.10686
2022-12-02,57.47581
2022-12-03,31.92612
2022-12-04,40.55628
2022-12-05,71.84476
2022-12-06,64.32497
2022-12-07,61.43359
2022-12-08,59.39973
2022-12-09,58.85004
2022-12-10,33.77308
2022-12-11,38.99516
2022-12-12,74.989
2022-12-13,70.39357
2022-12-14,69.90985
2022-12-15,62.58795
2022-12-16,58.49824
2022-12-17,36.58751
2022-12-18,41.91952
2022-12-19,74.51627
2022-12-20,69.77792
2022-12-21,65.99604
2022-12-22,64.00615
2022-12-23,57.73966
2022-12-24,36.11477
2022-12-25,34.72955
2022-12-26,78.10026
2022-12-27,75.56068
2022-12-28,68.04089
2022-12-29,63.77528
2022-12-30,60.12532
2022-12-31,37.99472
2023-01-01,41.80958
2023-01-02,86.2467
2023-01-03,81.98109
2023-01-04,73.12005
2023-01-05,69.52506
2023-01-06,65.24846
2023-01-07,34.96042
2023-01-08,40.25945
2023-01-09,73.50483
2023-01-10,72.38346
2023-01-11,68.67854
2023-01-12,64.76473
2023-01-13,62.15919
2023-01-14,38.07167
2023-01-15,39.4569
2023-01-16,74.94503
2023-01-17,71.51495
2023-01-18,63.26956
2023-01-19,60.63104
2023-01-20,55.37598
2023-01-21,32.81662
2023-01-22,31.32145
2023-01-23,32.09102
2023-01-24,44.85488
2023-01-25,90.75417
2023-01-26,76.22031
2023-01-27,64.96262
2023-01-28,37.82981
2023-01-29,38.09366
2023-01-30,73.27396
2023-01-31,69.86587
2023-02-01,65.94107
2023-02-02,62.89577
2023-02-03,59.1029
2023-02-04,37.6649
2023-02-05,37.46701
2023-02-06,70.85532
2023-02-07,66.5897
2023-02-08,65.28144
2023-02-09,64.20404
2023-02-10,61.53254
2023-02-11,36.27968
2023-02-12,37.75285
2023-02-13,72.64731
2023-02-14,66.73262
2023-02-15,65.63324
2023-02-16,66.69964
2023-02-17,56.48636
2023-02-18,37.10422
2023-02-19,40.06156
2023-02-20,74.25241
2023-02-21,72.77924
2023-02-22,70.07475
2023-02-23,69.39313
2023-02-24,63.34652
2023-02-25,37.81882
2023-02-26,45.56948
2023-02-27,78.18821
2023-02-28,66.72163
2023-03-01,53.93579
2023-03-02,74.76912
2023-03-03,65.60026
2023-03-04,40.8861
2023-03-05,44.01934
2023-03-06,77.34168
2023-03-07,69.88786
2023-03-08,65.1715
2023-03-09,64.47889
2023-03-10,59.37774
2023-03-11,34.57563
2023-03-12,39.02814
2023-03-13,79.01275
2023-03-14,72.52638
2023-03-15,66.38082
2023-03-16,72.51539
2023-03-17,60.11433
2023-03-18,35.93887
2023-03-19,41.6007
2023-03-20,77.06684
2023-03-21,71.80079
