date,중소기업청년지원금
2023-02-08,16.19913
2023-02-09,18.33267
2023-02-10,16.67325
2023-02-11,8.96878
2023-02-12,8.53417
2023-02-13,17.58198
2023-02-14,19.08336
2023-02-15,18.96483
2023-02-16,16.4757
2023-02-17,14.1446
2023-02-18,7.8625
2023-02-19,8.06005
2023-02-20,18.13512
2023-02-21,18.56973
2023-02-22,16.51521
2023-02-23,16.75227
2023-02-24,15.84354
2023-02-25,8.49466
2023-02-26,9.28486
2023-02-27,15.96207
2023-02-28,15.3299
2023-03-01,11.73449
2023-03-02,18.53022
2023-03-03,14.89529
2023-03-04,9.64045
2023-03-05,8.45515
2023-03-06,16.98933
2023-03-07,18.37218
2023-03-08,20.58474
2023-03-09,17.74002
2023-03-10,16.55472
2023-03-11,7.90201
2023-03-12,8.02054
2023-03-13,14.26313
2023-03-14,14.22362
2023-03-15,13.82852
2023-03-16,13.82852
2023-03-17,13.07783
2023-03-18,6.24259
2023-03-19,6.59818
2023-03-20,15.80403
2023-03-21,15.29039
2023-03-22,15.21137
2023-03-23,15.88305
2023-03-24,15.48794
2023-03-25,6.71671
2023-03-26,6.75622
2023-03-27,14.10509
2023-03-28,15.96207
2023-03-29,16.19913
2023-03-30,17.02884
2023-03-31,15.52745
2023-04-01,6.59818
2023-04-02,6.75622
2023-04-03,15.40892
2023-04-04,17.30541
2023-04-05,17.14737
2023-04-06,15.80403
2023-04-07,12.09008
2023-04-08,7.70446
2023-04-09,7.70446
2023-04-10,16.75227
2023-04-11,18.37218
2023-04-12,15.96207
2023-04-13,15.725
2023-04-14,13.94705
2023-04-15,6.2821
2023-04-16,7.30936
2023-04-17,15.36941
2023-04-18,15.96207
2023-04-19,14.5397
2023-04-20,13.19636
2023-04-21,11.61596
2023-04-22,5.72896
2023-04-23,8.37613
2023-04-24,13.19636
2023-04-25,16.55472
2023-04-26,14.61872
2023-04-27,14.06558
2023-04-28,13.3544
2023-04-29,7.11181
2023-04-30,7.90201
2023-05-01,21.13789
2023-05-02,30.46226
2023-05-03,28.48676
2023-05-04,20.78229
2023-05-05,10.07506
2023-05-06,9.08731
2023-05-07,10.9838
2023-05-08,23.90359
2023-05-09,22.87633
2023-05-10,25.68154
2023-05-11,23.19241
2023-05-12,20.22915
2023-05-13,10.2331
2023-05-14,10.03555
2023-05-15,22.32319
2023-05-16,17.38443
2023-05-17,15.92256
2023-05-18,14.22362
2023-05-19,12.80126
2023-05-20,6.87475
2023-05-21,5.96602
2023-05-22,15.60647
2023-05-23,16.12011
2023-05-24,12.91979
