date,비과세종합저축
2023-03-30,5.25568
2023-03-31,5.58035
2023-04-01,3.77435
2023-04-02,3.51055
2023-04-03,5.41801
2023-04-04,6.20941
2023-04-05,5.25568
2023-04-06,5.23538
2023-04-07,4.80925
2023-04-08,2.88149
2023-04-09,2.75974
2023-04-10,5.23538
2023-04-11,4.13961
2023-04-12,5.58035
2023-04-13,5.15422
2023-04-14,5.05275
2023-04-15,2.90178
2023-04-16,3.28733
2023-04-17,4.99188
2023-04-18,4.99188
2023-04-19,5.05275
2023-04-20,4.87012
2023-04-21,4.18019
2023-04-22,3.18587
2023-04-23,3.06412
2023-04-24,4.32224
2023-04-25,5.41801
2023-04-26,4.82954
2023-04-27,4.05844
2023-04-28,3.61201
2023-04-29,3.06412
2023-04-30,2.65827
2023-05-01,4.05844
2023-05-02,5.33685
2023-05-03,4.70779
2023-05-04,3.83522
2023-05-05,3.1047
2023-05-06,3.30762
2023-05-07,3.06412
2023-05-08,4.76866
2023-05-09,4.62662
2023-05-10,5.53977
2023-05-11,4.6672
2023-05-12,3.8961
2023-05-13,2.65827
2023-05-14,3.51055
2023-05-15,5.41801
2023-05-16,4.48457
2023-05-17,4.74837
2023-05-18,5.23538
2023-05-19,4.60633
2023-05-20,3.22646
2023-05-21,3.18587
2023-05-22,5.64123
2023-05-23,4.95129
2023-05-24,5.29626
2023-05-25,5.84415
