date,아트포스터
2023-01-23,32.3383
2023-01-24,15.42288
2023-01-25,34.82587
2023-01-26,24.87562
2023-01-27,38.80597
2023-01-28,22.38805
2023-01-29,26.86567
2023-01-30,28.3582
2023-01-31,20.89552
2023-02-01,36.3184
2023-02-02,28.3582
2023-02-03,17.41293
2023-02-04,21.89054
2023-02-05,29.35323
2023-02-06,29.35323
2023-02-07,25.37313
2023-02-08,32.3383
2023-02-09,28.3582
2023-02-10,30.84577
2023-02-11,16.91542
2023-02-12,30.84577
2023-02-13,28.85572
2023-02-14,25.37313
2023-02-15,23.88059
2023-02-16,27.86069
2023-02-17,36.81592
2023-02-18,34.32835
2023-02-19,47.76119
2023-02-20,40.79601
2023-02-21,32.3383
2023-02-22,27.86069
2023-02-23,41.79104
2023-02-24,28.85572
2023-02-25,33.83084
2023-02-26,19.40298
2023-02-27,29.85074
2023-02-28,23.38308
2023-03-01,25.87064
2023-03-02,36.81592
2023-03-03,33.83084
2023-03-04,17.91044
2023-03-05,34.32835
2023-03-06,25.87064
2023-03-07,29.85074
2023-03-08,29.85074
2023-03-09,28.85572
2023-03-10,24.3781
2023-03-11,22.38805
2023-03-12,25.87064
2023-03-13,21.89054
2023-03-14,30.84577
2023-03-15,29.35323
2023-03-16,27.36318
2023-03-17,29.85074
2023-03-18,20.89552
2023-03-19,31.34328
2023-03-20,35.32338
2023-03-21,30.84577
2023-03-22,30.34825
2023-03-23,21.89054
2023-03-24,29.35323
2023-03-25,23.88059
2023-03-26,28.85572
2023-03-27,31.84079
2023-03-28,25.87064
2023-03-29,19.40298
2023-03-30,19.40298
2023-03-31,26.86567
2023-04-01,19.40298
2023-04-02,21.89054
2023-04-03,27.36318
2023-04-04,20.89552
2023-04-05,28.85572
2023-04-06,21.89054
2023-04-07,25.87064
2023-04-08,26.86567
2023-04-09,30.34825
2023-04-10,31.34328
2023-04-11,30.34825
2023-04-12,35.82089
2023-04-13,33.83084
2023-04-14,24.3781
2023-04-15,14.92537
2023-04-16,21.89054
2023-04-17,24.87562
2023-04-18,29.35323
2023-04-19,23.38308
2023-04-20,26.36815
2023-04-21,18.90547
2023-04-22,17.91044
2023-04-23,27.86069
2023-04-24,11.94029
2023-04-25,31.84079
2023-04-26,18.40796
2023-04-27,23.88059
2023-04-28,24.87562
2023-04-29,18.90547
2023-04-30,24.3781
2023-05-01,23.38308
2023-05-02,22.38805
2023-05-03,22.88557
2023-05-04,24.3781
2023-05-05,23.38308
2023-05-06,36.81592
2023-05-07,23.88059
2023-05-08,24.3781
2023-05-09,23.38308
2023-05-10,23.88059
2023-05-11,24.3781
2023-05-12,17.91044
2023-05-13,25.87064
2023-05-14,20.398
2023-05-15,18.90547
2023-05-16,36.3184
2023-05-17,23.88059
2023-05-18,27.86069
2023-05-19,20.89552
2023-05-20,20.398
2023-05-21,22.88557
2023-05-22,19.90049
2023-05-23,27.36318
2023-05-24,22.38805
2023-05-25,22.38805
2023-05-26,14.92537
