date,채권투자
2022-06-05,11.14245
2022-06-06,15.86741
2022-06-07,22.77856
2022-06-08,20.45133
2022-06-09,15.58533
2022-06-10,14.5275
2022-06-11,18.61777
2022-06-12,15.72637
2022-06-13,26.58674
2022-06-14,27.71509
2022-06-15,23.34273
2022-06-16,24.5416
2022-06-17,19.46403
2022-06-18,13.32863
2022-06-19,12.20028
2022-06-20,19.11142
2022-06-21,20.6629
2022-06-22,20.87447
2022-06-23,19.60507
2022-06-24,20.6629
2022-06-25,11.49506
2022-06-26,10.36671
2022-06-27,15.23272
2022-06-28,22.84908
2022-06-29,17.55994
2022-06-30,17.13681
2022-07-01,14.95063
2022-07-02,11.49506
2022-07-03,10.43723
2022-07-04,17.34837
2022-07-05,28.27926
2022-07-06,18.68829
2022-07-07,16.85472
2022-07-08,21.72073
2022-07-09,14.95063
2022-07-10,14.88011
2022-07-11,23.5543
2022-07-12,18.61777
2022-07-13,25.59943
2022-07-14,20.16925
2022-07-15,20.94499
2022-07-16,11.70662
2022-07-17,16.00846
2022-07-18,20.52186
2022-07-19,17.98307
2022-07-20,22.42595
2022-07-21,22.70803
2022-07-22,21.22708
2022-07-23,13.25811
2022-07-24,13.61071
2022-07-25,22.2849
2022-07-26,23.5543
2022-07-27,21.08603
2022-07-28,18.47672
2022-07-29,16.00846
2022-07-30,10.43723
2022-07-31,11.28349
2022-08-01,15.44428
2022-08-02,18.26516
2022-08-03,18.97038
2022-08-04,18.89985
2022-08-05,19.11142
2022-08-06,16.36107
2022-08-07,19.0409
2022-08-08,22.2849
2022-08-09,15.5148
2022-08-10,21.79125
2022-08-11,18.61777
2022-08-12,17.41889
2022-08-13,18.12411
2022-08-14,16.99576
2022-08-15,22.00282
2022-08-16,26.09308
2022-08-17,37.72919
2022-08-18,31.66431
2022-08-19,23.27221
2022-08-20,16.07898
2022-08-21,15.65585
2022-08-22,21.50916
2022-08-23,21.57968
2022-08-24,24.40056
2022-08-25,35.11988
2022-08-26,31.24118
2022-08-27,18.4062
2022-08-28,15.93794
2022-08-29,26.37517
2022-08-30,25.88152
2022-08-31,20.73342
2022-09-01,22.00282
2022-09-02,20.87447
2022-09-03,16.71368
2022-09-04,18.12411
2022-09-05,27.78561
2022-09-06,23.48377
2022-09-07,26.65726
2022-09-08,19.18194
2022-09-09,13.25811
2022-09-10,11.14245
2022-09-11,14.45698
2022-09-12,17.91255
2022-09-13,26.86882
2022-09-14,28.98448
2022-09-15,24.5416
2022-09-16,26.65726
2022-09-17,17.27785
2022-09-18,18.97038
2022-09-19,30.677
2022-09-20,33.42736
2022-09-21,32.5811
2022-09-22,40.69111
2022-09-23,39.77433
2022-09-24,19.67559
2022-09-25,25.95204
2022-09-26,41.04372
2022-09-27,48.51904
2022-09-28,43.2299
2022-09-29,39.84485
2022-09-30,31.87588
2022-10-01,17.70098
2022-10-02,18.33568
2022-10-03,25.59943
2022-10-04,35.40197
2022-10-05,28.63187
2022-10-06,29.40761
2022-10-07,29.97179
2022-10-08,17.63046
2022-10-09,15.09167
2022-10-10,24.25952
2022-10-11,29.90126
2022-10-12,33.77997
2022-10-13,37.79971
2022-10-14,28.0677
2022-10-15,19.18194
2022-10-16,23.20169
2022-10-17,34.34414
2022-10-18,30.74753
2022-10-19,31.59379
2022-10-20,43.2299
2022-10-21,48.02538
2022-10-22,25.66995
2022-10-23,30.60648
2022-10-24,38.99858
2022-10-25,50.28208
2022-10-26,50.77574
2022-10-27,49.85895
2022-10-28,44.56981
2022-10-29,25.74047
2022-10-30,19.60507
2022-10-31,29.61918
2022-11-01,29.26657
2022-11-02,30.25387
2022-11-03,36.88293
2022-11-04,33.77997
2022-11-05,19.32299
2022-11-06,24.96473
2022-11-07,36.81241
2022-11-08,40.76163
2022-11-09,34.34414
2022-11-10,32.01692
2022-11-11,27.433
2022-11-12,25.38787
2022-11-13,21.01551
2022-11-14,25.66995
2022-11-15,27.00987
2022-11-16,34.55571
2022-11-17,29.19605
2022-11-18,26.37517
2022-11-19,20.0282
