date,환율계산기
2023-02-26,49.80237
2023-02-27,81.73294
2023-02-28,80.01562
2023-03-01,63.93927
2023-03-02,79.34922
2023-03-03,72.96862
2023-03-04,49.28917
2023-03-05,47.66836
2023-03-06,74.1467
2023-03-07,73.2888
2023-03-08,76.22096
2023-03-09,72.9196
2023-03-10,73.28114
2023-03-11,46.18236
2023-03-12,45.57111
2023-03-13,80.34193
2023-03-14,78.72725
2023-03-15,75.75831
2023-03-16,74.83914
2023-03-17,75.91457
2023-03-18,51.90881
2023-03-19,47.70512
2023-03-20,79.02445
2023-03-21,76.12445
2023-03-22,72.0326
2023-03-23,81.18297
2023-03-24,76.33127
2023-03-25,49.18346
2023-03-26,46.02916
2023-03-27,75.34622
2023-03-28,71.33862
2023-03-29,69.88632
2023-03-30,69.16477
2023-03-31,67.15791
2023-04-01,43.58416
2023-04-02,43.06483
2023-04-03,73.44353
2023-04-04,73.1448
2023-04-05,73.04981
2023-04-06,72.89202
2023-04-07,66.41644
2023-04-08,42.97138
2023-04-09,43.70519
2023-04-10,73.66719
2023-04-11,75.17311
2023-04-12,73.53238
2023-04-13,72.61321
2023-04-14,74.1467
2023-04-15,49.31521
2023-04-16,47.47839
2023-04-17,76.24701
2023-04-18,74.58637
2023-04-19,74.1421
2023-04-20,74.22789
2023-04-21,71.57148
2023-04-22,48.07279
2023-04-23,49.97089
2023-04-24,76.99613
2023-04-25,78.60009
2023-04-26,77.8142
2023-04-27,73.88013
2023-04-28,75.85636
2023-04-29,51.93945
2023-04-30,46.52552
2023-05-01,55.66057
2023-05-02,73.19688
2023-05-03,71.89625
2023-05-04,75.00153
2023-05-05,56.71456
2023-05-06,59.84128
2023-05-07,46.44432
2023-05-08,77.68092
2023-05-09,75.86095
2023-05-10,74.27998
2023-05-11,72.30069
2023-05-12,69.78368
2023-05-13,48.39144
2023-05-14,48.14326
2023-05-15,77.63802
2023-05-16,74.52356
2023-05-17,72.55806
2023-05-18,72.27618
2023-05-19,71.69556
2023-05-20,46.73233
2023-05-21,50.24664
2023-05-22,79.3339
2023-05-23,79.98651
2023-05-24,76.15662
2023-05-25,76.64072
