date,삼부토건주가
2022-08-27,0.86901
2022-08-28,0.70729
2022-08-29,7.1628
2022-08-30,7.36045
2022-08-31,6.82467
2022-09-01,6.23825
2022-09-02,6.38853
2022-09-03,0.65992
2022-09-04,0.59785
2022-09-05,6.44571
2022-09-06,6.20395
2022-09-07,5.60446
2022-09-08,6.0112
2022-09-09,0.68932
2022-09-10,0.45574
2022-09-11,0.50147
2022-09-12,0.69259
2022-09-13,8.2213
2022-09-14,6.7528
2022-09-15,6.06837
2022-09-16,5.48359
2022-09-17,0.64522
2022-09-18,0.58478
2022-09-19,5.52769
2022-09-20,5.75638
2022-09-21,5.18956
2022-09-22,5.39701
2022-09-23,4.85796
2022-09-24,0.56355
2022-09-25,0.35283
2022-09-26,5.20753
2022-09-27,5.38231
2022-09-28,5.73678
2022-09-29,5.6012
2022-09-30,5.54893
2022-10-01,0.69096
2022-10-02,0.46064
2022-10-03,0.66319
2022-10-04,5.69431
2022-10-05,5.2059
2022-10-06,5.16996
2022-10-07,4.63418
2022-10-08,0.55538
2022-10-09,0.36263
2022-10-10,0.59622
2022-10-11,4.938
2022-10-12,5.27613
2022-10-13,5.04255
2022-10-14,5.47215
2022-10-15,0.69912
2022-10-16,0.52271
2022-10-17,5.53749
2022-10-18,5.6404
2022-10-19,5.39701
2022-10-20,5.46398
2022-10-21,8.98577
2022-10-22,1.00785
2022-10-23,0.83634
2022-10-24,7.05989
2022-10-25,6.0014
2022-10-26,5.79558
2022-10-27,5.83969
2022-10-28,5.12095
2022-10-29,0.54394
2022-10-30,0.37406
2022-10-31,5.18139
2022-11-01,5.78415
2022-11-02,5.44275
2022-11-03,5.65184
2022-11-04,6.19578
2022-11-05,0.76446
2022-11-06,0.54558
2022-11-07,6.0553
2022-11-08,6.81651
2022-11-09,6.11574
2022-11-10,5.51789
2022-11-11,6.93738
2022-11-12,0.73996
2022-11-13,0.62888
2022-11-14,6.75607
2022-11-15,6.40487
2022-11-16,6.021
2022-11-17,5.87889
2022-11-18,5.53422
2022-11-19,0.59295
2022-11-20,0.49494
2022-11-21,5.56526
2022-11-22,9.19649
2022-11-23,7.0697
2022-11-24,6.4212
2022-11-25,5.67307
2022-11-26,0.56028
2022-11-27,0.50147
2022-11-28,4.96904
2022-11-29,5.22386
2022-11-30,5.08828
2022-12-01,6.34116
2022-12-02,4.99191
2022-12-03,0.59458
2022-12-04,0.60112
2022-12-05,5.63223
2022-12-06,4.73055
2022-12-07,4.9184
2022-12-08,4.938
2022-12-09,5.22713
2022-12-10,0.64359
2022-12-11,0.45737
2022-12-12,4.95924
2022-12-13,4.95271
2022-12-14,4.95597
2022-12-15,4.51493
2022-12-16,4.06899
2022-12-17,0.46717
2022-12-18,0.34139
2022-12-19,4.38099
2022-12-20,4.12126
2022-12-21,4.42182
2022-12-22,4.81223
2022-12-23,3.97752
2022-12-24,0.459
2022-12-25,0.36753
2022-12-26,4.30585
2022-12-27,4.31402
2022-12-28,4.16374
2022-12-29,4.27154
2022-12-30,1.5469
2022-12-31,0.33649
2023-01-01,0.34956
2023-01-02,4.58681
2023-01-03,4.82039
2023-01-04,5.65347
2023-01-05,10.8757
2023-01-06,7.71655
2023-01-07,1.04706
2023-01-08,0.7906
2023-01-09,7.43886
2023-01-10,6.63682
2023-01-11,5.91973
2023-01-12,5.46235
2023-01-13,5.68124
2023-01-14,0.67952
2023-01-15,0.63379
2023-01-16,5.37578
2023-01-17,4.85796
2023-01-18,4.52147
2023-01-19,4.46756
2023-01-20,4.22581
2023-01-21,0.49004
2023-01-22,0.37406
2023-01-23,0.35283
2023-01-24,0.58478
2023-01-25,5.33657
2023-01-26,5.56036
2023-01-27,5.17323
2023-01-28,0.58968
2023-01-29,0.43287
2023-01-30,4.75832
2023-01-31,4.67991
2023-02-01,4.83183
2023-02-02,4.75832
2023-02-03,4.67665
2023-02-04,0.65829
2023-02-05,0.4198
2023-02-06,4.23888
2023-02-07,4.09676
2023-02-08,4.24214
2023-02-09,4.5084
2023-02-10,4.20784
2023-02-11,0.48024
2023-02-12,0.42307
2023-02-13,3.94322
2023-02-14,4.14413
2023-02-15,3.95138
2023-02-16,5.9524
2023-02-17,4.9429
2023-02-18,0.63705
2023-02-19,0.52271
2023-02-20,5.22386
2023-02-21,17.49946
2023-02-22,12.24783
2023-02-23,8.46959
2023-02-24,7.16934
2023-02-25,0.95885
2023-02-26,0.7563
2023-02-27,7.02396
2023-02-28,9.00047
2023-03-01,1.5175
2023-03-02,7.18077
2023-03-03,6.13861
2023-03-04,0.96538
2023-03-05,0.64522
2023-03-06,6.67439
2023-03-07,5.972
2023-03-08,5.26143
2023-03-09,4.96741
2023-03-10,5.38231
2023-03-11,0.59785
2023-03-12,0.51944
2023-03-13,5.41171
2023-03-14,5.20916
2023-03-15,5.48685
2023-03-16,5.12095
2023-03-17,4.68808
2023-03-18,0.62562
2023-03-19,0.51944
2023-03-20,4.97721
2023-03-21,4.51657
2023-03-22,5.15526
2023-03-23,4.8939
2023-03-24,4.38916
2023-03-25,0.56191
2023-03-26,0.38713
2023-03-27,4.44469
2023-03-28,4.74852
2023-03-29,4.58517
2023-03-30,4.60151
2023-03-31,4.88247
2023-04-01,0.59948
2023-04-02,0.47207
2023-04-03,4.41366
2023-04-04,4.43326
2023-04-05,4.26011
2023-04-06,3.84194
2023-04-07,4.28788
2023-04-08,0.4737
2023-04-09,0.37733
2023-04-10,4.50513
2023-04-11,4.38425
2023-04-12,4.59334
2023-04-13,4.20621
2023-04-14,4.99518
2023-04-15,0.60928
2023-04-16,0.42633
2023-04-17,4.68482
2023-04-18,4.84326
2023-04-19,4.72075
2023-04-20,3.96772
2023-04-21,3.79947
2023-04-22,0.44267
2023-04-23,0.4345
2023-04-24,3.7962
2023-04-25,4.05266
2023-04-26,4.37935
2023-04-27,3.97098
2023-04-28,3.90401
