date,보험조회
2023-02-06,66.36259
2023-02-07,58.83694
2023-02-08,61.80159
2023-02-09,65.22234
2023-02-10,66.24857
2023-02-11,37.17217
2023-02-12,33.86545
2023-02-13,66.93272
2023-02-14,58.49486
2023-02-15,58.60889
2023-02-16,57.69669
2023-02-17,55.53021
2023-02-18,30.21664
2023-02-19,33.97947
2023-02-20,60.77537
2023-02-21,63.85404
2023-02-22,62.59977
2023-02-23,62.25769
2023-02-24,59.17901
2023-02-25,32.15507
2023-02-26,26.56784
2023-02-27,59.17901
2023-02-28,60.54732
2023-03-01,38.31242
2023-03-02,58.49486
2023-03-03,53.93386
2023-03-04,35.34777
2023-03-05,28.62029
2023-03-06,62.02964
2023-03-07,64.65222
2023-03-08,59.40706
2023-03-09,56.67046
2023-03-10,57.46864
2023-03-11,31.12884
2023-03-12,33.18129
2023-03-13,64.88027
2023-03-14,59.29304
2023-03-15,59.17901
2023-03-16,59.06499
2023-03-17,53.59179
2023-03-18,36.71607
2023-03-19,30.55872
2023-03-20,70.35347
2023-03-21,64.99429
2023-03-22,59.40706
2023-03-23,63.28392
2023-03-24,54.38996
2023-03-25,38.54047
2023-03-26,28.16419
2023-03-27,65.10832
2023-03-28,62.71379
2023-03-29,59.52109
2023-03-30,58.49486
2023-03-31,52.22348
2023-04-01,28.50627
2023-04-02,31.69897
2023-04-03,54.27594
2023-04-04,51.53933
2023-04-05,59.74914
2023-04-06,55.53021
2023-04-07,54.16191
2023-04-08,28.27822
2023-04-09,27.48004
2023-04-10,60.77537
2023-04-11,59.63511
2023-04-12,53.02166
2023-04-13,59.29304
2023-04-14,51.53933
2023-04-15,27.82212
2023-04-16,29.53249
2023-04-17,58.03876
2023-04-18,59.17901
2023-04-19,57.92474
2023-04-20,53.02166
2023-04-21,55.98631
2023-04-22,32.95324
2023-04-23,28.62029
2023-04-24,57.58266
2023-04-25,68.98517
2023-04-26,54.73204
2023-04-27,58.49486
2023-04-28,46.4082
2023-04-29,30.78677
2023-04-30,28.05017
2023-05-01,40.36488
2023-05-02,60.09122
2023-05-03,56.55644
2023-05-04,53.02166
2023-05-05,31.92702
2023-05-06,32.38312
2023-05-07,38.1984
2023-05-08,64.08209
2023-05-09,65.79247
2023-05-10,67.7309
2023-05-11,64.99429
2023-05-12,52.33751
2023-05-13,31.69897
2023-05-14,29.53249
2023-05-15,63.96807
2023-05-16,65.10832
2023-05-17,66.02052
2023-05-18,61.34549
2023-05-19,58.03876
2023-05-20,30.55872
