date,종합부동산세계산기
2022-06-18,1.54601
2022-06-19,1.7546
2022-06-20,2.67484
2022-06-21,3.00613
2022-06-22,2.85889
2022-06-23,2.22085
2022-06-24,1.81595
2022-06-25,1.17791
2022-06-26,1.12883
2022-06-27,1.79141
2022-06-28,2.04907
2022-06-29,1.58282
2022-06-30,1.64417
2022-07-01,1.12883
2022-07-02,1.05521
2022-07-03,1.04294
2022-07-04,1.98773
2022-07-05,2.38036
2022-07-06,2.23312
2022-07-07,2.53987
2022-07-08,1.80368
2022-07-09,1.46012
2022-07-10,1.54601
2022-07-11,1.70552
2022-07-12,2.18404
2022-07-13,3.07975
2022-07-14,2.99386
2022-07-15,3.25153
2022-07-16,1.28834
2022-07-17,1.61963
2022-07-18,2.82208
2022-07-19,2.49079
2022-07-20,2.56441
2022-07-21,5.43558
2022-07-22,4.80981
2022-07-23,2.0
2022-07-24,1.82822
2022-07-25,2.57668
2022-07-26,2.50306
2022-07-27,2.39263
2022-07-28,1.73006
2022-07-29,1.21472
2022-07-30,0.99386
2022-07-31,1.16564
2022-08-01,3.04294
2022-08-02,1.82822
2022-08-03,1.23926
2022-08-04,1.16564
2022-08-05,1.07975
2022-08-06,0.83435
2022-08-07,0.83435
2022-08-08,1.28834
2022-08-09,0.93251
2022-08-10,1.41104
2022-08-11,1.15337
2022-08-12,1.1411
2022-08-13,0.88343
2022-08-14,0.74846
2022-08-15,0.87116
2022-08-16,1.61963
2022-08-17,1.11656
2022-08-18,1.11656
2022-08-19,1.31288
2022-08-20,0.93251
2022-08-21,0.82208
2022-08-22,1.69325
2022-08-23,1.58282
2022-08-24,1.59509
2022-08-25,1.5092
2022-08-26,1.52147
2022-08-27,0.98159
2022-08-28,1.39877
2022-08-29,2.17177
2022-08-30,1.74233
2022-08-31,2.38036
2022-09-01,3.58282
2022-09-02,2.57668
2022-09-03,1.21472
2022-09-04,1.43558
2022-09-05,2.1595
2022-09-06,1.74233
2022-09-07,4.57668
2022-09-08,2.50306
2022-09-09,0.90797
2022-09-10,0.85889
2022-09-11,1.28834
2022-09-12,1.16564
2022-09-13,6.42944
2022-09-14,5.53374
2022-09-15,5.16564
2022-09-16,6.51533
2022-09-17,2.50306
2022-09-18,2.06134
2022-09-19,5.37423
2022-09-20,5.10429
2022-09-21,7.71779
2022-09-22,6.90797
2022-09-23,4.62576
2022-09-24,2.39263
2022-09-25,2.17177
2022-09-26,4.4049
2022-09-27,4.51533
2022-09-28,3.74233
2022-09-29,4.14723
2022-09-30,3.61963
2022-10-01,0.95705
2022-10-02,0.8957
2022-10-03,0.88343
2022-10-04,1.49693
2022-10-05,1.39877
2022-10-06,1.52147
2022-10-07,1.36196
2022-10-08,0.78527
2022-10-09,0.80981
2022-10-10,0.95705
2022-10-11,1.70552
2022-10-12,1.46012
2022-10-13,1.41104
2022-10-14,1.16564
2022-10-15,0.74846
2022-10-16,1.16564
2022-10-17,1.54601
2022-10-18,2.6503
2022-10-19,1.73006
2022-10-20,1.31288
2022-10-21,1.55828
2022-10-22,1.06748
2022-10-23,1.05521
2022-10-24,1.80368
2022-10-25,1.55828
2022-10-26,1.52147
2022-10-27,1.90184
2022-10-28,1.10429
2022-10-29,0.83435
2022-10-30,0.63803
2022-10-31,1.8773
2022-11-01,1.32515
2022-11-02,1.47239
2022-11-03,1.79141
2022-11-04,1.57055
2022-11-05,0.88343
2022-11-06,1.43558
2022-11-07,2.62576
2022-11-08,5.32515
2022-11-09,4.34355
2022-11-10,3.97546
2022-11-11,2.30674
2022-11-12,1.44785
2022-11-13,1.44785
2022-11-14,4.56441
2022-11-15,4.29447
2022-11-16,2.57668
2022-11-17,3.05521
2022-11-18,2.67484
2022-11-19,2.01226
2022-11-20,8.33128
2022-11-21,41.47239
2022-11-22,28.08588
2022-11-23,9.8773
2022-11-24,11.1411
2022-11-25,16.01226
2022-11-26,6.31901
2022-11-27,6.1595
2022-11-28,16.79754
2022-11-29,12.5276
2022-11-30,8.02453
2022-12-01,6.36809
2022-12-02,5.53374
2022-12-03,2.53987
2022-12-04,3.84049
2022-12-05,5.32515
2022-12-06,5.57055
2022-12-07,4.67484
2022-12-08,5.81595
2022-12-09,4.73619
2022-12-10,2.31901
2022-12-11,2.56441
2022-12-12,5.27607
2022-12-13,5.47239
2022-12-14,4.773
2022-12-15,3.1411
2022-12-16,2.0
2022-12-17,1.1411
2022-12-18,1.12883
2022-12-19,1.6319
2022-12-20,1.39877
2022-12-21,1.32515
2022-12-22,1.54601
2022-12-23,1.93865
2022-12-24,1.91411
2022-12-25,1.43558
2022-12-26,2.1595
2022-12-27,1.12883
2022-12-28,1.20245
2022-12-29,1.37423
2022-12-30,1.19018
2022-12-31,0.79754
2023-01-01,0.82208
2023-01-02,1.65644
2023-01-03,1.46012
2023-01-04,1.32515
2023-01-05,1.28834
2023-01-06,1.10429
2023-01-07,0.4049
2023-01-08,0.773
2023-01-09,1.30061
2023-01-10,1.20245
2023-01-11,1.41104
2023-01-12,1.23926
2023-01-13,1.20245
2023-01-14,0.95705
2023-01-15,1.10429
2023-01-16,1.22699
2023-01-17,1.16564
2023-01-18,1.33742
2023-01-19,1.20245
2023-01-20,0.93251
2023-01-21,0.66257
2023-01-22,0.67484
2023-01-23,0.68711
2023-01-24,0.8957
2023-01-25,1.7546
2023-01-26,1.46012
2023-01-27,1.32515
2023-01-28,1.10429
2023-01-29,1.15337
2023-01-30,1.79141
2023-01-31,1.36196
2023-02-01,1.04294
2023-02-02,1.43558
2023-02-03,1.49693
2023-02-04,0.8957
2023-02-05,1.04294
2023-02-06,1.59509
2023-02-07,1.59509
2023-02-08,2.0368
2023-02-09,1.6319
2023-02-10,1.04294
2023-02-11,1.30061
2023-02-12,0.92024
2023-02-13,1.28834
2023-02-14,1.20245
2023-02-15,1.0184
2023-02-16,1.21472
2023-02-17,1.3865
2023-02-18,1.28834
2023-02-19,1.15337
2023-02-20,1.28834
2023-02-21,1.80368
2023-02-22,1.1411
2023-02-23,1.3865
2023-02-24,1.22699
2023-02-25,1.06748
2023-02-26,0.84662
2023-02-27,1.07975
2023-02-28,0.95705
2023-03-01,1.15337
2023-03-02,1.16564
2023-03-03,1.19018
2023-03-04,1.04294
2023-03-05,0.87116
2023-03-06,1.43558
2023-03-07,1.20245
2023-03-08,1.31288
2023-03-09,1.04294
2023-03-10,1.05521
2023-03-11,0.84662
2023-03-12,0.87116
2023-03-13,1.12883
2023-03-14,1.43558
2023-03-15,1.66871
2023-03-16,1.41104
2023-03-17,1.22699
2023-03-18,1.06748
2023-03-19,1.61963
2023-03-20,2.01226
2023-03-21,1.47239
2023-03-22,2.46625
2023-03-23,8.34355
2023-03-24,2.98159
2023-03-25,1.31288
2023-03-26,1.52147
2023-03-27,2.31901
2023-03-28,1.98773
2023-03-29,1.64417
2023-03-30,1.46012
2023-03-31,0.99386
2023-04-01,1.00613
2023-04-02,1.04294
2023-04-03,1.31288
2023-04-04,1.34969
2023-04-05,1.19018
2023-04-06,0.93251
2023-04-07,1.0184
2023-04-08,0.83435
2023-04-09,0.99386
2023-04-10,0.92024
2023-04-11,1.11656
2023-04-12,1.0184
2023-04-13,0.94478
2023-04-14,0.95705
2023-04-15,0.76073
2023-04-16,0.67484
2023-04-17,1.05521
2023-04-18,0.98159
2023-04-19,1.12883
2023-04-20,0.94478
2023-04-21,1.53374
2023-04-22,1.19018
2023-04-23,0.96932
2023-04-24,1.57055
2023-04-25,1.31288
2023-04-26,1.43558
2023-04-27,1.58282
2023-04-28,2.23312
2023-04-29,1.09202
2023-04-30,1.1411
2023-05-01,1.36196
2023-05-02,2.2822
2023-05-03,1.73006
2023-05-04,1.80368
2023-05-05,0.88343
2023-05-06,0.90797
2023-05-07,1.1411
2023-05-08,1.70552
2023-05-09,1.68098
2023-05-10,1.49693
2023-05-11,1.43558
2023-05-12,1.36196
2023-05-13,0.93251
2023-05-14,1.25153
2023-05-15,1.5092
2023-05-16,1.70552
2023-05-17,1.64417
2023-05-18,1.61963
2023-05-19,1.53374
2023-05-20,0.92024
2023-05-21,0.83435
2023-05-22,1.39877
2023-05-23,1.95092
2023-05-24,1.57055
