date,상속세세율
2022-07-08,5.25147
2022-07-09,4.19132
2022-07-10,4.60059
2022-07-11,5.34516
2022-07-12,5.21203
2022-07-13,4.13214
2022-07-14,4.79289
2022-07-15,4.48224
2022-07-16,4.09763
2022-07-17,4.03353
2022-07-18,4.97534
2022-07-19,4.67948
2022-07-20,4.79783
2022-07-21,5.35502
2022-07-22,4.8422
2022-07-23,4.10256
2022-07-24,4.09763
2022-07-25,5.03944
2022-07-26,5.00493
2022-07-27,4.1568
2022-07-28,4.47731
2022-07-29,3.98422
2022-07-30,3.5355
2022-07-31,4.17159
2022-08-01,4.97534
2022-08-02,4.73372
2022-08-03,4.82248
2022-08-04,4.9211
2022-08-05,4.32445
2022-08-06,4.52169
2022-08-07,4.02859
2022-08-08,4.69428
2022-08-09,4.68441
2022-08-10,4.38362
2022-08-11,4.2357
2022-08-12,4.50197
2022-08-13,4.0138
2022-08-14,3.65877
2022-08-15,3.73767
2022-08-16,4.99013
2022-08-17,4.97534
2022-08-18,4.91124
2022-08-19,4.20611
2022-08-20,4.44773
2022-08-21,4.32938
2022-08-22,5.22189
2022-08-23,5.15285
2022-08-24,4.76331
2022-08-25,5.15285
2022-08-26,5.06903
2022-08-27,4.16173
2022-08-28,3.77218
2022-08-29,4.69428
2022-08-30,4.81262
2022-08-31,6.22287
2022-09-01,9.428
2022-09-02,6.82445
2022-09-03,4.08284
2022-09-04,4.20611
2022-09-05,4.55128
2022-09-06,4.41321
2022-09-07,4.85207
2022-09-08,4.82248
2022-09-09,5.78895
2022-09-10,6.50887
2022-09-11,6.01577
2022-09-12,6.95759
2022-09-13,7.14003
2022-09-14,7.31755
2022-09-15,7.03648
2022-09-16,5.86291
2022-09-17,5.46844
2022-09-18,4.30473
2022-09-19,6.04536
2022-09-20,5.4783
2022-09-21,5.76429
2022-09-22,7.59368
2022-09-23,5.77909
2022-09-24,4.48717
2022-09-25,4.17652
2022-09-26,5.28599
2022-09-27,5.16765
2022-09-28,4.90138
2022-09-29,5.15779
2022-09-30,4.45759
2022-10-01,3.76232
2022-10-02,4.05818
2022-10-03,4.85207
2022-10-04,5.29092
2022-10-05,5.32544
2022-10-06,6.07495
2022-10-07,4.90138
2022-10-08,3.77712
2022-10-09,4.39842
2022-10-10,4.46252
2022-10-11,5.07889
2022-10-12,5.21696
2022-10-13,5.1282
2022-10-14,5.61143
2022-10-15,4.43786
2022-10-16,4.19132
2022-10-17,5.1923
2022-10-18,5.11834
2022-10-19,4.73865
2022-10-20,4.72386
2022-10-21,4.63017
2022-10-22,3.82149
2022-10-23,4.68441
2022-10-24,4.67948
2022-10-25,4.55128
2022-10-26,4.3639
2022-10-27,4.7781
2022-10-28,4.43293
2022-10-29,3.61439
2022-10-30,2.86982
2022-10-31,4.0779
2022-11-01,4.38362
2022-11-02,4.07297
