date,베트남환율
2022-11-17,53.21255
2022-11-18,48.08647
2022-11-19,34.91467
2022-11-20,33.64111
2022-11-21,51.12073
2022-11-22,46.53273
2022-11-23,44.54279
2022-11-24,51.13983
2022-11-25,46.02649
2022-11-26,33.87035
2022-11-27,32.3962
2022-11-28,43.7882
2022-11-29,44.27534
2022-11-30,47.18861
2022-12-01,64.46446
2022-12-02,48.64684
2022-12-03,32.50127
2022-12-04,34.66314
2022-12-05,54.24414
2022-12-06,50.0987
2022-12-07,50.987
2022-12-08,48.19472
2022-12-09,47.53247
2022-12-10,35.59602
2022-12-11,36.90142
2022-12-12,53.96714
2022-12-13,48.86971
2022-12-14,51.50598
2022-12-15,50.21968
2022-12-16,45.9437
2022-12-17,34.64085
2022-12-18,38.71625
2022-12-19,48.72962
2022-12-20,54.47975
2022-12-21,53.24758
2022-12-22,54.57845
2022-12-23,48.47809
2022-12-24,43.69905
2022-12-25,40.33048
2022-12-26,55.40308
2022-12-27,57.43441
2022-12-28,53.05654
2022-12-29,54.98917
2022-12-30,52.68721
2022-12-31,49.14353
2023-01-01,41.94472
2023-01-02,56.08762
2023-01-03,54.4288
2023-01-04,53.82705
2023-01-05,51.37544
2023-01-06,49.0098
2023-01-07,41.56265
2023-01-08,42.54648
2023-01-09,67.03706
2023-01-10,63.45517
2023-01-11,56.40601
2023-01-12,53.76655
2023-01-13,55.37442
2023-01-14,40.21586
2023-01-15,39.89111
2023-01-16,59.10277
2023-01-17,51.84666
2023-01-18,49.75165
2023-01-19,48.31253
2023-01-20,42.41912
2023-01-21,32.27521
2023-01-22,32.41849
2023-01-23,33.67613
2023-01-24,40.2095
2023-01-25,48.34118
2023-01-26,45.21459
2023-01-27,44.6988
2023-01-28,35.2235
2023-01-29,36.55438
2023-01-30,49.36958
2023-01-31,46.23662
2023-02-01,47.08991
2023-02-02,53.54686
2023-02-03,46.1825
2023-02-04,37.78973
2023-02-05,38.41059
2023-02-06,52.37519
2023-02-07,52.40384
2023-02-08,47.49426
2023-02-09,46.8734
2023-02-10,45.09997
2023-02-11,36.3315
2023-02-12,37.07017
2023-02-13,51.74159
2023-02-14,47.90499
2023-02-15,48.18199
2023-02-16,48.17562
2023-02-17,50.04457
2023-02-18,38.73853
2023-02-19,37.95211
2023-02-20,51.75751
2023-02-21,49.40779
2023-02-22,47.84131
2023-02-23,46.93071
2023-02-24,44.30399
2023-02-25,38.64302
2023-02-26,38.20045
2023-02-27,51.09207
2023-02-28,49.45236
2023-03-01,45.23369
2023-03-02,47.76808
2023-03-03,46.01057
2023-03-04,35.79024
2023-03-05,40.2477
2023-03-06,49.12761
2023-03-07,44.95988
2023-03-08,45.27508
2023-03-09,41.64544
2023-03-10,42.09437
2023-03-11,34.24286
2023-03-12,35.57692
2023-03-13,48.70096
2023-03-14,48.30616
2023-03-15,47.4083
2023-03-16,46.33214
2023-03-17,45.44383
2023-03-18,34.33838
2023-03-19,35.79979
2023-03-20,48.59271
2023-03-21,45.36742
2023-03-22,41.85876
2023-03-23,55.85201
2023-03-24,47.57068
2023-03-25,36.10863
2023-03-26,37.83112
2023-03-27,48.4367
2023-03-28,46.14747
2023-03-29,42.06253
2023-03-30,40.85264
2023-03-31,41.76324
2023-04-01,31.41237
2023-04-02,33.38958
2023-04-03,49.50967
2023-04-04,48.57997
2023-04-05,48.99388
2023-04-06,50.40117
2023-04-07,45.14454
2023-04-08,36.7868
2023-04-09,38.27368
2023-04-10,51.4423
2023-04-11,50.5126
2023-04-12,49.5447
2023-04-13,51.76069
2023-04-14,55.86156
2023-04-15,41.33023
2023-04-16,39.99936
2023-04-17,55.41263
2023-04-18,55.99528
2023-04-19,54.55934
2023-04-20,52.70631
2023-04-21,49.66887
2023-04-22,39.70644
2023-04-23,42.47007
2023-04-24,54.52114
2023-04-25,60.41136
2023-04-26,56.18632
2023-04-27,56.53973
2023-04-28,50.27063
2023-04-29,40.5056
2023-04-30,39.09513
2023-05-01,45.39607
2023-05-02,51.39454
2023-05-03,50.99337
2023-05-04,54.31418
2023-05-05,44.59691
2023-05-06,43.59398
2023-05-07,39.73191
2023-05-08,54.43199
2023-05-09,53.20618
2023-05-10,53.19345
2023-05-11,51.64926
2023-05-12,49.06711
2023-05-13,39.8529
2023-05-14,40.10124
2023-05-15,57.02687
2023-05-16,53.88754
2023-05-17,52.17142
2023-05-18,53.16479
2023-05-19,52.79546
2023-05-20,39.35303
2023-05-21,38.6653
2023-05-22,62.42677
2023-05-23,69.07794
2023-05-24,58.20173
2023-05-25,60.7584
2023-05-26,55.21204
