date,집에서할수있는부업
2022-10-09,38.46153
2022-10-10,51.96232
2022-10-11,54.78806
2022-10-12,53.21821
2022-10-13,53.84615
2022-10-14,43.01412
2022-10-15,31.71114
2022-10-16,40.18838
2022-10-17,61.38147
2022-10-18,53.53218
2022-10-19,55.10204
2022-10-20,49.60753
2022-10-21,42.07221
2022-10-22,32.81004
2022-10-23,39.56043
2022-10-24,62.00941
2022-10-25,63.73626
2022-10-26,56.67189
2022-10-27,58.55572
2022-10-28,45.5259
2022-10-29,34.85086
2022-10-30,26.53061
2022-10-31,50.39246
2022-11-01,55.10204
2022-11-02,50.07849
2022-11-03,45.21193
2022-11-04,46.31083
2022-11-05,33.90894
2022-11-06,43.01412
2022-11-07,62.95133
2022-11-08,54.94505
2022-11-09,54.47409
2022-11-10,53.37519
2022-11-11,47.25274
2022-11-12,37.51962
2022-11-13,43.48508
2022-11-14,67.97488
2022-11-15,63.89324
2022-11-16,60.12558
2022-11-17,53.21821
2022-11-18,41.91522
2022-11-19,31.24018
2022-11-20,39.87441
2022-11-21,64.05023
2022-11-22,69.70172
2022-11-23,58.55572
2022-11-24,47.56671
2022-11-25,49.45054
2022-11-26,34.3799
2022-11-27,37.6766
2022-11-28,56.51491
2022-11-29,64.67817
2022-11-30,55.88697
2022-12-01,50.39246
2022-12-02,45.83987
2022-12-03,30.29827
2022-12-04,37.99058
2022-12-05,56.35792
2022-12-06,53.21821
2022-12-07,54.94505
2022-12-08,56.04395
2022-12-09,56.98587
2022-12-10,36.73469
2022-12-11,44.58398
2022-12-12,63.57927
2022-12-13,60.43956
2022-12-14,63.73626
2022-12-15,61.22448
2022-12-16,51.33437
2022-12-17,39.08948
2022-12-18,43.95604
2022-12-19,57.92778
2022-12-20,68.60282
2022-12-21,68.60282
2022-12-22,54.31711
2022-12-23,49.45054
2022-12-24,36.10675
2022-12-25,40.34536
2022-12-26,72.68445
2022-12-27,68.44583
2022-12-28,71.11459
2022-12-29,83.04552
2022-12-30,67.34693
2022-12-31,39.71742
2023-01-01,47.40973
2023-01-02,79.59183
2023-01-03,79.12087
2023-01-04,85.40031
2023-01-05,76.92307
2023-01-06,49.9215
2023-01-07,47.88069
2023-01-08,56.35792
2023-01-09,87.7551
2023-01-10,72.84144
2023-01-11,74.72527
2023-01-12,61.22448
2023-01-13,54.94505
2023-01-14,48.97959
2023-01-15,48.50863
2023-01-16,66.562
2023-01-17,54.00313
2023-01-18,56.67189
2023-01-19,45.5259
2023-01-20,30.92621
2023-01-21,21.35007
2023-01-22,24.80376
2023-01-23,34.06593
2023-01-24,45.36891
2023-01-25,66.562
2023-01-26,56.82888
2023-01-27,61.38147
2023-01-28,45.21193
2023-01-29,54.63108
2023-01-30,69.85871
2023-01-31,69.70172
2023-02-01,68.44583
2023-02-02,61.0675
